,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. And the  'fs_category' matched the input metadata 'fs_category'.,งบฐานะการเงิน,สินทรัพย์,"[183344390, 187964771, 293466693, 183344390, 187964771, 293466693]"
1,เบี้ยประกันภัยค้างรับ,101200,เบี้ยประกันภัยค้างรับ - สุทธิ,"The query 'เบี้ยประกันภัยค้างรับ' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. Also, the fs_category of both input and the selected item in Taxonomy are matched",งบฐานะการเงิน,สินทรัพย์,"[612563304, 608865352, 557809721, 612563304, 608865352, 557809721]"
2,รายได้จากการลงทุนค้างรับ,101300,รายได้จากการลงทุนค้างรับ,"The query 'รายได้จากการลงทุนค้างรับ' is an exact match to the item 'รายได้จากการลงทุนค้างรับ' in the taxonomy list. The fs_category of the matched item is 'สินทรัพย์', which is related to the input metadata 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[10447907, 8006135, 6187364, 10447907, 8006135, 6187364]"
3,สินทรัพย์จากการประกันภัยต่อ,101400,สินทรัพย์จากการประกันภัยต่อ - สุทธิ,"The input query matches the item_in_taxonomy ""สินทรัพย์จากการประกันภัยต่อ - สุทธิ"" in the taxonomy list.  The fs_category is สินทรัพย์, which is aligned with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[676234058, 583089724, 665947729, 676234058, 583089724, 665947729]"
4,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,ลูกหนี้จากสัญญาประกันภัยต่อ,"The query 'ลูกหนี้จากสัญญาประกันภัยต่อ' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' is 'สินทรัพย์' as required.",งบฐานะการเงิน,สินทรัพย์,"[213149784, 234986796, 395973799, 213149784, 234986796, 395973799]"
5,เงินลงทุนในหลักทรัพย์,101910,สินทรัพย์ลงทุน เงินลงทุนในหลักทรัพย์,"The input query 'เงินลงทุนในหลักทรัพย์' combined with the input metadata 'fs_category' is 'สินทรัพย์ลงทุน' which has an exact match with the 'item_in_taxonomy' in the Taxonomy list. Thus, the correct SET Code is '101910'.",งบฐานะการเงิน,สินทรัพย์ลงทุน,"[3605777086, 3650126203, 3419999695, 3605777086, 3650126203, 3419999695]"
6,เงินให้กู้ยืมและดอกเบี้ยค้างรับ,102501,สินทรัพย์ลงทุน เงินให้กู้ยืมและดอกเบี้ยค้างรับ,"The input name best matched  ""สินทรัพย์ลงทุน เงินให้กู้ยืมและดอกเบี้ยค้างรับ"" in the taxonomy list.  The  fs_category is ""สินทรัพย์"" which is related to the input metadata fs_category: ""สินทรัพย์ลงทุน"".",งบฐานะการเงิน,สินทรัพย์ลงทุน,"[412750, 491492, 686989, 412750, 491492, 686989]"
7,เงินลงทุนในบริษัทร่วม,102720,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทร่วม,"The query 'เงินลงทุนในบริษัทร่วม' matches with multiple items in the taxonomy list. However, considering the input metadata 'financial_statement_type' as 'งบฐานะการเงิน' and 'fs_category' as 'สินทรัพย์ลงทุน', the most relevant item is 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทร่วม' with SET Code '102720'.",งบฐานะการเงิน,สินทรัพย์ลงทุน,"[14807150, 17037797, 21149002, 22574882, 22574882, 33337976]"
8,ที่ดิน อาคารและอุปกรณ์,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์' directly matches the meaning description of the taxonomy item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' (Property, Plant And Equipment - Net) with set code '103800'. This taxonomy item falls under the fs_category 'สินทรัพย์' and financial statement type 'BS_A', aligning with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[353224919, 353940595, 337559369, 353224919, 353940595, 337559369]"
9,สินทรัพย์สิทธิการใช้,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The input query 'สินทรัพย์สิทธิการใช้' directly matches the 'item_in_taxonomy' 'สินทรัพย์สิทธิการใช้ - สุทธิ' in the taxonomy list.  Also, both have the same 'fs_category' value, which is 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[25593990, 26572816, 28215001, 25593990, 26572816, 28215001]"
10,สินทรัพย์ไม่มีตัวตน,104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,The query 'สินทรัพย์ไม่มีตัวตน' is an exact match to the 'item_in_taxonomy' field 'สินทรัพย์ไม่มีตัวตน - สุทธิ' in the taxonomy list.  The 'fs_category' field also matches the criteria of being related to 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[14593044, 13836200, 16543913, 14593044, 13836200, 16543913]"
