,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('สินทรัพย์') is related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[1768578619, 2607629149, 303636106, 291171065]"
1,เบี้ยประกันภัยค้างรับสุทธิ,101200,เบี้ยประกันภัยค้างรับ - สุทธิ,"The input query 'เบี้ยประกันภัยค้างรับสุทธิ' is very similar to the item 'เบี้ยประกันภัยค้างรับ - สุทธิ' in the taxonomy list, and the fs_category also matched the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[6762219132, 7323262048, 0, 0]"
2,รายได้จากการลงทุนค้างรับ,101300,รายได้จากการลงทุนค้างรับ,The query 'รายได้จากการลงทุนค้างรับ' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list. The 'fs_category' ('สินทรัพย์') and 'financial_statement_type' ('BS_A') also align with the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[57231599, 44976973, 2962583, 1199271]"
3,สินทรัพย์จากการประกันภัยต่อสุทธิ,101400,สินทรัพย์จากการประกันภัยต่อ - สุทธิ,"The query mentions both ""สินทรัพย์จากการประกันภัยต่อ"" and ""สุทธิ"" which directly corresponds to the item ""สินทรัพย์จากการประกันภัยต่อ - สุทธิ"" in the provided taxonomy list. Thus, this is the most appropriate match.",งบฐานะการเงิน,สินทรัพย์,"[17562810279, 20781471620, 0, 0]"
4,ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,101500,ลูกหนี้จากสัญญาประกันภัยต่อ,"The query mentions ""ลูกหนี้จากสัญญาประกันภัยต่อ"" which directly corresponds to the item ""ลูกหนี้จากสัญญาประกันภัยต่อ"" in the taxonomy. And the input metadata states that the financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์, which match the taxonomy item's attributes.",งบฐานะการเงิน,สินทรัพย์,"[5673813127, 3862882947, 0, 0]"
5,ลูกหนี้การค้าสุทธิ,101100,ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ,"The query 'ลูกหนี้การค้าสุทธิ' is related to trade receivables, and the input metadata specifies financial_statement_type as 'งบฐานะการเงิน' and fs_category as 'สินทรัพย์'. Although there is no perfect match in the provided taxonomy list, the closest item is 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ' with set code '101100', which falls under the category of 'สินทรัพย์' in financial statements.",งบฐานะการเงิน,สินทรัพย์,"[12433532, 3934059, 0, 2682888]"
6,เงินลงทุนในหลักทรัพย์สุทธิ,101910,สินทรัพย์ลงทุน เงินลงทุนในหลักทรัพย์,The closest match from the taxonomy list is 'สินทรัพย์ลงทุน เงินลงทุนในหลักทรัพย์' given the input 'เงินลงทุนในหลักทรัพย์สุทธิ' and fs_category is สินทรัพย์ลงทุน.,งบฐานะการเงิน,สินทรัพย์ลงทุน,"[15400425121, 15041765954, 0, 0]"
7,เงินลงทุนในบริษัทร่วม,102720,เงินลงทุนในบริษัทร่วม,"The input item name is เงินลงทุนในบริษัทร่วม and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์ลงทุน.  The most relevant item in the taxonomy list is set_code 102720, whose item_in_taxonomy is เงินลงทุนในบริษัทร่วม and financial_statement_type is BS_A, fs_category is สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์ลงทุน,"[341533535, 319814413, 0, 0]"
8,เงินลงทุนในบริษัทย่อย,102710,เงินลงทุนในบริษัทย่อย,The query 'เงินลงทุนในบริษัทย่อย' matches exactly with item 'เงินลงทุนในบริษัทย่อย' with the same financial_statement_type and related fs_category in the Taxonomy list.,งบฐานะการเงิน,สินทรัพย์ลงทุน,"[0, 0, 9889387350, 9889387320]"
9,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,สินทรัพย์ลงทุน อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,"The query 'อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ' is an exact match to the 'สินทรัพย์ลงทุน อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ' in the provided taxonomy list, and the fs_category 'สินทรัพย์' is related to the input metadata fs_category 'สินทรัพย์ลงทุน'.",งบฐานะการเงิน,สินทรัพย์ลงทุน,"[150872363, 151863901, 0, 0]"
