,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field ('สินทรัพย์') matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[44326525, 119689561]"
1,เบี้ยประกันภัยค้างรับ,101200,เบี้ยประกันภัยค้างรับ - สุทธิ,"The query 'เบี้ยประกันภัยค้างรับ' is related to insurance premium. And the input metadata specified the fs_category is สินทรัพย์. Thus, the appropriate item in the taxonomy is 'เบี้ยประกันภัยค้างรับ - สุทธิ' with SET Code '101200'.",งบฐานะการเงิน,สินทรัพย์,"[111949346, 209845097]"
2,รายได้จากการลงทุนค้างรับ,101300,รายได้จากการลงทุนค้างรับ,"Found an exact match for the query 'รายได้จากการลงทุนค้างรับ' in the taxonomy list. financial_statement_type, fs_category matched with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[1891386, 1311307]"
3,สินทรัพย์จากการประกันภัยต่อ,101400,สินทรัพย์จากการประกันภัยต่อ - สุทธิ,"The input name 'สินทรัพย์จากการประกันภัยต่อ' is directly matched with the item 'สินทรัพย์จากการประกันภัยต่อ - สุทธิ' in the Taxonomy list. And the input metadata 'fs_category' is 'สินทรัพย์' is matched with the item 'fs_category' in the Taxonomy list. Thus, the set_code is '101400'.",งบฐานะการเงิน,สินทรัพย์,"[612145230, 578134575]"
4,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,ลูกหนี้จากสัญญาประกันภัยต่อ,The query 'ลูกหนี้จากสัญญาประกันภัยต่อ' is found in the taxonomy list with matching  fs_category  'สินทรัพย์' and financial_statement_type 'งบฐานะการเงิน'.,งบฐานะการเงิน,สินทรัพย์,"[131513565, 90192615]"
5,สินทรัพย์ทางการเงินตราสารหนี้,101911,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารหนี้,"The input name is สินทรัพย์ทางการเงินตราสารหนี้ and the input metadata financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the best match from the Taxonomy list is  set_code: 101911 and item_in_taxonomy: เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารหนี้",งบฐานะการเงิน,สินทรัพย์,"[213370969, 243370451]"
6,สินทรัพย์ทางการเงินตราสารทุน,101912,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารทุน,"The input name 'สินทรัพย์ทางการเงินตราสารทุน' matches exactly with the item_in_taxonomy 'เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารทุน' in the taxonomy list.  Therefore, the set_code '101912' is selected.",งบฐานะการเงิน,สินทรัพย์,"[376867526, 246509972]"
7,สินทรัพย์ตราสารอนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input name 'สินทรัพย์ตราสารอนุพันธ์' is similar to the item 'สินทรัพย์อนุพันธ์' in the taxonomy list. Considering the input metadata financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์, the most relevant SET Code and Item in Taxonomy are 103000 and สินทรัพย์อนุพันธ์, respectively.",งบฐานะการเงิน,สินทรัพย์,"[0, 91112]"
8,เงินให้กู้ยืม,102500,เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม,"The query 'เงินให้กู้ยืม' matches the item 'เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม' in the taxonomy list. This item's fs_category is 'สินทรัพย์', aligning with the input metadata. Therefore, the selected SET Code is 102500, and the item is 'เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม'.",งบฐานะการเงิน,สินทรัพย์,"[87300000, 49800000]"
9,ที่ดิน อาคาร และอุปกรณ์,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคาร และอุปกรณ์' is an exact match with the item_in_taxonomy 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list. The fs_category 'สินทรัพย์' also matched the criteria. Therefore, the selected SET code is '103800' and the item is 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[87846202, 89910398]"
10,สินทรัพย์สิทธิการใช้,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้' directly matches the 'item_in_taxonomy' 'สินทรัพย์สิทธิการใช้ - สุทธิ' in the provided taxonomy list. This item's 'fs_category' is 'สินทรัพย์', aligning with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[34929881, 37928430]"
11,สินทรัพย์ไม่มีตัวตน,104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,The input 'สินทรัพย์ไม่มีตัวตน' matches directly with the 'item_in_taxonomy' field 'สินทรัพย์ไม่มีตัวตน - สุทธิ' in the taxonomy list. And the 'fs_category' field 'สินทรัพย์' is matched with the input metadata 'fs_category' field 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[10167828, 11816094]"
12,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The input name 'สินทรัพย์ภาษีเงินได้รอการตัดบัญชี' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  Also, the input metadata 'fs_category' is 'สินทรัพย์' which is related to the 'fs_category' in the Taxonomy list. Therefore, the correct SET Code is '104400'.",งบฐานะการเงิน,สินทรัพย์,"[38142315, 38149322]"
13,สินทรัพย์อื่น,109900,สินทรัพย์อื่น - สุทธิ,"The input name is สินทรัพย์อื่น and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus the correct item name is สินทรัพย์อื่น - สุทธิ with set_code 109900",งบฐานะการเงิน,สินทรัพย์,"[24802883, 20320561]"
14,หนี้สินจากสัญญาประกันภัย,201200,หนี้สินจากสัญญาประกันภัย,The query 'หนี้สินจากสัญญาประกันภัย' is a liability on the balance sheet. An exact match was found in the taxonomy list with the same name and fs_category 'หนี้สิน'.,งบฐานะการเงิน,หนี้สิน,"[1104531491, 1015460073]"
15,เจ้าหนี้บริษัทประกันภัยต่อ,201400,เจ้าหนี้บริษัทประกันภัยต่อ,"The query's fs_category is หนี้สิน and financial_statement_type is งบฐานะการเงิน, thus the SET Code and Item in Taxonomy are derived from the Taxonomy list where fs_category is หนี้สิน and financial_statement_type is BS_L. ",งบฐานะการเงิน,หนี้สิน,"[432201905, 393731233]"
