,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field in the taxonomy list matches the 'fs_category' from the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[44326525, 119689561]"
1,เบี้ยประกันภัยค้างรับ,101200,เบี้ยประกันภัยค้างรับ - สุทธิ,"The query 'เบี้ยประกันภัยค้างรับ' is related to insurance receivables, and given the provided financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์, the most relevant item in the taxonomy is 'เบี้ยประกันภัยค้างรับ - สุทธิ' with SET Code '101200'.",งบฐานะการเงิน,สินทรัพย์,"[111949346, 209845097]"
2,รายได้จากการลงทุนค้างรับ,101300,รายได้จากการลงทุนค้างรับ,Found an exact match for the input query 'รายได้จากการลงทุนค้างรับ' in the Taxonomy list.  The fs_category property 'สินทรัพย์' also matched the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[1891386, 1311307]"
3,สินทรัพย์จากการประกันภัยต่อ,101400,สินทรัพย์จากการประกันภัยต่อ - สุทธิ,"The INPUT is สินทรัพย์จากการประกันภัยต่อ and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. An item in the Taxonomy list with item_in_taxonomy as สินทรัพย์จากการประกันภัยต่อ - สุทธิ matches the query and criteria.",งบฐานะการเงิน,สินทรัพย์,"[612145230, 578134575]"
4,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,ลูกหนี้จากสัญญาประกันภัยต่อ,"The query 'ลูกหนี้จากสัญญาประกันภัยต่อ' is an exact match to the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' ('สินทรัพย์') also matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[131513565, 90192615]"
5,สินทรัพย์ทางการเงินตราสารหนี้,101911,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารหนี้,"The query 'สินทรัพย์ทางการเงินตราสารหนี้' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. Thus, the selected SET Code and Item in Taxonomy are based on this match.",งบฐานะการเงิน,สินทรัพย์,"[213370969, 243370451]"
6,สินทรัพย์ทางการเงินตราสารทุน,101912,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารทุน,"The query 'สินทรัพย์ทางการเงินตราสารทุน' is related to investment in equity instruments. Also, the provided financial_statement_type and fs_category metadata match the taxonomy list item with the SET Code '101912'.",งบฐานะการเงิน,สินทรัพย์,"[376867526, 246509972]"
7,สินทรัพย์ตราสารอนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input name 'สินทรัพย์ตราสารอนุพันธ์' is mapped to 'สินทรัพย์อนุพันธ์' in the taxonomy list, because they have the same meaning, which represents derivative assets in the statement of financial position. ",งบฐานะการเงิน,สินทรัพย์,"[0, 91112]"
8,เงินให้กู้ยืม,102500,เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม,"The input query 'เงินให้กู้ยืม' matches exactly with the 'item_in_taxonomy'  'เงินให้กู้ยืม' in the taxonomy list. Considering the  'fs_category' is 'สินทรัพย์' which is aligned with the input metadata 'fs_category'. Thus, the most relevant set_code is '102500'.",งบฐานะการเงิน,สินทรัพย์,"[87300000, 49800000]"
9,ที่ดิน อาคาร และอุปกรณ์,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคาร และอุปกรณ์' is a direct match with the 'item_in_taxonomy' field 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list.  The 'fs_category' of 'สินทรัพย์' also aligns with the input metadata. Therefore, the most relevant SET Code is 103800.",งบฐานะการเงิน,สินทรัพย์,"[87846202, 89910398]"
10,สินทรัพย์สิทธิการใช้,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้' is an exact match to part of the 'meaning_of_taxonomy' field in the provided taxonomy list. Therefore, the correct SET Code is '103900' and the item is 'สินทรัพย์สิทธิการใช้ - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[34929881, 37928430]"
11,สินทรัพย์ไม่มีตัวตน,104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The query 'สินทรัพย์ไม่มีตัวตน' is an exact match to the 'item_in_taxonomy' field 'สินทรัพย์ไม่มีตัวตน - สุทธิ' in the provided taxonomy list. Therefore, the selected SET code and item in taxonomy are chosen.",งบฐานะการเงิน,สินทรัพย์,"[10167828, 11816094]"
12,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,The query 'สินทรัพย์ภาษีเงินได้รอการตัดบัญชี' is an exact match to the 'item_in_taxonomy' in the Taxonomy list.  The 'fs_category' is 'สินทรัพย์' which is related to the input metadata 'fs_category'.,งบฐานะการเงิน,สินทรัพย์,"[38142315, 38149322]"
13,สินทรัพย์อื่น,109900,สินทรัพย์อื่น - สุทธิ,"The most relevant item from the provided taxonomy list is ""สินทรัพย์อื่น - สุทธิ"" (Other Assets - Net) with SET Code 109900. This aligns with the input ""สินทรัพย์อื่น"" and the provided metadata (financial_statement_type: งบฐานะการเงิน, fs_category: สินทรัพย์).",งบฐานะการเงิน,สินทรัพย์,"[24802883, 20320561]"
14,หนี้สินจากสัญญาประกันภัย,201200,หนี้สินจากสัญญาประกันภัย,The query 'หนี้สินจากสัญญาประกันภัย' is a liability on the balance sheet. An exact match for this query 'หนี้สินจากสัญญาประกันภัย' was found in the provided taxonomy list with the SET Code '201200'.,งบฐานะการเงิน,หนี้สิน,"[1104531491, 1015460073]"
15,เจ้าหนี้บริษัทประกันภัยต่อ,201400,เจ้าหนี้บริษัทประกันภัยต่อ,"The query 'เจ้าหนี้บริษัทประกันภัยต่อ' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  Also, the 'fs_category' ('หนี้สิน') from the input metadata matches the 'fs_category' in the Taxonomy list. Therefore, the correct SET Code is '201400'.",งบฐานะการเงิน,หนี้สิน,"[432201905, 393731233]"
16,หนี้สินตราสารอนุพันธ์,202100,หนี้สินอนุพันธ์,"The input name clearly indicates liabilities related to derivatives.  The taxonomy list contains a matching item 'หนี้สินอนุพันธ์' under the 'หนี้สิน' category, which aligns with the input metadata 'fs_category' being 'หนี้สิน'.",งบฐานะการเงิน,หนี้สิน,"[374891, 179485]"
17,ค่าจ้างและค่าบำเหน็จค้างจ่าย,202500,ค่าใช้จ่ายค้างจ่าย,The most relevant item from the provided taxonomy list is ค่าใช้จ่ายค้างจ่าย under the set code 202500. This selection aligns with the input being a liability on the balance sheet and closely resembles the input term.,งบฐานะการเงิน,หนี้สิน,"[18417229, 33117407]"
18,ภาระผูกพันผลประโยชน์พนักงาน,202700,ประมาณการหนี้สินผลประโยชน์พนักงาน,"The meaning of taxonomy for SET Code 202700 contains ""บางครั้งใช้ขื่อว่า ภาระผูกพันผลประโยชน์พนักงาน"". Thus, the query ""ภาระผูกพันผลประโยชน์พนักงาน"" should be mapped to SET Code 202700, Item in Taxonomy: ประมาณการหนี้สินผลประโยชน์พนักงาน.",งบฐานะการเงิน,หนี้สิน,"[5820936, 6263522]"
19,หนี้สินภาษีเงินได้รอการตัดบัญชี,203200,หนี้สินภาษีเงินได้รอตัดบัญชี,The query 'หนี้สินภาษีเงินได้รอการตัดบัญชี' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  The 'fs_category' matches the input metadata 'fs_category'.,งบฐานะการเงิน,หนี้สิน,"[17897191, 17625815]"
20,หนี้สินอื่น,209900,หนี้สินอื่น,"The input item name is หนี้สินอื่น and the input metadata  financial_statement_type is งบฐานะการเงิน, fs_category is หนี้สิน. Thus, the matched taxonomy is the item with financial_statement_type  as BS_L, fs_category as หนี้สิน and  item_in_taxonomy as หนี้สินอื่น.",งบฐานะการเงิน,หนี้สิน,"[63118717, 98716010]"
21,"ทุนจดทะเบียน 1,902,913,766 หุ้น",310120,ทุนจดทะเบียน หุ้นสามัญจดทะเบียน,"The input mentions ""ทุนจดทะเบียน"" and ""หุ้น"" which directly corresponds to  ""ทุนจดทะเบียน หุ้นสามัญจดทะเบียน"" in the taxonomy list. Considering the fs_category 'ส่วนของผู้ถือหุ้น' from the input metadata,  the best match from the provided taxonomy list is 'ทุนจดทะเบียน หุ้นสามัญจดทะเบียน' with SET Code '310120'.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[951456883, 951456883]"
