,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,"เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน (ราคาทุน: 4,127 ล้านบาท (2566: 4,164 ล้านบาท))",100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,The query explicitly mentions  'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' which directly matches the item 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' in the taxonomy list. We also confirmed the fs_category is 'สินทรัพย์' as expected.,งบฐานะการเงิน,สินทรัพย์,"[4140561, 4174940]"
1,"เงินลงทุนในทรัพย์สินเส้นใยแก้วนำแสงตามมูลค่ายุติธรรม (ราคาทุน: 93,000 ล้านบาท)",100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query mentions an investment measured at fair value. Although it specifies an asset type, there's no direct match for ""fiber optic assets"" in the taxonomy. The closest match is ""Investments At Fair Value Through Profit Or Loss"", which broadly covers investments measured at fair value.",งบฐานะการเงิน,สินทรัพย์,"[73500000, 75700000]"
2,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field matches the input metadata 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[23810, 3935]"
3,ลูกหนี้จากการให้เช่าและค่าปรับค้างรับ,102081,ลูกหนี้จากการให้เช่าและบริการ ลูกหนี้จากการให้เช่า,"The query mentions ลูกหนี้จากการให้เช่า (rental receivables) and ค่าปรับค้างรับ (accrued fines). The most relevant item from the taxonomy list is ""ลูกหนี้จากการให้เช่าและบริการ ลูกหนี้จากการให้เช่า"" (Rental And Service Receivables Rental Receivables) with SET Code 102081. Although the query includes ""ค่าปรับค้างรับ,"" the core concept aligns with rental receivables.",งบฐานะการเงิน,สินทรัพย์,"[0, 514972]"
4,ลูกหนี้จากดอกเบี้ยค้างรับ,102072,ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย,The input query 'ลูกหนี้จากดอกเบี้ยค้างรับ' is looking for an item in the taxonomy related to interest receivables. The closest match from the provided taxonomy list is 'ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย' with SET Code '102072'.,งบฐานะการเงิน,สินทรัพย์,"[61, 83]"
5,สินทรัพย์อื่น,109990,สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ,"The input name 'สินทรัพย์อื่น' matches the taxonomy item 'สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ' in the context.  The other properties also match, including 'fs_category' as 'สินทรัพย์' and 'financial_statement_type' as 'BS_A'.",งบฐานะการเงิน,สินทรัพย์,"[12870, 13691]"
6,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The input query's fs_category is สินทรัพย์ and financial_statement_type is งบฐานะการเงิน, which is equivalent to BS_A. Thus, the correct SET Code and Item in Taxonomy are 109999 and รวมสินทรัพย์, respectively.",งบฐานะการเงิน,สินทรัพย์,"[77677302, 80407621]"
7,ค่าใช้จ่ายค้างจ่าย,202500,ค่าใช้จ่ายค้างจ่าย,The input item name ค่าใช้จ่ายค้างจ่าย exists in the Taxonomy list with fs_category  as หนี้สิน and financial_statement_type as งบฐานะการเงิน. ,งบฐานะการเงิน,หนี้สิน,"[164467, 202002]"
8,ภาษีขายยังไม่ถึงกำหนดชำระ,204010,เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย,"The input keyword ""ภาษีขาย"" and ""ยังไม่ถึงกำหนดชำระ"" combined with the input metadata clearly indicate that this is a liability related to tax. Therefore, the closest match in the taxonomy list is ""เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย"" with SET Code 204010.",งบฐานะการเงิน,หนี้สิน,"[0, 33508]"
9,เงินกู้ยืมระยะยาวจากธนาคาร,201860,หนี้สินระยะยาว สถาบันการเงิน,"The query 'เงินกู้ยืมระยะยาวจากธนาคาร' which means long-term loan from financial institutions, best matches the item 'หนี้สินระยะยาว สถาบันการเงิน' in the taxonomy list. This item specifically refers to long-term debts with financial institutions, aligning with the query's meaning. Additionally, both belong to the same fs_category 'หนี้สิน' and financial statement type 'งบฐานะการเงิน'.",งบฐานะการเงิน,หนี้สิน,"[11504505, 12147948]"
