,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The query ""เงินสดและรายการเทียบเท่าเงินสด"" is an exact match with the 'item_in_taxonomy' field in the taxonomy list.  Therefore, the correct SET Code and Item in Taxonomy are selected from the matched item.",งบฐานะการเงิน,สินทรัพย์,"[248809, 296764, 204672, 240212]"
1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,"The query 'ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list. The 'fs_category' field ('สินทรัพย์หมุนเวียน') is related to the input metadata 'fs_category' ('สินทรัพย์'). Therefore, the correct SET Code is '112000'.",งบฐานะการเงิน,สินทรัพย์,"[862796, 923357, 935215, 1024793]"
2,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input mentions short-term loans to subsidiaries, which falls under the category of related parties in the taxonomy.",งบฐานะการเงิน,สินทรัพย์,"[-1, -1, 210500, 190500]"
3,สินค้าคงเหลือ,112900,สินค้าคงเหลือ - สุทธิ,"The input query 'สินค้าคงเหลือ' directly matches the meaning of taxonomy in one of the provided taxonomy list items. Thus, the correct SET Code and Item in Taxonomy are 112900 and สินค้าคงเหลือ - สุทธิ respectively.",งบฐานะการเงิน,สินทรัพย์,"[1666007, 665241, 1617723, 611994]"
4,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113100,สินทรัพย์ทางการเงินหมุนเวียนอื่น,The input name 'สินทรัพย์ทางการเงินหมุนเวียนอื่น' matches exactly with item_in_taxonomy 'สินทรัพย์ทางการเงินหมุนเวียนอื่น' in the Taxonomy list. And the input metadata financial_statement_type งบฐานะการเงิน is correctly mapped to BS_A.,งบฐานะการเงิน,สินทรัพย์,"[83584, 165962, 83584, 165962]"
5,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,The query 'สินทรัพย์หมุนเวียนอื่น' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list.  The 'fs_category' field also aligns with the input metadata's 'fs_category'.,งบฐานะการเงิน,สินทรัพย์,"[10039, 10786, 8766, 7271]"
6,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,"Found an exact match for the input query ""รวมสินทรัพย์หมุนเวียน"" in the taxonomy list. More specifically, the input query perfectly matches the  ""item_in_taxonomy"" field in the taxonomy list, and the input metadata's financial_statement_type matches the taxonomy list's financial_statement_type, both are ""งบฐานะการเงิน"".",งบฐานะการเงิน,สินทรัพย์,"[2871235, 2062110, 3060460, 2240732]"
7,เงินลงทุนในบริษัทย่อย,122710,เงินลงทุนในบริษัทย่อย,"The INPUT METADATA states that financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์.  From the Taxonomy list, there are two items containing the exact match with the input query, but with different set_code. Using the provided context, set_code 122710 has the fs_category of สินทรัพย์ไม่หมุนเวียน, which is related to the input metadata fs_category สินทรัพย์, while the other item has the fs_category of  หนี้สินไม่หมุนเวียน, which is not related to the input metadata fs_category.",งบฐานะการเงิน,สินทรัพย์,"[-1, -1, 186132, 101462]"
8,เงินลงทุนในบริษัทร่วม,122720,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทร่วม,"The query 'เงินลงทุนในบริษัทร่วม' matches exactly with the item_in_taxonomy 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทร่วม' in the taxonomy list. This item's fs_category is สินทรัพย์ไม่หมุนเวียน, which is related to the input metadata fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[8366, 8916, 10000, 10000]"
9,เงินให้กู้ยืมระยะยาวแก่บริษัทร่วม,122420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The query mentions  'เงินให้กู้ยืมระยะยาว' and 'บริษัทร่วม' which corresponds to the item 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน' in the taxonomy list. We also know from the input metadata that this is a long-term loan, so the portion that is due in more than one year applies.",งบฐานะการเงิน,สินทรัพย์,"[7124, 7124, 7124, 7124]"
