taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
รวมสินทรัพย์,,,รวมสินทรัพย์,109999,,False,False,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
ดอกเบี้ยค้างจ่าย,,,ดอกเบี้ยค้างจ่าย,209900,209999,False,False,<NA>-ดอกเบี้ยค้างจ่าย-nan-There is no item in the provided taxonomy list that corresponds to the query 'ดอกเบี้ยค้างจ่าย' and fs_category 'หนี้สินและส่วนของเจ้าของ หนี้สิน'. | 
ภาษีค้างจ่าย,,,ภาษีค้างจ่าย,209900,209999,False,False,"204010-ภาษีค้างจ่าย-เจ้าหนี้ภาษีค้างจ่าย-The input 'ภาษีค้างจ่าย' matches the meaning of taxonomy items related to outstanding taxes. Considering the provided 'fs_category' ('หนี้สินและส่วนของเจ้าของ หนี้สิน') and 'financial_statement_type' ('งบฐานะการเงิน'),  'เจ้าหนี้ภาษีค้างจ่าย' under set code '204010' is the most appropriate match. | "
รวมหนี้สิน,309999,รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สิน,209999,309999,False,True,
ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319910,องค์ประกอบอื่นของส่วนของเจ้าของ-ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319913,319910,False,True,
รวมส่วนของเจ้าของ,,,รวมส่วนของเจ้าของ,309998,309999,False,False,
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,429800,False,False,"432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT contains the keyword '(โอนกลับ)' which implies a reversal entry. The most relevant item from the Taxonomy list considering the input keywords and 'fs_category' from the metadata is 'ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย' with SET Code '432602'. | 432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT contains the keyword ""โอนกลับ"" which implies a reversal. Thus the correct item in Taxonomy should also contain the keyword ""กลับรายการ"". The most relevant item in Taxonomy is  ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" as it matches the meaning of the input query and also belongs to the fs_category ""ค่าใช้จ่ายจากการดำเนินงานอื่น"" specified in the INPUT METADATA. | "
กำไรสำหรับงวด,,,กำไรสำหรับงวด,460100,,False,False,"409996-กำไรสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input query 'กำไรสำหรับงวด' closely resembles the item 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' in the provided taxonomy list. Considering the input metadata 'financial_statement_type' is 'งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน 2567 และ 2566', which translates to 'Statement of Comprehensive Income for the three-month periods ended June 30, 2024 and 2023', it aligns with the concept of net profit for the period.  | 409991-กำไรสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง-The most relevant item from the provided taxonomy list is กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง as it closely resembles the input query 'กำไรสำหรับงวด'. We will use item_in_taxonomy instead of fs_category because there is no item in the taxonomy list that has null fs_category. | "
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,429800,False,False,"432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT contains the keyword '(โอนกลับ)' which implies a reversal entry. The most relevant item from the Taxonomy list considering the input keywords and 'fs_category' from the metadata is 'ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย' with SET Code '432602'. | 432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT contains the keyword ""โอนกลับ"" which implies a reversal. Thus the correct item in Taxonomy should also contain the keyword ""กลับรายการ"". The most relevant item in Taxonomy is  ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" as it matches the meaning of the input query and also belongs to the fs_category ""ค่าใช้จ่ายจากการดำเนินงานอื่น"" specified in the INPUT METADATA. | "
