taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
รวมหนี้สิน,,,รวมหนี้สิน,209999,309999,False,False,
องค์ประกอบอื่นของส่วนของเจ้าของ,319900,องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,False,True,
รวมส่วนของเจ้าของ,309999,รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,False,True,
รวมหนี้สินและส่วนของเจ้าของ,,,รวมหนี้สินและส่วนของเจ้าของ,309999,,False,False,
หนี้สูญรับคืน,,,หนี้สูญรับคืน,430700,409994,False,False,"431101-หนี้สูญรับคืน-กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้-Even though the most relevant item in taxonomy with  fs_category  related to รายได้จากการดำเนินงาน is not found.  ""หนี้สูญรับคืน"" closely matches to the definition of ""(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น"" but this is under  fs_category : กำไรขาดทุน, so we will use item_in_taxonomy  ""กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้"" instead. | 431101-หนี้สูญรับคืน-กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้-Even though the INPUT METADATA lists fs_category as รายได้จากการดำเนินงาน, there is no item in the Taxonomy list that fulfills this.  However, because the meaning of  ""กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้"" which refers to gains or losses from the modification of debt instruments, aligns with the concept of ""หนี้สูญรับคืน"" (bad debt recovered) as it could involve modifications related to bad debt, this is chosen as the most relevant item. | "
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,409994,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,409994,False,True,
หนี้สูญรับคืน,,,หนี้สูญรับคืน,430700,409994,False,False,"431101-หนี้สูญรับคืน-กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้-Even though the most relevant item in taxonomy with  fs_category  related to รายได้จากการดำเนินงาน is not found.  ""หนี้สูญรับคืน"" closely matches to the definition of ""(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น"" but this is under  fs_category : กำไรขาดทุน, so we will use item_in_taxonomy  ""กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้"" instead. | 431101-หนี้สูญรับคืน-กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้-Even though the INPUT METADATA lists fs_category as รายได้จากการดำเนินงาน, there is no item in the Taxonomy list that fulfills this.  However, because the meaning of  ""กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้"" which refers to gains or losses from the modification of debt instruments, aligns with the concept of ""หนี้สูญรับคืน"" (bad debt recovered) as it could involve modifications related to bad debt, this is chosen as the most relevant item. | "
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,409994,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,409994,False,True,
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,519997,False,False,"409994-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้-The input item name is similar to ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น and the closest fs_category is กำไรขาดทุน. Although no exact match in fs_category, the item_in_taxonomy is related to the input query. | 430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-(-The query mentions 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' which maps to '(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' in the taxonomy. The fs_category is 'กำไรขาดทุน' which is related to the input metadata 'งบกำไรขาดทุนและกำไรขาดทุนเบ็ดเสร็จอื่น (ต่อ) สำหรับงวดหกเดือนสิ้นสุดวันที่ 30 มิถุนายน 2567.' | 540300-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-รายการอื่น ๆ-The INPUT fs_category is กระแสเงินสดจากการดำเนินงาน, but no item names in that category are closely related to the query.  Therefore, we use the item_in_taxonomy instead. The closest match found in the Taxonomy list is 'รายการอื่น ๆ' because the query's meaning is about credit loss, which is a broad term in financial reporting and could potentially fall under 'other items.' | "
