taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,,,ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,109900,109999,False,False,
หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200400,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200490,200400,False,True,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
เงินรับหลักประกันของตราสารอนุพันธ์,,,เงินรับหลักประกันของตราสารอนุพันธ์,209900,209999,False,False,"202100-เงินรับหลักประกันของตราสารอนุพันธ์-หนี้สินอนุพันธ์-The most relevant item from the provided taxonomy list is 'หนี้สินอนุพันธ์' (Derivative Liabilities) with SET Code '202100'. Although the input mentions 'เงินรับ' (money received), suggesting an asset, the context clarifies that it pertains to collateral, which aligns with a liability perspective in financial reporting. The input also specifies 'ตราสารอนุพันธ์' (derivatives), directly corresponding to the chosen taxonomy item. Considering the input metadata indicating 'งบฐานะการเงิน' (balance sheet) and 'หนี้สิน' (liabilities), 'หนี้สินอนุพันธ์' accurately reflects the financial position of holding collateral received for derivative instruments as a liability. | <NA>-เงินรับหลักประกันของตราสารอนุพันธ์-nan-There is no item in the taxonomy list that matches the input query with the correct fs_category. | "
ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,,,ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,209900,209999,False,False,
หุ้นสามัญ{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าที่ตราไว้หุ้นละบาท,310120,310100,False,False,
หุ้นสามัญ{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าที่ตราไว้หุ้นละบาท,310220,310200,False,False,
กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,,,กำไรสุทธิสำหรับรอบระยะเวลา,409991,409999,False,False,"409996-กำไรสุทธิสำหรับรอบระยะเวลา-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input 'กำไรสุทธิสำหรับรอบระยะเวลา' is related to net profit for the period. The closest match in the taxonomy list is 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' with SET Code '409996', which aligns with the input's meaning and the provided fs_category 'กำไร'. | 409996-กำไรสุทธิสำหรับรอบระยะเวลา-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input name 'กำไรสุทธิสำหรับรอบระยะเวลา' is similar to 'กำไร (ขาดทุน) สุทธิ สำหรับงวด' and financial_statement_type is งบกำไรขาดทุนเบ็ดเสร็จ and fs_category from INPUT METADATA is related to fs_category from Taxonomy list.  | "
กำไรสุทธิจากการขายสินเชื่อด้อยคุณภาพ,,,กำไรสุทธิจากการขายสินเชื่อด้อยคุณภาพ,410200,409994,False,False,"419781-กำไรสุทธิจากการขายสินเชื่อด้อยคุณภาพ-กำไรสุทธิจากการขายทรัพย์สินรอการขาย-The most relevant item from the provided taxonomy list is กำไรสุทธิจากการขายทรัพย์สินรอการขาย as the input query refers to profit from the sale of non-performing loans, which, after foreclosure, can be considered as the disposal of properties. | <NA>-กำไรสุทธิจากการขายสินเชื่อด้อยคุณภาพ-nan-There is no item in the taxonomy that directly corresponds to the input query. Therefore, it is not possible to provide a suitable mapping based on the provided context. | "
กำไรก่อนภาษีเงินได้,,,กำไรก่อนภาษีเงินได้,510200,519997,False,False,"409994-กำไรก่อนภาษีเงินได้-กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้-The query ""กำไรก่อนภาษีเงินได้"" is similar to the item_in_taxonomy ""กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้"" in the taxonomy list.  The fs_category of the selected item in taxonomy list is also related to the fs_category from the input metadata. | 409994-กำไรก่อนภาษีเงินได้-กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้-The input query ""กำไรก่อนภาษีเงินได้"" is related to the item_in_taxonomy ""กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้"" in the taxonomy list. And the value of fs_category in the taxonomy list item is related to . | "
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,519997,False,False,"430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The most relevant item from the provided taxonomy list is  ""(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น""  which means the reversal of expected credit losses or expected credit losses. This aligns with the input query, which refers to expected credit losses. Therefore, we will use the 'item_in_taxonomy' field instead of 'fs_category'. | 430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The query 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' directly matches the item_in_taxonomy '(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น' in the Taxonomy list. Although the word 'กลับรายการ' is not present in the query, the Taxonomy item encompasses both the reversal and the actual expected credit losses. Therefore, this is the most appropriate match. | "
สำรองจากการประมาณการหนี้สิน,,,สำรองจากการประมาณการหนี้สิน,514920,519997,False,False,"518000-สำรองจากการประมาณการหนี้สิน-ประมาณการหนี้สิน เพิ่มขึ้น (ลดลง)-The most relevant item from the taxonomy list is ""ประมาณการหนี้สิน เพิ่มขึ้น (ลดลง)"" with SET Code 518000. This item's meaning aligns with the input query, and it belongs to the correct financial statement type (CF) and fs_category (กิจกรรมดำเนินงาน) specified in the input metadata. | "
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น,,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น,512000,519997,False,False,"512100-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขายและสินทรัพย์อื่น-((โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น-The input mentions impairment losses on assets held for sale and other assets. Although the input refers to losses, the context mainly focuses on reversals of impairment losses. Since the input explicitly mentions ""other assets,"" the closest match is ""(Reversal Of) Impairment Loss Of Other Assets."" Therefore, I will select this item. | "
ของตราสารหนี้ที่ออกและเงินกู้ยืมและตราสารอนุพันธ์,,,ของตราสารหนี้ที่ออกและเงินกู้ยืมและตราสารอนุพันธ์,511300,519997,False,False,
ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,,,ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,510800,519997,False,False,
กำไรจากการเปลี่ยนแปลงเงื่อนไขและยกเลิกสัญญาเช่า,,,กำไรจากการเปลี่ยนแปลงเงื่อนไขและยกเลิกสัญญาเช่า,515000,519997,False,False,"512400-กำไรจากการเปลี่ยนแปลงเงื่อนไขและยกเลิกสัญญาเช่า-กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้-The closest match from the provided taxonomy list is 'กำไร (ขาดทุน) จากการเปลี่ยนเงื่อนไขตราสารหนี้' with SET Code '512400'. Although not a perfect match, it aligns with the concept of financial gains from contract modifications related to leases. | "
