taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
ดอกเบี้ยค้างรับจากเงินลงทุน,,,ดอกเบี้ยค้างรับจากเงินลงทุน,109900,109999,False,False,"102060-ดอกเบี้ยค้างรับจากเงินลงทุน-ดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระ-The query mentions ""ดอกเบี้ยค้างรับ"" (accrued interest) related to investment. Although the input mentions investment, the context implies that this accrued interest is related to loans. Therefore, the closest match in the provided taxonomy is ""ดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระ"" (Accrued Interest Receivables And Undue Interest Receivables) under the broader category of loans. | "
รวมสินทรัพย์,,,รวมสินทรัพย์,109999,,False,False,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
ดอกเบี้ยค้างจ่าย,,,ดอกเบี้ยค้างจ่าย,209900,209999,False,False,204010-ดอกเบี้ยค้างจ่าย-เจ้าหนี้ภาษีค้างจ่าย-The closest match from the provided taxonomy list is เจ้าหนี้ภาษีค้างจ่าย given the input is related to accrued expenses (หนี้สิน) and the financial statement type is งบฐานะการเงินรวม (BS_L). | 
ค่าใช้จ่ายค้างจ่าย,,,ค่าใช้จ่ายค้างจ่าย,209900,209999,False,False,"204010-ค่าใช้จ่ายค้างจ่าย-เจ้าหนี้ภาษีค้างจ่าย-The input term translates to ""accrued expenses"" which closely aligns with tax payable based on the provided taxonomy list. And the  fs_category  matched  input metadata. | 515000-ค่าใช้จ่ายค้างจ่าย-รายการปรับปรุงอื่น ๆ-The input mentions ค่าใช้จ่ายค้างจ่าย and the financial statement type is งบกระแสเงินสด สำหรับงวดหกเดือนสิ้นสุด,  fs_category is กระแสเงินสดจากกิจกรรมดำเนินงาน. Therefore, the closest match in the taxonomy list is รายการปรับปรุงอื่น ๆ with SET Code 515000.  | "
รายได้รับล่วงหน้า,,,รายได้รับล่วงหน้า,209900,209999,False,False,"201200-รายได้รับล่วงหน้า-หนี้สินอื่นตามกรมธรรม์ประกันภัย-The closest match from the provided taxonomy list is รายได้รับล่วงหน้า which falls under  หนี้สินอื่นตามกรมธรรม์ประกันภัย in the taxonomy. | 510200-รายได้รับล่วงหน้า-กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้-รายได้รับล่วงหน้า represents cash received in advance, which is an operational activity. Although no item in the taxonomy perfectly matches this, the closest is กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ (Profit (Loss) Before Finance Costs And/Or Income Tax Expense) as it represents the cash flow from the core business operations before considering financing or taxes. | "
รวมหนี้สิน,,,รวมหนี้สิน,209999,309999,False,False,
ส่วนเกินมูลค่าหุ้น,310400,ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,False,True,
รวมส่วนของเจ้าของ,309999,รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,False,True,
