taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
ลูกหนี้หมุนเวียนอื่น,,,ลูกหนี้หมุนเวียนอื่น,112040,112000,False,False,"113130-ลูกหนี้หมุนเวียนอื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The query ""ลูกหนี้หมุนเวียนอื่น"" matches with item_in_taxonomy ""สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น"" in the taxonomy list. Both financial_statement_type and fs_category criteria are met. | 113130-ลูกหนี้หมุนเวียนอื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The INPUT, ลูกหนี้หมุนเวียนอื่น, directly matches the item_in_taxonomy, สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น, in the Taxonomy list. The fs_category, สินทรัพย์หมุนเวียน, is also related to the INPUT METADATA fs_category, สินทรัพย์. Thus, the SET Code should be 113130. | 516910-ลูกหนี้หมุนเวียนอื่น-ลูกหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย (เพิ่มขึ้น) ลดลง-The most relevant item from the provided taxonomy list is 'ลูกหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย (เพิ่มขึ้น) ลดลง' because it broadly encompasses various types of receivables. Considering the input 'ลูกหนี้หมุนเวียนอื่น' likely falls under other receivables, this selection seems most appropriate. | "
เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน-สุทธิ,112300,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน-สุทธิ,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน-สุทธิ,112310,112300,False,True,
สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,,,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,119990,119900,False,False,"124400-สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน-สินทรัพย์ภาษีเงินได้รอตัดบัญชี-The query 'สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน' closely resembles the meaning of 'สินทรัพย์ภาษีเงินได้รอตัดบัญชี' in the taxonomy list. Considering the input metadata specifies 'fs_category' as 'สินทรัพย์', the closest match within the provided context is 'สินทรัพย์ภาษีเงินได้รอตัดบัญชี' with SET Code '124400'. | 124400-สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน-สินทรัพย์ภาษีเงินได้รอตัดบัญชี-The most relevant meaning in the taxonomy list to the query is ""สินทรัพย์ภาษีเงินได้รอตัดบัญชี"" with the set code ""124400"". Although the query mentions ""งวดปัจจุบัน"" (current period), the taxonomy focuses on ""รอตัดบัญชี"" (deferred), which aligns with the concept of deferred tax assets. | "
สินทรัพย์ทางการเงินหมุนเวียนอื่น,113100,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,False,True,
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123100,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,123100,False,True,
เงินลงทุนในบริษัทย่อย-สุทธิ,,,เงินลงทุนในบริษัทย่อย-สุทธิ,122710,122700,False,False,"122610-เงินลงทุนในบริษัทย่อย-สุทธิ-เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ เงินลงทุนในบริษัทย่อย-The query mentions ""เงินลงทุนในบริษัทย่อย"" which directly matches the item ""เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ เงินลงทุนในบริษัทย่อย"" in the taxonomy list. The  ""- สุทธิ""  part in the query also suggests looking for an item that reflects a net value, aligning with the taxonomy item's inclusion of ""สุทธิ"". | "
ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,,,ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,122040,122000,False,False,"122050-ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ-ลูกหนี้เงินให้สินเชื่อ-The input name mentions factoring, which is similar to lending. And the input also mentions non-current, so the closest meaning in the taxonomy is  'ลูกหนี้เงินให้สินเชื่อ' with set code 122050 | 122050-ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ-ลูกหนี้เงินให้สินเชื่อ-The query mentions 'ลูกหนี้จากการรับซื้อสิทธิเรียกร้อง' and 'ไม่หมุนเวียน' which closely matches the meaning of 'ลูกหนี้เงินให้สินเชื่อ' in the taxonomy list. This taxonomy item also falls under the 'สินทรัพย์ไม่หมุนเวียน' category, aligning with the input metadata. | "
รวมหนี้สิน,309999,รวมหนี้สิน,รวมหนี้สิน,209999,309999,False,True,
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าหุ้นละบาท,310120,310100,False,False,
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าหุ้นละบาท,310220,310200,False,False,
ส่วนเกินมูลค่าหุ้นสามัญ,310400,ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,False,True,
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319900,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,False,True,
ขาดทุนสำหรับงวด,,,ขาดทุนสำหรับงวด,409991,409999,False,False,"409996-ขาดทุนสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input query 'ขาดทุนสำหรับงวด' maps to the fs_category 'กำไรขาดทุน' in the taxonomy list. Therefore, the selected SET Code is '409996' and the Item in Taxonomy is 'กำไร (ขาดทุน) สุทธิ สำหรับงวด'. | 409996-ขาดทุนสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The closest match from the provided taxonomy list is  กำไร (ขาดทุน) สุทธิ สำหรับงวด based on the input query and financial statement type. | "
ค่าใช้จ่ายอื่น,,,เงินให้กู้ยืมแก่บริษัทอื่น,429800,429999,False,False,
