account_name,taxonomy_account_name,account_code,values
เงินสด,เงินสด,100100,"['24,662,778', '22,702,027']"
รายการระหว่างธนาคารและตลาดเงินสุทธิ,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,"['524,632,695', '501,846,916']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,"['3,345,144', '2,303,149']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['37,369,353', '37,583,142']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,"['137,029,713', '131,584,335']"
เงินลงทุนในบริษัทย่อยบริษัทร่วมและการร่วมค้าสุทธิ,เงินลงทุนในบริษัทย่อยบริษัทร่วมและการร่วมค้าสุทธิ,102600,"['18,523,849', '94,779,753']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,"['1,915,425,270', '1,674,012,164']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,"['5,989,690', '5,653,587']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['36,806,308', '31,764,154']"
ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,"['32,995,142', '4,253,624']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,"['5,983,068', '468,938']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['30,014,802', '20,926,563']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['2,772,777,812', '2,527,878,352']"
เงินรับฝาก,เงินรับฝาก,200100,"['1,916,387,708', '1,888,681,363']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,200200,"['232,843,043', '188,409,496']"
หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,"['5,512,565', '5,512,557']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,"['31,354,377', '31,755,340']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,"['107,602,308', '79,586,713']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['12,614,480', '9,937,545']"
หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินภาษีเงินได้รอตัดบัญชี,203200,"['1,188,786', '-']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['79,035,859', '48,922,977']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['2,386,539,126', '2,252,805,991']"
ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['75,741,437', '75,741,437']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['73,557,618', '73,557,618']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['52,878,749', '52,878,749']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['5,750,692', '6,094,560']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['7,574,144', '7,574,144']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['243,094,636', '134,967,290']"
รวมส่วนของธนาคาร,รวมส่วนของธนาคาร,319999,"['382,855,839', '275,072,361']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['3,382,847', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['386,238,686', '275,072,361']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['2,772,777,812', '2,527,878,352']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['41,004,357', '26,913,545']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['12,705,281', '10,704,873']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['28,299,076', '16,208,672']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['8,596,444', '3,603,943']"
ค่าใช้จ่ายค่าธรรมเนียมและบริการ,ค่าใช้จ่ายค่าธรรมเนียมและบริการ,422200,"['2,314,725', '1,575,609']"
รายได้ค่าธรรมเนียมและบริการสุทธิ,รายได้ค่าธรรมเนียมและบริการสุทธิ,400699,"['6,281,719', '2,028,334']"
กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,431390,"['1,507,522', '1,529,705']"
ขาดทุนสุทธิจากเงินลงทุน,ขาดทุนสุทธิจากเงินลงทุน,431400,"['-', '(1,230,000)']"
ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,431100,"['384,896', '-']"
รายได้จากเงินปันผล,รายได้จากเงินปันผล,410202,"['220,121', '1,684,485']"
หนี้สูญรับคืน,หนี้สูญรับคืน,430700,"['2,115,647', '798,032']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['662,003', '662,043']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['9,099,226', '5,089,956']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['21,172', '16,608']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['2,265,494', '1,580,850']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['1,058,089', '593,565']"
อื่นๆ,อื่นๆ,429890,"['4,781,682', '2,215,316']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['11,817,201', '5,159,847']"
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,409994,"['10,428,120', '7,025,129']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['1,989,985', '1,134,139']"
กำไรสุทธิ,กำไรสุทธิ,409996,"['8,438,135', '5,890,990']"
กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,"['(304,062)', '12,725']"
กำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยง,กำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยง,440200,"['283,457', '314,942']"
กำไร(ขาดทุน)จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,กำไร(ขาดทุน)จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,440500,"['(606,988)', '-']"
ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นในบริษัทร่วมและการร่วมค้า,ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นในบริษัทร่วมและการร่วมค้า,440900,"['(39,798)', '-']"
ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,449900,"['24,226', '(65,533)']"
กำไร(ขาดทุน)จากเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร(ขาดทุน)จากเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(165,335)', '(258,855)']"
โครงการผลประโยชน์ของพนักงาน,กำไร (ขาดทุน) จากการประมาณการตามหลักคณิตศาสตร์ประกันภัยสำหรับโครงการผลประโยชน์พนักงาน,450600,"['22,700', '-']"
ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,ภาษีเงินได้ของรายการที่จะไม่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,459900,"['28,073', '51,771']"
รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,409998,"['(757,727)', '55,050']"
กำไรเบ็ดเสร็จรวม,กำไรเบ็ดเสร็จรวม,409999,"['7,680,408', '5,946,040']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,460100,"['8,208,926', '5,890,990']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['229,209', '-']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,470100,"['7,592,463', '5,946,040']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['87,945', '-']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,"['1.12', '0.80']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['80,985,353', '52,650,616']"
