account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['126,810,003', '122,019,056']"
รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,"['143,494,773', '143,494,773']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,"['1,020,172,116', '632,909,312']"
เงินลงทุนที่วางเป็นประกัน,เงินลงทุนที่วางเป็นประกัน,101670,"['1,160,000', '1,160,000']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,"['-', '500,074,930']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,103800,"['17,486,560', '17,486,558']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['96,953,208', '96,953,208']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['11,717,302', '11,717,300']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['71,309,173', '53,999,573']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['44,960,834', '48,286,618']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,534,063,969', '1,628,101,328']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['101,656,221', '101,656,221']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,"['29,115,502', '27,963,172']"
ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,202700,"['105,974,498', '105,974,498']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['1,993,027', '1,993,027']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['82,057,105', '81,987,220']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['49,610,932', '49,633,953']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['370,407,285', '369,208,091']"
ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['125,615,708', '125,615,708']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,310220,"['125,615,708', '125,615,708']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['775,201,216', '775,201,216']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(194,823,609)', '(125,572,794)']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,"['18,000,000', '18,000,000']"
สำรองเพื่อรักษาระดับราคาหลักทรัพย์,สำรองเพื่อรักษาระดับราคาหลักทรัพย์,310619,"['5,000,000', '5,000,000']"
สำรองเพื่อขยายกิจการ,สำรองเพื่อขยายกิจการ,310619,"['10,000,000', '10,000,000']"
สำรองทั่วไป,สำรองทั่วไป,310619,"['50,000,000', '50,000,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['374,663,311', '400,649,107']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,"['1,163,656,626', '1,258,893,237']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['58', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['1,163,656,684', '1,258,893,237']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['1,534,063,969', '1,628,101,328']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['330,018,377', '330,025,386']"
