account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['479,674,276']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,"['625,240,176']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,"['17,665,360,006']"
สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['25,395,730']"
เงินลงทุน,เงินลงทุน,101660,"['3,262,385,270']"
เงินให้กู้ยืมแก่พนักงาน,บุคคลหรือกิจการอื่น,102510,"['207,825,819']"
อุปกรณ์,อุปกรณ์,103800,"['73,244,454']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['317,150,306']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['24,730,941']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['65,600,206']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['415,592,602']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['23,162,199,786']"
เงินกู้ยืมจากสถาบันการเงิน,เงินกู้ยืมจากสถาบันการเงิน,201900,"['2,490,000,000']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,200800,"['948,525,182']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,"['2,569,041,968']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,202100,"['432,980']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,"['122,531,625']"
ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,202000,"['11,357,278,751']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['293,207,882']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['306,082,287']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['310,804,216']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['18,397,904,891']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ,ทุนที่ออกและชำระแล้วหุ้นสามัญ,310220,"['2,854,072,500']"
