account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['1,866,317', '244,708']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,111630,"['526', '-']"
ส่วนของเงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับที่ถึงกำหนดชำระภายในหนึ่งปี-สุทธิ,ส่วนของเงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับที่ถึงกำหนดชำระภายในหนึ่งปี-สุทธิ,112050,"['23,112,766', '-']"
ลูกหนี้กิจการที่เกี่ยวข้องกันจากการขายลูกหนี้เงินให้กู้ยืมและดอกเบี้ยค้างรับ,ลูกหนี้กิจการที่เกี่ยวข้องกันจากการขายลูกหนี้เงินให้กู้ยืมและดอกเบี้ยค้างรับ,112050,"['-', '1,548,324']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,112320,"['4,326,580', '17,864,036']"
เงินให้กู้ยืมระยะสั้นแก่สถาบันการเงิน,เงินให้กู้ยืมระยะสั้นแก่สถาบันการเงิน,112310,"['3,200,000', '-']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,"['1,234,757', '5,415']"
ทรัพย์สินรอการขาย-สุทธิ,ทรัพย์สินรอการขาย-สุทธิ,113500,"['750,726', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['92,525', '7,271']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['34,584,197', '19,669,754']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,121600,"['42,351', '5,837']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,121620,"['37,131', '-']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,"['1,503,618', '1,499,400']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '10,760,420']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ-สุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ-สุทธิ,122050,"['11,566,644', '-']"
ที่ดินอาคารอุปกรณ์-สุทธิ,ที่ดินอาคารอุปกรณ์-สุทธิ,123800,"['646,432', '15,055']"
สินทรัพย์สิทธิการใช้-สุทธิ,สินทรัพย์สิทธิการใช้-สุทธิ,123900,"['1,349,873', '35,864']"
สินทรัพย์ไม่มีตัวตน-สุทธิ,สินทรัพย์ไม่มีตัวตน-สุทธิ,124190,"['614,425', '376']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['209,798', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['164,537', '3,286']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['16,134,809', '12,320,238']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['50,719,006', '31,989,992']"
เงินรับฝาก,เงินรับฝาก,210100,"['2,171,829', '-']"
ตราสารหนี้ที่ออก,ตราสารหนี้ที่ออก,211700,"['6,000', '-']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงินเพื่อใช้ในการซื้อลูกหนี้,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['56,000', '-']"
ส่วนของเงินกู้ยืมระยะยาวจากสถาบันการเงินที่ครบกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวจากสถาบันการเงินที่ครบกำหนดชำระภายในหนึ่งปี,211860,"['1,634,573', '1,233,240']"
หนี้สินตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['528,914', '1,864']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,"['1,875,557', '124,902']"
ส่วนของหุ้นกู้ไม่ด้อยสิทธิที่ครบกำหนดชำระภายในหนึ่งปี,ส่วนของหุ้นกู้ไม่ด้อยสิทธิที่ครบกำหนดชำระภายในหนึ่งปี,211830,"['5,195,767', '5,195,767']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,"['535,732', '51,280']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['111,272', '4,915']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['12,115,644', '6,611,968']"
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,เงินกู้ยืมระยะยาวจากสถาบันการเงิน,221860,"['2,337,487', '914,153']"
หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินภาษีเงินได้รอตัดบัญชี,223200,"['188,246', '47,825']"
หนี้สินอนุพันธ์ทางการเงิน,หนี้สินอนุพันธ์ทางการเงิน,222100,"['8,428', '8,428']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['827,073', '35,738']"
หุ้นกู้ไม่ด้อยสิทธิ,หุ้นกู้ไม่ด้อยสิทธิ,221830,"['10,517,385', '10,517,385']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,222700,"['42,504', '13,719']"
ประมาณการค่ารื้อถอน,ประมาณการค่ารื้อถอน,229900,"['136,396', '437']"
