account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['222,658,176']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,"['77,114,128']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,"['463,776']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,"['268,752,656']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,"['88,052,522']"
สินทรัพย์ทางการเงินตราสารหนี้,สินทรัพย์ทางการเงินตราสารหนี้,101911,"['116,076,649']"
สินทรัพย์ทางการเงินตราสารทุน,สินทรัพย์ทางการเงินตราสารทุน,101912,"['246,145,247']"
เงินให้กู้ยืม,เงินให้กู้ยืม,102500,"['11,000,000']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,"['89,342,043']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['15,168,381']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['8,173,029']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['85,301,812']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['61,866,899']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,290,115,318']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,"['597,551,936']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,"['236,514,341']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,202100,"['145,994']"
ค่าจ้างและค่าบำเหน็จค้างจ่าย,ค่าจ้างและค่าบำเหน็จค้างจ่าย,201600,"['13,175,303']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,"['5,230,101']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,203200,"['16,878,479']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['43,131,409']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['912,627,563']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['951,456,883']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['951,456,883']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['18,811,235']"
ทุนสำรองทั่วไป,ทุนสำรองทั่วไป,310619,"['6,000,000']"
-ยังไม่ได้จัดสรร,-ยังไม่ได้จัดสรร,310620,"['(665,699,648)']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น-สุทธิ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น-สุทธิ,319990,"['66,919,285']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['377,487,755']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,"['1,290,115,318']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,"['160,154,724', '336,804,334']"
หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,"['(74,598,192)', '(150,170,194)']"
เบี้ยประกันภัยรับสุทธิ,เบี้ยประกันภัยรับสุทธิ,400299,"['85,556,532', '186,634,140']"
บวก(หัก)สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้(เพิ่มขึ้น)ลดลง,บวก(หัก)สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้(เพิ่มขึ้น)ลดลง,420300,"['(4,669,637)', '(27,452,241)']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,400399,"['80,886,895', '159,181,899']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,"['28,166,982', '58,890,688']"
รายได้จากการลงทุน,รายได้จากการลงทุน,410128,"['2,028,385', '3,160,321']"
กำไร(ขาดทุน)จากเครื่องมือทางการเงิน,กำไร(ขาดทุน)จากเครื่องมือทางการเงิน,431610,"['1,680,448', '6,907,647']"
กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน,กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน,431620,"['(242,225)', '244,689']"
รายได้อื่น,รายได้อื่น,410200,"['5,098,179', '9,462,822']"
รวมรายได้,รวมรายได้,419999,"['117,618,664', '237,848,066']"
ค่าสินไหมทดแทน,ค่าสินไหมทดแทน,420900,"['93,732,606', '172,459,073']"
หักค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,หักค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,421000,"['(47,515,860)', '(89,746,409)']"
ค่าจ้างและค่าบำเหน็จ,ค่าจ้างและค่าบำเหน็จ,421100,"['22,744,147', '49,671,826']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,421200,"['34,892,715', '79,670,657']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422100,"['30,084,414', '65,709,957']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['133,938,022', '277,765,104']"
ขาดทุนก่อนภาษีเงินได้,ขาดทุนก่อนภาษีเงินได้,409994,"['(16,319,358)', '(39,917,038)']"
รายได้(ค่าใช้จ่าย)ภาษีเงินได้,รายได้(ค่าใช้จ่าย)ภาษีเงินได้,439800,"['(2,482,429)', '1,723,921']"
ขาดทุนสำหรับงวด,ขาดทุนสำหรับงวด,460100,"['(18,801,787)', '(38,193,117)']"
ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['203,102', '450,963']"
ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,"['(40,621)', '(90,193)']"
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,409998,"['162,481', '360,770']"
ขาดทุนเบ็ดเสร็จรวมสำหรับงวด,ขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,"['(18,639,306)', '(37,832,347)']"
ขาดทุนต่อหุ้นขั้นพื้นฐาน,ขาดทุนต่อหุ้นขั้นพื้นฐาน,480100,"['(0.01)', '(0.02)']"
เบี้ยประกันภัยรับจากการรับประกันภัยโดยตรง,เบี้ยประกันภัยรับจากการรับประกันภัยโดยตรง,550010,"['343,479,156']"
เงินรับ(จ่าย)เกี่ยวกับการประกันภัยต่อ,เงินรับ(จ่าย)เกี่ยวกับการประกันภัยต่อ,550022,"['(13,863,878)']"
ค่าสินไหมทดแทนจากการรับประกันภัยโดยตรง,ค่าสินไหมทดแทนจากการรับประกันภัยโดยตรง,550024,"['(182,025,144)']"
ค่าจ้างและค่าบำเหน็จจากการรับประกันภัยโดยตรง,ค่าจ้างและค่าบำเหน็จจากการรับประกันภัยโดยตรง,550021,"['(50,499,654)']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,550025,"['(80,935,474)']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,559500,"['2,111,415']"
เงินปันผลรับ,เงินปันผลรับ,559700,"['907,049']"
รายได้อื่น,รายได้อื่น,550019,"['2,302,758']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,550028,"['(50,790,916)']"
จ่ายภาษีเงินได้,จ่ายภาษีเงินได้,559900,"['(537,045)']"
เงินสดรับสินทรัพย์ทางการเงิน,เงินสดรับสินทรัพย์ทางการเงิน,550031,"['283,645,024']"
เงินสดจ่ายสินทรัพย์ทางการเงิน,เงินสดจ่ายสินทรัพย์ทางการเงิน,550041,"['(215,853,756)']"
เงินสดรับเงินให้กู้ยืม,เงินสดรับเงินให้กู้ยืม,550032,"['22,000,000']"
เงินสดจ่ายเงินให้กู้ยืม,เงินสดจ่ายเงินให้กู้ยืม,550042,"['(11,000,000)']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,559999,"['48,939,535']"
เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,521710,"['(1,176,234)']"
เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,521610,"['160,935']"
เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,521720,"['(848,341)']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมลงทุน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมลงทุน,529999,"['(1,863,640)']"
เงินสดจ่ายหนี้สินตามสัญญาเช่า,เงินสดจ่ายหนี้สินตามสัญญาเช่า,530500,"['(2,252,862)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,"['(2,252,862)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,509999,"['44,823,033']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},599998,"['177,835,143']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},599999,"['222,658,176']"
