account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['44,446,617']"
เงินลงทุนในตราสารหนี้ระยะสั้น,เงินลงทุนในตราสารหนี้ระยะสั้น,111600,119999,"['22,725,009']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,119999,"['94,970,821']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,112300,119999,"['173,578']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,119999,"['86,809,535']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['2,902,673']"
สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,114700,119999,"['1,629,111']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['253,657,344']"
เงินลงทุนในตราสารหนี้,เงินลงทุนในตราสารหนี้,121600,129999,"['2,721,087']"
เงินลงทุนในตราสารทุน,เงินลงทุนในตราสารทุน,121600,129999,"['17,078,274']"
เงินลงทุนในการร่วมค้าและบริษัทร่วม,เงินลงทุนในการร่วมค้าและบริษัทร่วม,122600,129999,"['119,656,929']"
ลูกหนี้ไม่หมุนเวียนอื่น,ลูกหนี้ไม่หมุนเวียนอื่น,123140,122000,"['2,566,634']"
เงินให้กู้ยืมระยะยาว,เงินให้กู้ยืมระยะยาว,122400,129999,"['144,587']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['2,103,517']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,129999,"['424,620,214']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['46,160,752']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,124100,"['21,572,073']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['4,844,436']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['8,010,747']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['649,479,250']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['903,136,594']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['61,898,482']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,219999,"['76,055,632']"
ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,211800,"['4,584,498']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['2,280,445']"
ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,211830,211800,"['24,934,787']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,219999,"['300,539']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,219999,"['3,308,765']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['1,690,300']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['175,053,448']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,221890,221800,"['77,757,116']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,229999,"['10,825,541']"
หุ้นกู้,หุ้นกู้,221830,221800,"['145,113,203']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,223200,229999,"['8,711,323']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,229999,"['15,047,803']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['2,871,871']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['260,326,857']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['435,380,305']"
(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),310120,310100,"['1,600,000']"
(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),310220,310200,"['1,200,000']"
ส่วนเกินทุนอื่น,ส่วนเกินทุนอื่น,319919,319910,"['3,204,941']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,310610,"['160,000']"
ทุนสำรองทั่วไป,ทุนสำรองทั่วไป,310619,310610,"['10,516,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['355,494,934']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,"['12,905,033']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,309998,"['84,275,381']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['467,756,289']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['903,136,594']"
รายได้จากการขาย,รายได้จากการขาย,410102,410100,"['152,534,194']"
ต้นทุนขาย,ต้นทุนขาย,420410,420400,"['(129,630,165)']"
รายได้อื่น,รายได้อื่น,410200,419999,"['5,306,954']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,422100,"['(9,303,917)']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['(8,424,989)']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['(596,596)']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,409995,"['(1,714,890)']"
ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,431100,409992,"['3,349,006']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,409995,"['(1,946,398)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,,"['9,573,199']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่,460100,,"['9,937,631']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,,"['(364,432)']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น),480100,,['8.28']
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,409999,"['9,573,199']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,409998,"['9,371,372']"
ผลกำไร(ขาดทุน)จากการป้องกันความเสี่ยงกระแสเงินสด,กำไร (ขาดทุน) จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยงในกระแสเงินสด,440200,409998,"['2,088,596']"
ผลขาดทุนจากการวัดมูลค่าสินทรัพย์ทางการเงิน,ผลขาดทุนจากการวัดมูลค่าสินทรัพย์ทางการเงิน,440100,409998,"['(23,613)']"
ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,440900,409998,"['2,023,448']"
ภาษีเงินได้ของรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,449900,409998,"['4,723']"
ผลกำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเงินลงทุนในตราสารทุน,กำไร (ขาดทุน) จากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,"['(1,945,416)']"
ผลกำไรจากการวัดมูลค่าใหม่ของผลประโยชน์พนักงานที่กำหนดไว้,ผลกำไรจากการวัดมูลค่าใหม่ของผลประโยชน์พนักงานที่กำหนดไว้,450600,409998,"['22,615']"
ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,450500,409998,"['(222,216)']"
ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,409998,"['383,542']"
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,409998,409999,"['11,703,051']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,,"['21,276,250']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่,470100,,"['20,680,198']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,,"['596,052']"
รายได้จากการขาย,รายได้จากการขาย,410102,410100,"['305,027,790']"
ต้นทุนขาย,ต้นทุนขาย,420410,420400,"['(258,026,230)']"
