account_name,taxonomy_account_name,account_code,values
เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน(ราคาทุน:{{number}}ล้านบาท({{date_twelve}}:{{number}}ล้านบาท)),เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน(ราคาทุน:{{number}}ล้านบาท({{date_twelve}}:{{number}}ล้านบาท)),100400,"['4,293,350']"
เงินลงทุนในทรัพย์สินเส้นใยแก้วนำแสงตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท),เงินลงทุนในทรัพย์สินเส้นใยแก้วนำแสงตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท),100500,"['98,600,000']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['117,782']"
ลูกหนี้จากดอกเบี้ยค้างรับ,ลูกหนี้จากดอกเบี้ยค้างรับ,102072,['52']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,"['11,568']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['103,022,752']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['204,022']"
เงินกู้ยืมระยะยาวจากธนาคาร,เงินกู้ยืมระยะยาวจากธนาคาร,201860,"['13,799,525']"
รายได้ค่าเช่ารับล่วงหน้า,รายได้ค่าเช่ารับล่วงหน้า,202310,"['816,510']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['14,820,057']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,"['76,683,800']"
กำไรสะสม,กำไรสะสม,310600,"['11,518,895']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,"['88,202,695']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,['11.0253']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(พันหน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(พันหน่วย),330201,"['8,000,000']"
รายได้ค่าเช่า,รายได้ค่าเช่า,410123,"['2,567,152']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['5,039']"
รวมรายได้,รวมรายได้,419999,"['2,572,191']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,"['22,130']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,"['3,983']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,['997']
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,"['3,018']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422120,"['135,349']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['188,745']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,['42']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['6,164']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['360,428']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,"['2,211,763']"
รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,439702,"['(799,927)']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,"['1,411,836']"
รายได้ค่าเช่า,รายได้ค่าเช่า,410123,"['5,134,304']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['10,171']"
รายได้อื่น,รายได้อื่น,410200,['100']
รวมรายได้,รวมรายได้,419999,"['5,144,575']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,"['44,189']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,"['7,954']"
