account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['5,036,198', '3,195,075']"
ลูกหนี้การค้า,ลูกหนี้การค้า,112040,112000,"['72,877,749', '69,913,145']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,113100,"['635,621', '518,872']"
จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,113190,113100,"['0.0', '241,024']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,113000,119999,"['28,722', '28,722']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['118,263', '43,671']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['78,696,553', '73,940,509']"
ลูกหนี้การค้า,ลูกหนี้การค้า,122040,122000,"['3,269,253', '1,538,764']"
เงินฝากประจำธนาคารที่มีภาระผูกพัน,เงินฝากประจำธนาคารที่มีภาระผูกพัน,120300,129999,"['41,170', '0.0']"
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,122420,122400,"['0.0', '128,876']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,122700,"['0.0', '1,206,645']"
เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,121640,121600,"['5,062', '5,062']"
ผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,เงินลงทุนในตราสารทุนที่เลือกกำหนดให้แสดงด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,121650,121600,"['144,000', '144,000']"
เงินให้กู้ยืมประเภทด้อยสิทธิ,เงินให้กู้ยืมประเภทด้อยสิทธิ,122400,129999,"['0.0', '84,074']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,123800,129999,"['692,345', '559,224']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['594,176', '483,080']"
สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,124190,124100,"['801,104', '648,499']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,123000,129999,"['166,045', '166,045']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['2,828,282', '2,730,625']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['187,800', '172,139']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['8,729,237', '7,867,033']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['87,425,790', '81,807,542']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['10,691,247', '8,590,880']"
เจ้าหนี้การค้า,เจ้าหนี้การค้า,211100,219999,"['187,899', '127,735']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,211100,"['1,465,122', '1,349,291']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,211890,211800,"['4,772,147', '4,353,262']"
