account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['544,843', '64,044']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,110900,119999,"['198,489', '-']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,111000,119999,"['2,183,879', '-']"
ลูกหนี้จากการซื้อสิทธิเรียกร้อง,ลูกหนี้จากการซื้อสิทธิเรียกร้อง,112050,112000,"['1,944,875', '-']"
ลูกหนี้ตามสัญญาเช่าเงินทุนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุนที่ถึงกำหนดชำระภายในหนึ่งปี,112200,119999,"['115,062', '-']"
ลูกหนี้ตามสัญญาเช่าซื้อที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าซื้อที่ถึงกำหนดชำระภายในหนึ่งปี,112200,119999,"['258,040', '-']"
ลูกหนี้เงินให้กู้ยืมที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้เงินให้กู้ยืมที่ถึงกำหนดชำระภายในหนึ่งปี,112050,112000,"['282,188', '-']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,112320,112300,"['-', '745,468']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,113100,"['132,412', '597']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,"['436,273', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['67,906', '1,032']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['6,163,967', '811,141']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,120300,129999,"['743', '-']"
ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,129999,"['282,166', '-']"
ลูกหนี้ตามสัญญาเช่าซื้อ-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าซื้อ-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,129999,"['267,237', '-']"
ลูกหนี้เงินให้กู้ยืม-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้เงินให้กู้ยืม-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,129999,"['112,005', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,123100,"['90,674', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,122700,"['-', '2,675,782']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,122600,"['602,791', '1,241,800']"
สินทรัพย์ที่มีไว้เพื่อให้เช่า,สินทรัพย์ที่มีไว้เพื่อให้เช่า,123800,129999,"['114,189', '-']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['1,795,449', '-']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,123800,129999,"['41,165', '260']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['22,431', '1,631']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['137,118', '-']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,124100,"['109,526', '83']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['26,109', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['90,603', '1,298']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['3,692,206', '3,920,854']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['9,856,173', '4,731,995']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['1,875,000', '-']"
