account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสด,เงินสด,100100,109999,"['69,970']"
รายการระหว่างธนาคารและตลาดเงิน-เงินฝากสถาบันการเงิน,รายการระหว่างธนาคารและตลาดเงิน-เงินฝากสถาบันการเงิน,100200,109999,"['2,403,308']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,109999,"['460,132']"
เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,109999,"['72,067,006']"
ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102000,109999,"['748,480']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,109999,"['31,234,767']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,109999,"['1,106,203']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,109900,109999,['873']
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,109999,"['95,828']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['5,709,282']"
เงินรอรับจากการขายทอดตลาดสุทธิ,เงินรอรับจากการขายทอดตลาดสุทธิ,104900,109999,"['11,236,614']"
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,109900,109999,"['988,081']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['144,548']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['126,265,092']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,"['80,527,855']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,209999,"['1,021,732']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,209900,209999,"['589,944']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['1,144']"
ภาษีค้างจ่าย,ภาษีค้างจ่าย,209900,209999,"['619,384']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,209900,209999,"['129,757']"
เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,หนี้สินอื่น,209900,209999,"['726,017']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['536,448']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['84,152,281']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['16,225,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['16,160,212']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,"['6,044,227']"
ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319913,319910,"['247,478']"
จัดสรรแล้ว-สำรองตามกฎหมาย,จัดสรรแล้ว-สำรองตามกฎหมาย,310611,310610,"['1,622,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['18,038,394']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,"['42,112,811']"
