account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['52,680,905']"
เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,111610,111600,"['334,747']"
เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,111620,111600,"['8,929']"
ลูกหนี้การค้าสุทธิ,ลูกหนี้การค้าสุทธิ,112000,119999,"['22,466,079']"
ลูกหนี้กิจการที่เกี่ยวข้องกัน,ลูกหนี้กิจการที่เกี่ยวข้องกัน,112020,112000,"['77,680']"
เงินปันผลค้างรับจากกิจการที่เกี่ยวข้องกันที่คาดว่าจะได้รับชำระภายในหนึ่งปี,เงินปันผลค้างรับจากกิจการที่เกี่ยวข้องกันที่คาดว่าจะได้รับชำระภายในหนึ่งปี,112071,119999,"['2,298,486']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,112320,112300,"['2,360,090']"
สินค้าคงเหลือสุทธิ,สินค้าคงเหลือสุทธิ,112900,119999,"['5,725,329']"
อะไหล่และวัสดุเครื่องจักรสุทธิ,อะไหล่และวัสดุเครื่องจักรสุทธิ,112960,112900,"['1,414,320']"
สินทรัพย์อนุพันธ์การเงินที่ถึงกำหนดภายในหนึ่งปี,สินทรัพย์อนุพันธ์การเงินที่ถึงกำหนดภายในหนึ่งปี,113000,119999,"['472,775']"
ค่าใช้จ่ายในการสำรวจและพัฒนารอตัดบัญชีและการเปิดหน้าดินรอตัดบัญชีส่วนที่หมุนเวียนสุทธิ,ค่าใช้จ่ายในการสำรวจและพัฒนารอตัดบัญชีและการเปิดหน้าดินรอตัดบัญชีส่วนที่หมุนเวียนสุทธิ,119990,119900,"['3,172,127']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['13,784,647']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['104,796,114']"
เงินปันผลค้างรับจากกิจการที่เกี่ยวข้องกัน,เงินปันผลค้างรับจากกิจการที่เกี่ยวข้องกัน,123190,123100,"['163,831']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,122420,122400,"['525,205']"
เงินลงทุนในบริษัทร่วมและการร่วมค้าที่รับรู้ตามวิธีส่วนได้เสีย,เงินลงทุนในบริษัทร่วมและการร่วมค้าที่รับรู้ตามวิธีส่วนได้เสีย,122600,129999,"['57,111,162']"
เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,121610,121600,"['5,294,550']"
เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,121640,121600,"['235,066']"
เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,121650,121600,"['5,554,173']"
สินทรัพย์อนุพันธ์การเงิน,สินทรัพย์อนุพันธ์ - ไม่หมุนเวียน,123000,129999,"['1,918,203']"
อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,123700,129999,"['51,939']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,123800,129999,"['150,653,032']"
สินทรัพย์สิทธิการใช้สุทธิ,สินทรัพย์สิทธิการใช้สุทธิ,123900,129999,"['3,430,472']"
ค่าใช้จ่ายในการสำรวจและพัฒนารอตัดบัญชีและการเปิดหน้าดินรอตัดบัญชีสุทธิ,ค่าใช้จ่ายในการสำรวจและพัฒนารอตัดบัญชีและการเปิดหน้าดินรอตัดบัญชีสุทธิ,124130,129999,"['30,262,001']"
สิทธิในเหมืองถ่านหินสุทธิ,สิทธิในเหมืองถ่านหินสุทธิ,124110,124100,"['42,821,270']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['15,155,087']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชีสุทธิ,สินทรัพย์ภาษีเงินได้รอตัดบัญชีสุทธิ,124400,129999,"['3,451,592']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['10,642,001']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['327,269,584']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['432,065,698']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['29,700,270']"
เจ้าหนี้การค้า,เจ้าหนี้การค้า,211100,219999,"['4,043,169']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,212500,219999,"['1,304,854']"
ค่าภาคหลวงค้างจ่าย,ค่าภาคหลวงค้างจ่าย,212500,219999,"['192,122']"
ค่าเปิดหน้าดินและค่าขนถ่านหินค้างจ่าย,ค่าเปิดหน้าดินและค่าขนถ่านหินค้างจ่าย,212500,219999,"['3,062,693']"
