account_name,taxonomy_account_name,account_code,values
เงินสด,เงินสด,100100,"['27,690,617', '26,140,778']"
รายการระหว่างธนาคารและตลาดเงินสุทธิ,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,"['413,507,163', '404,271,202']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,"['742,066', '-']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['41,838,684', '42,095,951']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,"['147,523,504', '144,545,231']"
เงินลงทุนในบริษัทย่อยบริษัทร่วมและการร่วมค้าสุทธิ,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ,102600,"['15,878,406', '63,694,747']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,"['1,872,064,483', '1,677,752,115']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,"['5,224,545', '4,798,360']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['30,306,467', '27,589,049']"
ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,"['17,048,107', '3,761,888']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,"['4,321,642', '876,870']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['22,993,732', '17,418,504']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['2,599,139,416', '2,412,944,695']"
เงินรับฝาก,เงินรับฝาก,200100,"['1,819,012,260', '1,794,322,199']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,200200,"['245,877,380', '228,577,436']"
หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,"['5,775,232', '5,765,343']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,"['35,217,202', '35,562,550']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,"['108,160,972', '72,408,711']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['12,358,842', '9,946,535']"
หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินภาษีเงินได้รอตัดบัญชี,203200,"['499,208', '-']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['44,084,472', '28,825,730']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['2,270,985,568', '2,175,408,504']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['75,741,437', '75,741,437']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['73,557,618', '73,557,618']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['52,878,749', '52,878,749']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['2,004,667', '2,767,591']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['7,574,144', '7,574,144']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['191,386,693', '100,758,089']"
รวมส่วนของธนาคาร,รวมส่วนของธนาคาร,319999,"['327,401,871', '237,536,191']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['751,977', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['328,153,848', '237,536,191']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['2,599,139,416', '2,412,944,695']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['25,505,362', '17,277,430']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['4,961,791', '3,929,888']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['20,543,571', '13,347,542']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['5,884,994', '2,932,572']"
ค่าใช้จ่ายค่าธรรมเนียมและบริการ,ค่าใช้จ่ายค่าธรรมเนียมและบริการ,422200,"['1,680,639', '1,248,461']"
รายได้ค่าธรรมเนียมและบริการสุทธิ,รายได้ค่าธรรมเนียมและบริการสุทธิ,400699,"['4,204,355', '1,684,111']"
กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,431390,"['1,174,990', '1,315,196']"
กำไร(ขาดทุน)สุทธิจากเงินลงทุน,กำไร(ขาดทุน)สุทธิจากเงินลงทุน,431400,"['(40,035)', '(122,035)']"
ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,431100,"['394,330', '-']"
รายได้จากเงินปันผล,รายได้จากเงินปันผล,410202,"['127,388', '1,776,712']"
หนี้สูญรับคืน,หนี้สูญรับคืน,430700,"['1,670,238', '758,477']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['568,189', '567,943']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['6,714,909', '4,678,548']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['16,944', '15,376']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['1,804,474', '1,482,490']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['553,594', '377,471']"
อื่นๆ,อื่นๆ,429890,"['3,244,638', '1,999,587']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['6,566,548', '4,358,252']"
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,409994,"['9,741,919', '6,416,222']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['1,860,768', '951,960']"
กำไรสุทธิ,กำไรสุทธิ,409996,"['7,881,151', '5,464,262']"
กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,"['(1,890,218)', '(1,890,218)']"
กำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยงในกระแสเงินสด,กำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยงในกระแสเงินสด,440200,"['621,851', '516,945']"
กำไร(ขาดทุน)จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,กำไร(ขาดทุน)จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,440500,"['680,390', '-']"
ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นในบริษัทร่วมและการร่วมค้า,ส่วนแบ่งกำไร (ขาดทุน) เบ็ดเสร็จอื่นในบริษัทย่อย บริษัทร่วม และการร่วมค้า (ภายใต้วิธีส่วนได้เสีย) สำหรับรายการที่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,440900,"['8,300', '-']"
ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,449900,"['60,325', '274,655']"
กำไร(ขาดทุน)จากเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(832,075)', '(795,510)']"
ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,459900,"['166,415', '159,102']"
รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,409998,"['(1,185,012)', '(1,735,026)']"
กำไรเบ็ดเสร็จรวม,กำไรเบ็ดเสร็จรวม,409999,"['6,696,139', '3,729,236']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,460100,"['7,833,750', '5,464,262']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['47,401', '-']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,470100,"['6,649,375', '3,729,236']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['46,764', '-']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,"['1.06', '0.74']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['50,256,774', '34,096,957']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['9,841,383', '7,882,490']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['40,415,391', '26,214,467']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['11,915,930', '6,039,272']"
ค่าใช้จ่ายค่าธรรมเนียมและบริการ,ค่าใช้จ่ายค่าธรรมเนียมและบริการ,422200,"['3,480,489', '2,591,076']"
รายได้ค่าธรรมเนียมและบริการสุทธิ,รายได้ค่าธรรมเนียมและบริการสุทธิ,400699,"['8,435,441', '3,448,196']"
กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,431390,"['2,306,441', '2,470,510']"
กำไร(ขาดทุน)สุทธิจากเงินลงทุน,กำไร(ขาดทุน)สุทธิจากเงินลงทุน,431400,"['(40,035)', '(122,035)']"
