account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),100400,109999,"['45,050,000']"
เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),100400,109999,"['419,697']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['27,002']"
ดอกเบี้ยค้างรับ,ดอกเบี้ยค้างรับ,109990,109900,['3']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,109900,"['3,465']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,299999,"['45,500,167']"
เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,201160,201100,"['47,808']"
เจ้าหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,เจ้าหนี้จากการซื้อเงินลงทุน,201170,201100,"['1,243']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['12,343']"
รวมหนี้สิน,รวมหนี้สิน,209999,299999,"['61,394']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,309998,"['55,813,684']"
ขาดทุนสะสม,ขาดทุนสะสม,310600,309998,"['(10,374,911)']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,,"['45,438,773']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,,['7.8505']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),330201,,"['5,788,000']"
