account_name,taxonomy_account_name,account_code,values
เงินลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,เงินลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,"['44,528,475']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['647,905']"
ลูกหนี้ค่าเช่าและบริการ,ลูกหนี้ค่าเช่าและบริการ,102080,"['136,594']"
ดอกเบี้ยค้างรับ,ดอกเบี้ยค้างรับ,102072,['410']
ลูกหนี้อื่น,ลูกหนี้อื่น,102090,['433']
ค่าใช้จ่ายรอการตัดบัญชี,ค่าใช้จ่ายรอการตัดบัญชี,102100,"['8,968']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,"['61,945']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['45,384,730']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,201700,"['550,000']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['56,440']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,202500,"['94,000']"
ภาษีหักณที่จ่ายค้างจ่าย,ภาษีหักณที่จ่ายค้างจ่าย,204010,"['27,770']"
เงินมัดจำรับค่าเช่าและบริการ,เงินมัดจำรับค่าเช่าและบริการ,202210,"['1,147,454']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['177,534']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,201890,"['1,295,812']"
หุ้นกู้,หุ้นกู้,201830,"['9,033,429']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['34,541']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['12,416,980']"
ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์,ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์,310200,"['31,118,590']"
กำไรสะสม,กำไรสะสม,310600,"['1,849,160']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,"['32,967,750']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,['10.7618']
จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),330201,"['3,063,387']"
รายได้ค่าเช่าและบริการ,รายได้ค่าเช่าและบริการ,410123,"['900,223']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,['668']
รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,410200,"['2,924']"
รายได้อื่น,รายได้อื่น,410200,"['3,229']"
รวมรายได้,รวมรายได้,419999,"['907,044']"
ต้นทุนการเช่าและบริการ,ต้นทุนการเช่าและบริการ,420700,"['67,085']"
ค่าธรรมเนียมการจัดการกองทรัสต์,ค่าธรรมเนียมการจัดการกองทรัสต์,421300,"['104,190']"
ค่าธรรมเนียมทรัสตี,ค่าธรรมเนียมทรัสตี,421400,"['5,215']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,['838']
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,['465']
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['4,798']"
ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,421800,"['3,069']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['86,358']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['272,018']"
ของเงินลงทุนในอสังหาริมทรัพย์,กำไร (ขาดทุน) จากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,439702,"['(7,981)']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,"['627,045']"
รายได้ค่าเช่าและบริการ,รายได้ค่าเช่าและบริการ,410123,"['1,794,049']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['1,741']"
รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,410200,"['10,577']"
รายได้อื่น,รายได้อื่น,410200,"['6,482']"
รวมรายได้,รวมรายได้,419999,"['1,812,849']"
ต้นทุนการเช่าและบริการ,ต้นทุนการเช่าและบริการ,420700,"['125,600']"
ค่าธรรมเนียมการจัดการกองทรัสต์,ค่าธรรมเนียมการจัดการกองทรัสต์,421300,"['209,890']"
ค่าธรรมเนียมทรัสตี,ค่าธรรมเนียมทรัสตี,421400,"['10,561']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,"['1,730']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,['930']
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['7,623']"
ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,421800,"['6,206']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['179,491']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['542,031']"
รายการกำไรสุทธิจากการจำหน่ายเงินลงทุนในอสังหาริมทรัพย์,รายการกำไรสุทธิจากการจำหน่ายเงินลงทุนในอสังหาริมทรัพย์,439701,"['4,602']"
ของเงินลงทุนในอสังหาริมทรัพย์,กำไร (ขาดทุน) จากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,439702,"['(180,113)']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,"['1,095,307']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,560090,"['1,095,307']"
ของเงินลงทุนในอสังหาริมทรัพย์,(กำไร) ขาดทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน,561300,"['180,113']"
เงินสดรับจากการขายเงินลงทุนในหลักทรัพย์,เงินสดรับจากการขายเงินลงทุนในหลักทรัพย์,560031,"['300,000']"
ซื้อเงินลงทุนในอสังหาริมทรัพย์,ซื้อเงินลงทุนในอสังหาริมทรัพย์,560060,"['(3,245)']"
เงินสดรับจากการขายเงินลงทุนในอสังหาริมทรัพย์-สุทธิ,เงินสดรับจากการขายเงินลงทุนในอสังหาริมทรัพย์-สุทธิ,560050,"['55,802']"
รายการกำไรสุทธิจากการขายเงินลงทุนในอสังหาริมทรัพย์,รายการกำไรสุทธิจากการขายเงินลงทุนในอสังหาริมทรัพย์,560060,"['(4,602)']"
ค่าใช้จ่ายรอตัดบัญชีตัดจำหน่าย,ค่าใช้จ่ายรอตัดบัญชีตัดจำหน่าย,565000,"['6,206']"
ลูกหนี้ค่าเช่าและบริการลดลง(เพิ่มขึ้น),ลูกหนี้การค้าและลูกหนี้อื่น (เพิ่มขึ้น) ลดลง,565800,"['(7,278)']"
ลูกหนี้อื่นลดลง(เพิ่มขึ้น),ลูกหนี้อื่นลดลง(เพิ่มขึ้น),565800,"['3,089']"
สินทรัพย์อื่นเพิ่มขึ้น,สินทรัพย์อื่นเพิ่มขึ้น,566600,"['(4,992)']"
ค่าใช้จ่ายค้างจ่ายลดลง,ค่าใช้จ่ายค้างจ่ายลดลง,568900,"['(21,644)']"
ภาษีหักณที่จ่ายค้างจ่ายเพิ่มขึ้น,ภาษีหักณที่จ่ายค้างจ่ายเพิ่มขึ้น,564900,['629']
เงินมัดจำค่าเช่าและบริการเพิ่มขึ้น(ลดลง),เงินมัดจำ เพิ่มขึ้น (ลดลง),568902,"['(15,787)']"
หนี้สินอื่นเพิ่มขึ้น(ลดลง),หนี้สินอื่น เพิ่มขึ้น (ลดลง),568300,"['5,002']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,564720,"['(1,741)']"
รับดอกเบี้ย,รับดอกเบี้ย,569500,"['2,251']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,560400,"['1,757']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,564800,"['179,491']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,569999,"['1,770,358']"
เงินสดรับจากเงินกู้ยืมระยะสั้น,เงินสดรับจากเงินกู้ยืมระยะสั้น,530310,"['400,000']"
เงินสดจ่ายเพื่อชำระเงินกู้ยืมระยะสั้น,เงินสดจ่ายเพื่อชำระเงินกู้ยืมระยะสั้น,530410,"['(650,000)']"
เงินสดจ่ายเพื่อชำระเงินกู้ยืมระยะยาว,เงินสดจ่ายชำระเงินกู้ยืมระยะยาว,530420,"['(442,700)']"
เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,530500,"['(9,292)']"
เงินสดรับจากการออกจำหน่ายหุ้นกู้,เงินสดรับจากการออกจำหน่ายหุ้นกู้,530700,"['998,306']"
เงินสดจ่ายชำระคืนหุ้นกู้,เงินสดจ่ายชำระคืนหุ้นกู้,530800,"['(1,000,000)']"
จ่ายดอกเบี้ย,จ่ายดอกเบี้ย,539600,"['(180,335)']"
การแบ่งปันส่วนทุนให้แก่ผู้ถือหน่วยทรัสต์,การแบ่งปันส่วนทุนให้แก่ผู้ถือหน่วยทรัสต์,539800,"['(1,038,489)']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมจัดหาเงิน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมจัดหาเงิน,539999,"['(1,922,510)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,509999,"['(152,152)']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{date_ten}}/{{number}},เงินสดและรายการเทียบเท่าเงินสด ต้นงวด,599998,"['800,057']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_three}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_three}},599999,"['647,905']"
