account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['544,533', '125,652']"
เงินฝากธนาคารที่มีข้อจำกัดในการใช้,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,"['2,300', '-']"
ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้การค้าและลูกหนี้อื่น,112040,"['1,021,565', '19,494']"
รายได้ค้างรับ,รายได้ค้างรับ,113200,"['36,514', '32,015']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,112040,"['54,894', '-']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,119990,"['131,974', '-']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,112040,"['23,705', '-']"
เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,"['683,740', '334,146']"
เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,"['-', '15,563,000']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,"['2,767,735', '2,601,463']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,113500,"['1,558,769', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['228,198', '48,526']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['7,053,927', '18,724,296']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,120300,"['4,480', '3,392']"
เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระเกินกว่าหนึ่งปี,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระเกินกว่าหนึ่งปี,122050,"['15,215,078', '4,353,850']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,"['387,659', '97,742']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122600,"['-', '4,193,090']"
เงินลงทุนในการร่วมค้า,เงินลงทุนในการร่วมค้า,122630,"['4,999,967', '-']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,123800,"['202,528', '177,563']"
คอมพิวเตอร์ซอฟต์แวร์,คอมพิวเตอร์ซอฟต์แวร์,124120,"['128,270', '124,144']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['145,007', '134,208']"
สินทรัพย์สุทธิของบริษัทย่อย,สินทรัพย์สุทธิของบริษัทย่อย,124200,"['10,969', '-']"
ค่าความนิยม,ค่าความนิยม,124200,"['273,790', '-']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['63,389', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['15,188', '14,480']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['21,446,325', '9,098,469']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['28,500,252', '27,822,765']"
เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้การค้าและเจ้าหนี้อื่น,211100,"['149,437', '60,372']"
เจ้าหนี้จากการซื้อลูกหนี้,เจ้าหนี้จากการซื้อลูกหนี้,211100,"['61,941', '57,823']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,219900,"['269,638', '-']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,211100,"['107,141', '-']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['36,943', '27,115']"
เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,"['55,010', '54,417']"
หุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,หุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,211830,"['2,197,646', '2,197,646']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,"['117,768', '46,328']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['42,730', '15,943']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['3,038,254', '2,459,644']"
หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,222400,"['67,225', '65,794']"
