account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['865,334,177', '464,460,690']"
หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,100700,109999,"['1,370,000,000', '1,370,000,000']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,109999,"['1,605,510,984', '1,605,510,984']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,109999,"['7,831,734,070', '7,831,734,070']"
รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,109999,"['84,309,436', '0.0']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,109999,"['272,419,846', '272,419,846']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,109999,"['5,952,976,234', '5,511,007,837']"
เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,101670,"['8,518,347', '0.0']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102610,102600,"['-', '3,029,051,687']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,109999,"['88,831,890', '78,491,205']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['141,890,351', '129,821,334']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['53,204,190', '29,580,439']"
ค่าความนิยม,ค่าความนิยม,104200,109999,"['26,713,599', '0.0']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,104700,109999,"['6,416,155', '6,416,155']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['59,019,108', '48,589,176']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['379,674,112', '354,136,646']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['18,746,552,499', '20,731,220,069']"
เงินกู้ยืมจากสถาบันการเงิน,เงินกู้ยืมจากสถาบันการเงิน,201900,209999,"['3,001,589,472', '3,001,589,472']"
หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,200600,209999,"['945,000,000', '945,000,000']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,209999,"['5,875,989,710', '5,875,989,710']"
ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,201000,209999,"['26,208,737', '-']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,209999,"['298,101,436', '298,101,436']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,209999,"['421,516,251', '328,877,178']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,209999,"['138,393,446', '122,781,853']"
ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,บุคคลหรือกิจการอื่น,201810,201800,"['538,709,780', '538,709,780']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['149,932,807', '137,772,271']"
เงินกู้ด้อยสิทธิจากบริษัทย่อย,เงินกู้ด้อยสิทธิจากบริษัทย่อย,201820,201800,"['0.0', '2,185,877,243']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,202700,209999,"['213,782,837', '172,981,764']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,209999,"['65,234,734', '61,186,234']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['32,009,933', '26,300,288']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['11,706,469,143', '13,695,167,229']"
ทุนจดทะเบียนทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['1,991,763,130', '1,991,763,130']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,"['982,166,480', '982,166,480']"
ส่วนเกินทุนจากการไม่ใช้สิทธิของใบสำคัญแสดงสิทธิ,ส่วนเกินทุนจากการไม่ใช้สิทธิของใบสำคัญแสดงสิทธิ,319919,319910,"['101,922,580', '101,922,580']"
จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,310611,310610,"['199,176,313', '199,176,313']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['3,792,587,126', '3,792,587,126']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319950,319900,"['(31,562,789)', '(31,562,789)']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,309998,"['7,036,052,840', '7,036,052,840']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,309998,"['4,030,516', '0.0']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,"['7,040,083,356', '7,036,052,840']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,,"['18,746,552,499', '20,731,220,069']"
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,410100,"['259,359,759', '259,359,759']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['339,142,126', '109,999,193']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['59,027,364', '58,324,453']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,430100,"['302,167,048', '309,483,631']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทย่อย,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทย่อย,431100,409994,"['0.0', '173,797,282']"
รายได้อื่น,รายได้อื่น,410200,419999,"['3,981,771', '1,696,232']"
รวมรายได้,รวมรายได้,419999,409994,"['963,678,068', '912,660,550']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['293,458,564', '229,309,649']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,429999,"['236,180,095', '173,425,322']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,429999,"['18,374,420', '18,295,019']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,429999,"['95,783', '95,783']"
ขาดทุนจากอัตราแลกเปลี่ยนจากเงินกู้ด้อยสิทธิที่ยังไม่เกิดขึ้น,ขาดทุนจากอัตราแลกเปลี่ยนจากเงินกู้ด้อยสิทธิที่ยังไม่เกิดขึ้น,429800,429999,"['0.0', '123,913,426']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['105,828,184', '75,676,545']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409994,"['653,937,046', '620,715,744']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,409994,409995,"['309,741,022', '291,944,806']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,409995,"['(41,613,837)', '(24,232,241)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,,"['268,127,185', '267,712,565']"
ผลต่างอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,409998,"['14,172,405', '14,172,405']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,409999,,"['282,299,590', '281,884,970']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,460100,,"['267,712,565', '267,712,565']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,,"['414,620', '']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,470100,,"['281,884,970', '281,884,970']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,,"['414,620', '']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาท),กำไรต่อหุ้นขั้นพื้นฐาน(บาท),480100,,"['0.13', '0.13']"
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,410100,"['585,664,434', '585,664,434']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['653,331,158', '189,254,867']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['120,449,118', '119,098,414']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,430100,"['696,536,905', '703,037,390']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทย่อย,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทย่อย,431100,409994,"['0.0', '220,739,529']"
รายได้อื่น,รายได้อื่น,410200,419999,"['7,586,979', '3,481,870']"
รวมรายได้,รวมรายได้,419999,409994,"['2,063,568,594', '1,821,276,504']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['624,979,903', '479,270,931']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,429999,"['481,393,026', '361,044,858']"
