account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['186,255,982', '182,751,329']"
รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,109999,"['114,601,760', '114,601,760']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,109999,"['979,019,339', '579,283,494']"
เงินลงทุนที่วางเป็นประกัน,เงินลงทุนที่วางเป็นประกัน,101670,109999,"['1,160,000', '1,160,000']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,102700,"['-', '500,074,930']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,103800,109999,"['22,059,515', '22,059,513']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['57,186,674', '57,186,674']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['13,580,466', '13,580,464']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['65,857,950', '54,989,862']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['47,313,941', '50,706,991']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['1,487,035,627', '1,576,395,017']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['61,678,145', '61,678,145']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,209999,"['16,090,247', '14,975,477']"
ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,202700,209999,"['109,937,768', '109,937,768']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,209999,"['1,995,073', '1,995,073']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,209999,"['85,720,052', '85,629,797']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['44,433,100', '44,456,027']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['319,854,385', '318,672,287']"
ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['125,615,708', '125,615,708']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,310220,310200,"['125,615,708', '125,615,708']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,"['775,201,216', '775,201,216']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,"['(169,928,724)', '(126,435,086)']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,310610,"['18,000,000', '18,000,000']"
สำรองเพื่อรักษาระดับราคาหลักทรัพย์,สำรองเพื่อรักษาระดับราคาหลักทรัพย์,310619,310610,"['5,000,000', '5,000,000']"
สำรองเพื่อขยายกิจการ,สำรองเพื่อขยายกิจการ,310619,310610,"['10,000,000', '10,000,000']"
สำรองทั่วไป,สำรองทั่วไป,310619,310610,"['50,000,000', '50,000,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['353,292,983', '400,340,892']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,309998,"['1,167,181,183', '1,257,722,730']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,309998,"['59', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,"['1,167,181,242', '1,257,722,730']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,,"['1,487,035,627', '1,576,395,017']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['287,587,740', '287,594,750']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['3,257,092', '459,659']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,430100,"['6,654,752', '5,464,656']"
รายได้อื่น,รายได้อื่น,410200,419999,"['278,008', '276,750']"
รวมรายได้,รวมรายได้,419999,409994,"['297,777,592', '293,795,815']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['124,279,978', '124,279,979']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,429999,"['53,573,288', '53,573,288']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,429999,"['959,721', '959,722']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['31,310,212', '31,263,043']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409994,"['210,123,199', '210,076,032']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,409994,409995,"['87,654,393', '83,719,783']"
ภาษีเงินได้,ภาษีเงินได้,439800,409995,"['16,540,613', '15,763,396']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,409999,"['71,113,780', '67,956,387']"
