account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['405,153,835', '405,153,835']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,109999,"['494,668,761', '494,668,761']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,109999,"['7,068,576', '7,068,576']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,109999,"['556,846,526', '556,846,526']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,109999,"['428,417,041', '428,417,041']"
เงินลงทุนในหลักทรัพย์,เงินลงทุนในหลักทรัพย์,101910,101900,"['3,293,170,238', '3,293,170,238']"
เงินให้กู้ยืมและดอกเบี้ยค้างรับ,เงินให้กู้ยืมและดอกเบี้ยค้างรับ,102501,101900,"['489,438', '489,438']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,102700,"['22,746,551', '33,337,976']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,109999,"['199,854,197', '199,854,197']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['33,198,606', '33,198,606']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['16,721,155', '16,721,155']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['233,682,705', '231,564,420']"
ค่าสินไหมค้างรับจากคู่กรณี,ค่าสินไหมค้างรับจากคู่กรณี,109900,109999,"['100,170,356', '100,170,356']"
เงินวางไว้สำหรับโครงการประกันภัยข้าวนาปี,เงินวางไว้สำหรับโครงการประกันภัยข้าวนาปี,109900,109999,"['48,017,123', '48,017,123']"
อื่นๆ,อื่นๆ,109900,109999,"['107,035,840', '107,035,840']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['5,947,240,948', '5,955,714,088']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,209999,"['2,805,165,000', '2,805,165,000']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,209999,"['655,530,563', '655,530,563']"
