account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['128,334', '126,211']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,119999,"['99,944', '99,048']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,119999,"['181,734', '181,092']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,"['140,186', '140,186']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['38,837', '38,470']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['589,035', '585,007']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,121600,129999,"['211,832', '211,832']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,122700,"['-', '14,481']"
เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,122420,122400,"['1,617', '6,617']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['312,659', '312,659']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,123800,129999,"['12,067', '8,322']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['36,611', '32,747']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,124100,"['25,423', '15,274']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['23,294', '23,346']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['6,637', '6,582']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['630,140', '631,860']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['1,219,175', '1,216,867']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,219999,"['104,545', '104,028']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['3,571', '2,710']"
ประมาณการหนี้สินหมุนเวียนอื่น,ประมาณการหนี้สินหมุนเวียนอื่น,212800,219999,"['6,069', '6,069']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['114,185', '112,807']"
เงินกู้ยืมระยะยาวจากบุคคลที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาวจากบุคคลที่เกี่ยวข้องกัน,221820,221800,"['1,000', '-']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,229999,"['17,467', '14,285']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,229999,"['69,192', '69,108']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['87,659', '83,393']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['201,844', '196,200']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['80,000', '80,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['60,000', '60,000']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,"['36,500', '36,500']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,310610,"['8,260', '8,260']"
ทุนสำรองอื่น,ทุนสำรองอื่น,310619,310610,"['49,000', '49,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['766,326', '772,673']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,"['94,649', '94,234']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,309998,"['1,014,735', '1,020,667']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,309998,"['2,596', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['1,017,331', '1,020,667']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['1,219,175', '1,216,867']"
รายได้,รายได้จากการขายและให้บริการ,410101,410100,"['209,539', '207,096']"
ต้นทุนขาย,ต้นทุนขาย,420410,420400,"['(125,807)', '(124,155)']"
รายได้อื่น,รายได้อื่น,410200,419999,"['4,027', '3,970']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,422100,"['(60,210)', '(58,780)']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['(36,782)', '(35,626)']"
กำไรจากการวัดมูลค่ายุติธรรมของสินทรัพย์ทางการเงินหมุนเวียนอื่น,กำไรจากการวัดมูลค่ายุติธรรมของสินทรัพย์ทางการเงินหมุนเวียนอื่น,439720,439700,"['105', '105']"
ขาดทุนจากกิจกรรมดำเนินงาน,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และภาษีเงินได้,409992,409995,"['(9,128)', '(7,390)']"
รายได้ทางการเงิน,ต้นทุนทางการเงิน,429900,409995,"['76', '91']"
