account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['3,083,950', '937,729']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,111630,111600,"['528', '-']"
ส่วนของเงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับที่ถึงกำหนดชำระภายในหนึ่งปี-สุทธิ,ส่วนของเงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับที่ถึงกำหนดชำระภายในหนึ่งปี-สุทธิ,112050,112000,"['26,450,320', '-']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,112320,112300,"['-', '11,606,249']"
ดอกเบี้ยค้างรับจากเงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,ดอกเบี้ยค้างรับจากเงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,112420,112400,"['-', '34,114']"
เงินให้กู้ยืมระยะสั้นแก่สถาบันการเงิน,เงินให้กู้ยืมระยะสั้นแก่สถาบันการเงิน,112310,112300,"['1,300,000', '-']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,113100,"['1,976,971', '7,380']"
ทรัพย์สินรอการขาย-สุทธิ,ทรัพย์สินรอการขาย-สุทธิ,113500,119999,"['671,713', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['333,423', '10,809']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['33,816,905', '12,596,281']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,121600,129999,"['1,692,865', '5,853']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,121620,121600,"['37,131', '-']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,122600,"['1,479,465', '1,499,400']"
