account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['2,795,402,899', '166,545,778']"
เบี้ยประกันภัยค้างรับสุทธิ,เบี้ยประกันภัยค้างรับสุทธิ,101200,109999,"['6,152,680,769', '-']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,109999,"['40,352,733', '-']"
สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์จากการประกันภัยต่อสุทธิ,101400,109999,"['16,866,332,249', '-']"
ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,101500,109999,"['5,240,781,969', '-']"
ลูกหนี้การค้าสุทธิ,สินทรัพย์อื่น - สุทธิ,109900,109999,"['43,172,256', '-']"
เงินลงทุนในหลักทรัพย์สุทธิ,เงินลงทุนในหลักทรัพย์สุทธิ,101910,101900,"['13,898,451,062', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,102700,"['-', '9,297,387,290']"
อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,101900,"['149,087,716', '-']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,109999,"['1,461,499,513', '-']"
ค่าความนิยม,ค่าความนิยม - สุทธิ,104200,109999,"['72,313,968', '-']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104100,109999,"['52,918,947', '-']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['1,182,095,640', '-']"
เบี้ยประกันภัยต่อจ่ายล่วงหน้าสุทธิ,เบี้ยประกันภัยต่อจ่ายล่วงหน้าสุทธิ,104300,109999,"['1,033,511,268', '-']"
ค่านายหน้าประกันภัยจ่ายล่วงหน้า,ค่านายหน้าประกันภัยจ่ายล่วงหน้า,104300,109999,"['912,239,974', '-']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['959,229,332', '10,096']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['50,860,070,295', '9,463,943,164']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,209999,"['23,261,236,289', '-']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,209999,"['8,859,686,787', '-']"
ค่านายหน้าประกันภัยค้างจ่าย,ค่านายหน้าประกันภัยค้างจ่าย,201600,209999,"['1,143,499,149', '-']"
เงินกู้ยืมจากกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมจากกิจการที่เกี่ยวข้องกัน,201900,209999,"['180,000,000', '180,000,000']"
ค่าเบี้ยประกันภัยรับล่วงหน้า,ค่าเบี้ยประกันภัยรับล่วงหน้า,201500,209999,"['6,277,409,697', '-']"
บัญชีตั้งพักค่าเบี้ยประกันภัย,บัญชีตั้งพักค่าเบี้ยประกันภัย,201500,209999,"['59,866,187', '-']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,204010,204000,"['28,330,406', '-']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,209999,"['556,713,455', '-']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['1,832,775,452', '64,039,813']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['42,199,517,422', '244,039,813']"
