account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['1,507,923,297', '1,196,238,907']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,102040,109999,"['15,187,306', '-']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,102510,102500,"['98,188,524', '15,000,000']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,102520,102500,"['-', '130,000,000']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,101660,109999,"['6,146,800,961', '6,146,800,961']"
สินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ที่ถือไว้เพื่อขาย,104700,109999,"['688,014', '688,014']"
สินทรัพย์ดิจิทัล,สินทรัพย์อื่น - สุทธิ,109900,109999,"['7,465,295', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,109900,109999,"['57,022,203', '14,758,838']"
เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,103100,109999,"['113,107,648', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,101660,109999,"['1,133,523,224', '1,133,523,132']"
เงินลงทุนในบริษัทย่อยและบริษัทร่วม,เงินลงทุนในบริษัทย่อยและบริษัทร่วม,102600,109999,"['1,631,075,283', '2,222,921,140']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,103800,109999,"['87,675,017', '26,519,745']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['137,719,725', '2,140,448']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['68,259,165', '45,541,002']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,109900,109999,"['17,192,584', '52,820,654']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['11,021,828,246', '10,986,952,841']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,201140,209999,"['17,487', '-']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,202400,209999,"['12,438,031', '12,180,492']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,209900,209999,"['32,760,542', '17,273,440']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,201820,201800,"['75,000,000', '-']"
หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,202400,209999,"['60,656,764', '59,546,113']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,202700,209999,"['9,656,979', '5,488,090']"
กำไรจากการโอนธุรกิจให้แก่บริษัทร่วมรอรับรู้,กำไรจากการโอนธุรกิจให้แก่บริษัทร่วมรอรับรู้,209900,209999,"['148,205,819', '-']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,209900,209999,"['19,912,262', '6,685,820']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['358,647,884', '101,173,955']"
มูลค่าหุ้นละ{{number}}บาท),หุ้นสามัญจดทะเบียน,310120,310100,"['5,129,173,403', '5,129,173,403']"
มูลค่าหุ้นละ{{number}}บาท),หุ้นสามัญชำระแล้ว,310220,310200,"['4,677,679,922', '4,677,679,922']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,"['6,133,492,362', '6,133,492,362']"
จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,310611,310610,"['109,956,604', '109,956,604']"
ยังไม่ได้จัดสรร(ขาดทุน),ยังไม่ได้จัดสรร(ขาดทุน),310620,310600,"['(127,965,439)', '45,546,430']"
ในบริษัทย่อยบางส่วน,ในบริษัทย่อยบางส่วน,319990,319900,"['(4,560,072)', '-']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,"['(125,423,015)', '(80,896,432)']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['10,663,180,362', '10,885,778,886']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['11,021,828,246', '10,986,952,841']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['15,607,328', '-']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['27,047,297', '19,024,361']"
กำไร(ขาดทุน)จากเงินลงทุน,รายได้จากการลงทุน,410114,410100,"['(109,588,872)', '(103,703,414)']"
เงินปันผลรับ,เงินปันผลรับ,410114,410100,"['3,883,904', '3,883,904']"
รายได้อื่น,รายได้อื่น,410200,419999,"['3,316,300', '6,168,565']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['46,177,111', '22,750,697']"
