account_name,taxonomy_account_name,account_code,values
เงินสด,เงินสด,100100,"['81,834']"
รายการระหว่างธนาคารและตลาดเงิน-เงินฝากสถาบันการเงิน,รายการระหว่างธนาคารและตลาดเงิน-เงินฝากสถาบันการเงิน,100200,"['991,768']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,"['468,899']"
เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,"['75,510,975']"
ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102000,"['761,644']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,"['33,416,589']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['1,084,077']"
สินทรัพย์สิทธิการใช้สุทธิ,สินทรัพย์สิทธิการใช้สุทธิ,103900,"['38,639']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,"['160,145']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['5,814,718']"
เงินรอรับจากการขายทอดตลาดสุทธิ,เงินรอรับจากการขายทอดตลาดสุทธิ,104900,"['13,035,844']"
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,109900,"['953,306']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['129,819']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['132,448,257']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,"['86,942,637']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['802,471']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,209900,"['647,485']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['38,956']"
ภาษีค้างจ่าย,ภาษีค้างจ่าย,209900,"['509,640']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,209900,"['168,864']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['544,599']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['89,654,652']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['16,225,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['16,160,212']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['6,044,227']"
ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319913,"['254,491']"
จัดสรรแล้ว-สำรองตามกฎหมาย,จัดสรรแล้ว-สำรองตามกฎหมาย,310611,"['1,622,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['18,712,175']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['42,793,605']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['132,448,257']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['2,239,519']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['722,750']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['1,516,769']"
กำไรจากการขายทรัพย์สินรอการขาย,กำไรจากการขายทรัพย์สินรอการขาย,419781,"['575,233']"
กำไรจากการขายผ่อนชำระ,กำไรจากการขายผ่อนชำระ,410200,"['275,091']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['13,884']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['397,095']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['2,069']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['50,698']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['172,482']"
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย,422601,"['(22,750)']"
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,ค่าใช้จ่ายอื่น - อื่น ๆ,429890,"['54,657']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429890,"['87,558']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['1,125,650']"
กำไรจากการดำเนินงานก่อนค่าใช้จ่ายภาษีเงินได้,กำไรจากการดำเนินงานก่อนค่าใช้จ่ายภาษีเงินได้,409994,"['513,518']"
ค่าใช้จ่ายภาษีเงินได้,ภาษีเงินได้,439800,"['(88,348)']"
กำไรสำหรับงวด,กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,409991,"['425,170']"
กำไรจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['3,352']"
ภาษีเงินได้ที่เกี่ยวข้อง,ภาษีเงินได้ที่เกี่ยวข้อง,459900,['(671)']
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,"['427,851']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),480100,['0.13']
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['4,384,439']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['1,415,507']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['2,968,932']"
กำไรจากการขายทรัพย์สินรอการขาย,กำไรจากการขายทรัพย์สินรอการขาย,419781,"['1,064,729']"
กำไรจากการขายผ่อนชำระ,กำไรจากการขายผ่อนชำระ,410200,"['309,767']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['31,968']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['782,383']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['4,511']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['91,768']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['304,919']"
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,"['(27,645)']"
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,429890,"['94,806']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429890,"['175,407']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['2,112,447']"
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,409994,"['836,800']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(145,071)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,"['691,729']"
ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(7,365)']"
กำไรจากการประมาณการตามหลักคณิตศาสตร์ประกันภัย,กำไรจากการประมาณการตามหลักคณิตศาสตร์ประกันภัย,450600,"['221,692']"
ภาษีเงินได้ที่เกี่ยวข้อง,ภาษีเงินได้ที่เกี่ยวข้อง,459900,"['(42,866)']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,470100,"['863,190']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),480100,['0.21']
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,510200,"['836,800']"
ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,510300,"['68,052']"
ค่าใช้จ่ายจ่ายล่วงหน้าลดลง,ค่าใช้จ่ายจ่ายล่วงหน้าลดลง,516600,"['53,947']"
รายได้ค้างรับ(เพิ่มขึ้น)ลดลง,รายได้ค้างรับ(เพิ่มขึ้น)ลดลง,516600,"['1,125']"
รายได้รับล่วงหน้าลดลง,รายได้รับล่วงหน้าลดลง,518300,['(399)']
ค่าใช้จ่ายค้างจ่ายลดลง,ค่าใช้จ่ายค้างจ่ายลดลง,518300,"['(171,724)']"
ขาดทุนจากการตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,ขาดทุนจากการตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,511500,['324']
โอนกลับค่าความเสียหายที่เกิดจากคดีฟ้องร้อง,โอนกลับค่าความเสียหายที่เกิดจากคดีฟ้องร้อง,518300,"['(7,839)']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,514910,"['32,798']"
กำไรจากการจำหน่ายสินทรัพย์ถาวร,(กำไร) ขาดทุนจากการขายสินทรัพย์ถาวร,511510,['(172)']
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,"['2,112,447']"
ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย(โอนกลับ),511200,"['(27,645)']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,514500,"['(2,968,932)']"
รายได้เงินปันผลสุทธิ,รายได้เงินปันผลสุทธิ,514710,"['(3,284)']"
เงินสดรับดอกเบี้ย,เงินสดรับดอกเบี้ย,519500,"['2,099,248']"
เงินสดรับเงินปันผล,เงินสดรับเงินปันผล,519700,"['98,776']"
เงินสดจ่ายดอกเบี้ย,เงินสดจ่ายดอกเบี้ย,519600,"['(1,423,646)']"
เงินสดจ่ายภาษีเงินได้นิติบุคคล,เงินสดจ่ายภาษีเงินได้นิติบุคคล,519900,"['(402,103)']"
เงินให้สินเชื่อจากการซื้อลูกหนี้,เงินให้สินเชื่อจากการซื้อลูกหนี้,515800,"['(5,165,784)']"
ลูกหนี้ขายผ่อนชำระ,ลูกหนี้ขายผ่อนชำระ,515800,"['141,279']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,516400,"['1,509,866']"
เงินรอรับจากการขายทอดตลาด,เงินรอรับจากการขายทอดตลาด,516600,"['(275,193)']"
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆ,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆ,516600,"['(214,899)']"
สินทรัพย์อื่น,สินทรัพย์อื่น,516600,"['(64,535)']"
หนี้สินอื่น,หนี้สินอื่น,518300,"['(254,751)']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,519999,"['(4,026,244)']"
เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,521710,"['(44,872)']"
เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,521720,"['(43,187)']"
เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,521610,['172']
เงินสดสุทธิใช้ไปในกิจกรรมลงทุน,เงินสดสุทธิใช้ไปในกิจกรรมลงทุน,529999,"['(87,887)']"
