account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['2,234', '5']"
เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน,112310,112300,"['304,474', '304,474']"
ลูกหนี้ตามสัญญาเช่าการเงินที่จะได้รับชำระภายในหนึ่งปี,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,119990,119900,"['-', '603']"
อสังหาริมทรัพย์พัฒนาเพื่อขาย,อสังหาริมทรัพย์พัฒนาเพื่อขาย,112900,119999,"['364,953', '-']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,"['1,637', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['225', '121']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['673,523', '305,203']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,123100,"['110,570', '110,570']"
เงินลงทุนในบริษัทย่อย-สุทธิ,เงินลงทุนในบริษัทย่อย-สุทธิ,122710,122700,"['-', '912,482']"
ลูกหนี้ไม่หมุนเวียนอื่นบริษัทที่เกี่ยวข้องกัน-สุทธิ,ลูกหนี้ไม่หมุนเวียนอื่นบริษัทที่เกี่ยวข้องกัน-สุทธิ,123140,123100,"['-', '7,058']"
ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,122040,122000,"['3,905', '-']"
เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้ไม่หมุนเวียน-สุทธิ,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้ไม่หมุนเวียน-สุทธิ,122410,122400,"['1,517,692', '1,350,922']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['767,152', '544,394']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,123800,129999,"['8,023', '4,566']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['3,795', '3,795']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,124190,124100,"['14', '14']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['64,552', '50,729']"
ลูกหนี้ตามสัญญาเช่าการเงิน-สุทธิ,สินทรัพย์ไม่หมุนเวียนอื่น - อื่น ๆ,129990,129900,"['-', '1,188']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['2,246', '-']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['2,477,949', '2,985,718']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['3,151,472', '3,290,921']"
ดอกเบี้ยค้างจ่ายบุคคลและบริษัทอื่น,ค่าใช้จ่ายค้างจ่าย - หมุนเวียน,212500,219999,"['935,052', '935,052']"
ดอกเบี้ยค้างจ่ายบริษัทที่เกี่ยวข้องกัน,ดอกเบี้ยค้างจ่ายบริษัทที่เกี่ยวข้องกัน,212500,219999,"['83,874', '88,161']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,211100,"['11,797', '1,116']"
เจ้าหนี้อื่นบริษัทที่เกี่ยวข้องกัน,เจ้าหนี้อื่นบริษัทที่เกี่ยวข้องกัน,211120,211100,"['-', '425']"
หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['3,252', '3,511']"
หุ้นกู้บุคคลอื่นและบริษัทที่เกี่ยวข้องกัน,หุ้นกู้บุคคลอื่นและบริษัทที่เกี่ยวข้องกัน,211830,211800,"['1,899,496', '1,986,313']"
เงินกู้ยืมระยะสั้นจากบุคคลและบริษัทอื่น,เงินกู้ยืมระยะสั้นจากบุคคลและบริษัทอื่น,211710,211700,"['279,889', '279,889']"
เงินกู้ยืมระยะสั้นจากบริษัทที่เกี่ยวข้องกัน,เงินกู้ยืมระยะสั้นจากบริษัทที่เกี่ยวข้องกัน,211720,211700,"['-', '15,261']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['18,549', '18,526']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['3,231,909', '3,328,254']"
หนี้สินตามสัญญาเช่า-สุทธิ,หนี้สินตามสัญญาเช่า-สุทธิ,222400,229999,"['2,537', '2,774']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,222700,229999,"['3,391', '3,176']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['202', '202']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['6,130', '6,152']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['3,238,039', '3,334,406']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['203,206', '203,206']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['203,206', '203,206']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,"['461,111', '461,111']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,310610,"['19,534', '19,534']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['(762,017)', '(718,935)']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,"['(8,401)', '(8,401)']"
รวมส่วนของผู้ถือหุ้นของบริษัท,รวมส่วนของผู้ถือหุ้นของบริษัท,309998,309999,"['(86,567)', '(43,485)']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['3,151,472', '3,290,921']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['1', '-']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,409995,"['(81,980)', '(81,756)']"
รายได้เงินปันผล,รายได้เงินปันผล,410202,410100,"['2,471', '2,471']"
กำไรจากการวัดมูลค่ายุติธรรมของอสังหาริมทรัพย์เพื่อการลงทุน,กำไร (ขาดทุน) จากการเปลี่ยนแปลงมูลค่ายุติธรรมของสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน,439750,439700,"['10,278', '-']"
กำไรจากการจำหน่ายทรัพย์สินและเช่ากลับคืน,รายได้จากการดำเนินธุรกิจ - อื่น ๆ,410199,410100,"['-', '10,471']"
กำไรจากการให้เช่าช่วงทรัพย์สิน,รายได้จากการดำเนินธุรกิจ - อื่น ๆ,410199,410100,"['-', '307']"
รายได้อื่น,รายได้อื่น,410200,419999,"['2,126', '193']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['(16,164)', '(10,270)']"
กำไร(ขาดทุน)จากการด้อยค่าจากเงินลงทุนในบริษัทย่อย,(กลับรายการ) ขาดทุนจากการด้อยค่า,430900,429999,"['-', '603']"
ขาดทุนจากการด้อยค่าสินทรัพย์สิทธิการใช้,กำไร (ขาดทุน) อื่น - อื่น ๆ,439790,439700,"['-', '(10,021)']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,409995,"['(179)', '(273)']"
รายได้(ค่าใช้จ่าย)ภาษีเงินได้,รายได้(ค่าใช้จ่าย)ภาษีเงินได้,439800,409995,"['(14)', '(18)']"
ขาดทุนสำหรับงวด,กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,409991,409999,"['(83,461)', '(88,293)']"
ขาดทุนเบ็ดเสร็จรวมสำหรับงวด,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่,470100,,"['(83,461)', '(88,293)']"
ขาดทุนต่อหุ้นขั้นพื้นฐาน(หน่วย:บาท),ขาดทุนต่อหุ้นขั้นพื้นฐาน(หน่วย:บาท),480100,,"['(0.205)', '(0.217)']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['1', '-']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,409995,"['(168,529)', '(168,351)']"
รายได้เงินปันผล,รายได้เงินปันผล,410202,410100,"['2,471', '2,471']"
กำไรจากการลดอัตราดอกเบี้ยผิดนัดชำระหนี้เงินกู้ยืม,กำไรจากการลดอัตราดอกเบี้ยผิดนัดชำระหนี้เงินกู้ยืม,410200,419999,"['42,278', '42,278']"
กำไรจากการวัดมูลค่ายุติธรรมของอสังหาริมทรัพย์เพื่อการลงทุน,กำไร (ขาดทุน) จากการเปลี่ยนแปลงมูลค่ายุติธรรมของสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน,439750,439700,"['10,278', '-']"
กำไรจากการจำหน่ายทรัพย์สินและเช่ากลับคืน,รายได้จากการดำเนินธุรกิจ - อื่น ๆ,410199,410100,"['-', '10,471']"
กำไรจากการให้เช่าช่วงทรัพย์สิน,รายได้จากการดำเนินธุรกิจ - อื่น ๆ,410199,410100,"['-', '307']"
รายได้อื่น,รายได้อื่น,410200,419999,"['2,602', '599']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,429900,409995,"['(54,666)', '(39,511)']"
ขาดทุนจากการด้อยค่าจากเงินลงทุนในบริษัทย่อย,ขาดทุนจากการด้อยค่าจากเงินลงทุนในบริษัทย่อย,430900,429999,"['-', '(533)']"
