account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['7,613,373', '958,456']"
เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร,เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร,110300,"['587,468', '-']"
ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้การค้าและลูกหนี้อื่น,112000,"['1,224,484', '375,189']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112910,"['398,393', '-']"
ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,112110,"['121,627', '-']"
ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,112110,"['12,226', '-']"
ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ,ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ,112000,"['10,994', '-']"
รายได้ค้างรับ,รายได้ค้างรับ,113200,"['202,178', '23,013']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,112320,"['2,000', '-']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกันที่ถึงกำหนดรับชำระภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกันที่ถึงกำหนดรับชำระภายในหนึ่งปี,112420,"['16,564', '2,032,350']"
ต้นทุนการพัฒนาอสังหาริมทรัพย์,ต้นทุนการพัฒนาอสังหาริมทรัพย์,112930,"['596,940', '596,940']"
ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายจ่ายล่วงหน้า,119910,"['184,385', '21,769']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,111600,"['2,768,528', '617,134']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['678,415', '15,130']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['14,417,575', '4,639,981']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,122420,"['213,811', '19,001,825']"
ลูกหนี้จากการขายที่ดิน,ลูกหนี้จากการขายที่ดิน,122000,"['2,253,295', '2,253,295']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '71,024,509']"
เงินลงทุนในการร่วมค้า,เงินลงทุนในการร่วมค้า,122630,"['1,227,928', '740,000']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,"['46,950,887', '39,454,619']"
ต้นทุนโครงการรถไฟฟ้า,ต้นทุนโครงการรถไฟฟ้า,124110,"['54,807,403', '-']"
ต้นทุนโครงการ-โฆษณา,ต้นทุนโครงการ-โฆษณา,124110,"['1,673,718', '-']"
อะไหล่เปลี่ยนแทน,อะไหล่เปลี่ยนแทน,123800,"['425,919', '-']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['9,803,238', '169,773']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,"['4,784,665', '3,263,173']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['642,210', '95,380']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,124190,"['1,235,400', '10,608']"
เงินจ่ายล่วงหน้าแก่ผู้รับเหมาและเพื่อซื้อสินทรัพย์,เงินจ่ายล่วงหน้าแก่ผู้รับเหมาและเพื่อซื้อสินทรัพย์,129920,"['1,634,666', '672,123']"
ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,122110,"['22,212,296', '-']"
ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,122110,"['50,635,434', '-']"
ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบการเดินรถ,ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบการเดินรถ,122000,"['21,945,312', '-']"
ค่าความนิยม,ค่าความนิยม,124200,"['313,834', '-']"
ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายจ่ายล่วงหน้า,129910,"['707,088', '-']"
ภาษีเงินได้หักณที่จ่าย,ภาษีเงินได้หักณที่จ่าย,124500,"['306,102', '161,647']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['182,069', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,121600,"['19,512,197', '12,451,466']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['1,856,852', '23,875']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['243,324,324', '149,322,293']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['257,741,899', '153,962,274']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['8,430,000', '5,430,000']"
เจ้าหนี้ตั๋วแลกเงิน,เจ้าหนี้ตั๋วแลกเงิน,211710,"['17,416,863', '17,416,863']"
เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้การค้าและเจ้าหนี้อื่น,211100,"['4,554,743', '1,084,912']"
เงินรับล่วงหน้าจากผู้ถือบัตร,เงินรับล่วงหน้าจากผู้ถือบัตร,212320,"['439,439', '-']"
เงินรับล่วงหน้าและรายได้รับล่วงหน้า,เงินรับล่วงหน้าและรายได้รับล่วงหน้า,212320,"['293,527', '7,008']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,"['718,022', '-']"
เงินกู้ยืมระยะสั้นจากกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะสั้นจากกิจการที่เกี่ยวข้องกัน,211720,"['274,000', '293,625']"
ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,"['3,062,067', '-']"
ส่วนของหุ้นกู้ระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหุ้นกู้ระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211830,"['3,289,563', '3,289,563']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['234,147', '64,728']"
ประมาณการหนี้สินระยะสั้น,ประมาณการหนี้สินระยะสั้น,212800,"['13,214', '-']"
หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินหมุนเวียนอื่น,212290,"['277,215', '258,947']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['544,538', '19,833']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['39,547,338', '27,865,479']"
รายได้รับล่วงหน้า,รายได้รับล่วงหน้า,222320,"['538,899', '-']"
เงินกู้ยืมระยะยาวจากกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาวจากกิจการที่เกี่ยวข้องกัน,221820,"['157,833', '-']"
เงินกู้ยืมระยะยาว-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินกู้ยืมระยะยาว-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,221890,"['55,144,337', '-']"
