account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสด,เงินสด,100100,109999,"['578,179', '5']"
รายการระหว่างธนาคารและตลาดเงินสุทธิ,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,109999,"['15,801,160', '17,107']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,"['342,514', '-']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,109999,"['454,607', '-']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,109999,"['52,867,114', '5,273,702']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,102700,"['-', '32,916,116']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,109999,"['209,670,327', '-']"
อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,109999,"['-', '36,391']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,109999,"['8,313,285', '-']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,109999,"['385,589', '5,633']"
สินทรัพย์สิทธิการใช้สุทธิ,สินทรัพย์สิทธิการใช้สุทธิ,103900,109999,"['529,249', '14,547']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,109999,"['329,823', '2,802']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,109999,"['1,771,833', '-']"
ดอกเบี้ยค้างรับจากเงินลงทุน,ดอกเบี้ยค้างรับจากเงินลงทุน,109900,109999,"['110,855', '-']"
ลูกหนี้สำนักหักบัญชี,ลูกหนี้สำนักหักบัญชี,100800,109999,"['52,928', '-']"
ลูกหนี้ซื้อขายหลักทรัพย์ด้วยเงินสด,ลูกหนี้ซื้อขายหลักทรัพย์ด้วยเงินสด,100800,109999,"['239,274', '-']"
ลูกหนี้จากการขายทอดตลาดทรัพย์สินรอการขาย,ลูกหนี้จากการขายทอดตลาดทรัพย์สินรอการขาย,104900,109999,"['127,700', '-']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,109999,"['837,105', '61,541']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['292,411,542', '38,327,844']"
เงินรับฝาก,เงินรับฝาก,200100,209999,"['230,230,875', '-']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,200200,209999,"['14,216,333', '4,565,000']"
หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,209999,"['880,575', '-']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,209999,"['477,257', '-']"
ตราสารหนี้ที่ออกและเงินกู้ยืมสุทธิ,ตราสารหนี้ที่ออกและเงินกู้ยืมสุทธิ,202090,202000,"['6,637,179', '1,696,145']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,209900,209999,"['455,146', '369']"
