account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['629,503,879']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,109999,"['920,724,626']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,109999,"['16,097,269,849']"
เงินลงทุน,เงินลงทุน,101660,109999,"['2,232,745,084']"
เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมแก่พนักงาน,102510,102500,"['156,852,512']"
อุปกรณ์,อุปกรณ์,103800,109999,"['97,575,922']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['155,279,324']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['63,048,049']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['94,572,324']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['432,411,877']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['20,879,983,446']"
เงินกู้ยืมจากสถาบันการเงิน,เงินกู้ยืมจากสถาบันการเงิน,201900,209999,"['1,450,000,000']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,200800,209999,"['1,803,343']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,209999,"['1,890,405,622']"
มูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,มูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200420,209999,"['439,710,778']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,202100,209999,"['76,760,912']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,209999,"['35,008,568']"
ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,202000,209999,"['11,472,167,024']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,209999,"['291,296,108']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['153,431,185']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['166,096,492']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['15,976,680,032']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ,ทุนที่ออกและชำระแล้วหุ้นสามัญ,310120,310100,"['2,854,072,500']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,310400,"['523,570,729']"
ส่วนเกินทุนหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,319911,319910,"['19,218,670']"
จัดสรรแล้ว-สำรองตามกฎหมาย,จัดสรรแล้ว-สำรองตามกฎหมาย,310611,310610,"['286,125,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['1,217,582,071']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,"['2,734,444']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,"['4,903,303,414']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,,"['20,879,983,446']"
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,410100,"['269,523,273']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['36,851,590']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['254,386,863']"
กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,430190,430100,"['29,596,758']"
รายได้อื่น,รายได้อื่น,410200,419999,"['20,847,740']"
รวมรายได้,รวมรายได้,419999,409994,"['611,206,224']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['255,795,788']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,429999,"['43,254,849']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,429999,"['118,250,743']"
โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,429999,"['(4,544,911)']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['114,509,493']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409994,"['527,265,962']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,409994,409995,"['83,940,262']"
ภาษีเงินได้,ภาษีเงินได้,439800,409995,"['(17,481,972)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,460100,,"['66,458,290']"
กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,"['290,286']"
ภาษีเงินได้เกี่ยวกับกำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับกำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,459900,409998,"['(58,057)']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,,"['66,690,519']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,,['0.12']
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,410100,"['667,040,418']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,410100,"['80,458,143']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410100,"['487,418,114']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,430100,"['102,788,660']"
รายได้อื่น,รายได้อื่น,410200,419999,"['59,498,317']"
รวมรายได้,รวมรายได้,419999,409994,"['1,397,203,652']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,429999,"['539,228,257']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,429999,"['88,211,059']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,429999,"['228,246,605']"
โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,429999,"['(2,351,900)']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['254,964,012']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409994,"['1,108,298,033']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,409994,409995,"['288,905,619']"
ภาษีเงินได้,ภาษีเงินได้,439800,409995,"['(58,159,697)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,,"['230,745,922']"
กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,"['290,286']"
ภาษีเงินได้เกี่ยวกับกำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับกำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,459900,409998,"['(58,057)']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,,"['230,978,151']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,,['0.40']
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,510200,519997,"['288,905,619']"
ค่าเสื่อมราคาและรายจ่ายตัดบัญชี,ค่าเสื่อมราคาและรายจ่ายตัดบัญชี,510300,519997,"['67,004,633']"
โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,โอนกลับผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,519997,"['(2,351,900)']"
ขาดทุนที่ยังไม่เกิดขึ้นจริงจากการเปลี่ยนแปลงมูลค่ายุติธรรมในเงินลงทุน,ขาดทุนที่ยังไม่เกิดขึ้นจริงจากการเปลี่ยนแปลงมูลค่ายุติธรรมในเงินลงทุน,511400,519997,"['334,940,363']"
ขาดทุนที่ยังไม่เกิดขึ้นจริงจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ,ขาดทุนที่ยังไม่เกิดขึ้นจริงจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ,510600,519997,"['59,859,469']"
กำไรที่ยังไม่เกิดขึ้นจริงจากการตีราคาสินทรัพย์และหนี้สินตราสารอนุพันธ์,กำไรที่ยังไม่เกิดขึ้นจริงจากการตีราคาสินทรัพย์และหนี้สินตราสารอนุพันธ์,511100,519997,"['(309,529,513)']"
กำไรจากการจำหน่ายและตัดจำหน่ายอุปกรณ์,(กำไร) ขาดทุนจากการขายและตัดจำหน่ายสินทรัพย์ถาวร,511500,519997,"['(2,391,271)']"
กำไรจากการเปลี่ยนแปลงสัญญาเช่า,รายการปรับปรุงอื่น ๆ,515000,519997,"['(1,068,039)']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,514800,519997,"['228,246,605']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,514720,514700,"['(487,418,114)']"
ค่าใช้จ่ายพนักงานตัดจำหน่าย,ค่าใช้จ่ายพนักงานตัดจำหน่าย,515000,519997,"['223,550']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,514910,519997,"['20,376,618']"
กำไรจากการดำเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,กำไรจากการดำเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,519997,519998,"['196,798,020']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,515500,519998,"['426,046,577']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,515600,519998,"['2,590,401,536']"
เงินลงทุน,เงินลงทุน,516100,519998,"['279,163,665']"
เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมแก่พนักงาน,516600,519998,"['23,844,884']"
สินทรัพย์อื่น,สินทรัพย์อื่น,516600,519998,"['(14,075,790)']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,517300,519998,"['(1,072,151,786)']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,517400,519998,"['(1,733,521,479)']"
หนี้สินทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,หนี้สินทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,517700,519998,"['267,400,000']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,517800,519998,"['(4,091,423)']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,518000,519998,"['(2,779,258)']"
หนี้สินอื่น,หนี้สินอื่น,518300,519998,"['(118,612,428)']"
เงินสดรับจากการดำเนินงาน,เงินสดรับจากการดำเนินงาน,519998,519999,"['838,422,518']"
ดอกเบี้ยจ่าย,ดอกเบี้ยจ่าย,519600,519999,"['(144,081,116)']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,519500,519999,"['478,989,166']"
ภาษีเงินได้จ่ายออก,ภาษีเงินได้จ่ายออก,519900,519999,"['(104,092,261)']"
เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,519999,509999,"['1,069,238,307']"
เงินสดจ่ายซื้ออุปกรณ์,เงินสดจ่ายซื้ออุปกรณ์,521710,521700,"['(11,690,497)']"
เงินสดรับจากการขายอุปกรณ์,เงินสดรับจากการขายอุปกรณ์,521610,521600,"['341,962']"
เงินสดรับจากการขายสินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,521640,521600,"['2,355,231']"
เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,521720,521700,"['(13,178,532)']"
เงินสดสุทธิใช้ไปในกิจกรรมลงทุน,เงินสดสุทธิใช้ไปในกิจกรรมลงทุน,529999,509999,"['(22,171,836)']"
