account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['509,813,314', '509,813,314']"
เบี้ยประกันภัยค้างรับสุทธิ,เบี้ยประกันภัยค้างรับสุทธิ,101200,109999,"['1,990,456,591', '1,990,456,591']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,109999,"['49,030,975', '49,030,975']"
สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์จากการประกันภัยต่อสุทธิ,101400,109999,"['8,360,051,098', '8,360,051,098']"
ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,101500,109999,"['738,907,639', '738,907,639']"
เงินลงทุนในหลักทรัพย์,เงินลงทุนในหลักทรัพย์,101910,101900,"['15,014,967,185', '15,014,967,185']"
เงินให้กู้ยืมและดอกเบี้ยค้างรับ,เงินให้กู้ยืมและดอกเบี้ยค้างรับ,102501,101900,"['1,595', '1,595']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,102700,"['33,542,802', '47,082,718']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,109999,"['771,155,004', '771,155,004']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['87,050,480', '87,050,480']"
ค่าความนิยม,ค่าความนิยม,104200,109999,"['631,900,000', '631,900,000']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104100,109999,"['127,876,779', '127,876,779']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['1,229,161,836', '1,229,161,836']"
เบี้ยประกันภัยต่อจ่ายล่วงหน้า,เบี้ยประกันภัยต่อจ่ายล่วงหน้า,109900,109999,"['578,407,131', '578,407,131']"
ค่านายหน้าจ่ายล่วงหน้า,ค่านายหน้าจ่ายล่วงหน้า,109900,109999,"['357,370,039', '357,370,039']"
