account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['101,486', '101,218']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,"['103,203', '102,719']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,"['207,607', '207,048']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,"['191,697', '191,697']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['40,700', '40,673']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['644,693', '643,355']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,121600,"['223,118', '223,118']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '11,510']"
เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,122420,"['-', '4,459']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['310,962', '310,962']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,123800,"['16,294', '14,634']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['31,145', '28,190']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,"['24,311', '15,416']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['21,354', '21,387']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['3,972', '3,922']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['631,156', '633,598']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,275,849', '1,276,953']"
เงินกู้ยืมระยะสั้นจากบุคคลที่เกี่ยวข้องกัน,เงินกู้ยืมระยะสั้นจากบุคคลที่เกี่ยวข้องกัน,211720,"['1,100', '-']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,"['153,800', '151,923']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['4,739', '3,825']"
ประมาณการหนี้สินหมุนเวียนอื่น,ประมาณการหนี้สินหมุนเวียนอื่น,212800,"['6,903', '6,903']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['166,542', '162,651']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['14,411', '12,143']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,"['63,201', '63,076']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,"['77,612', '75,219']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['244,154', '237,870']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['80,000', '80,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['60,000', '60,000']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['36,500', '36,500']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['8,260', '8,260']"
ทุนสำรองอื่น,ทุนสำรองอื่น,310619,"['49,000', '49,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['772,332', '781,111']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,"['104,627', '104,212']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,"['1,030,719', '1,039,083']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['976', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['1,031,695', '1,039,083']"
