account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['47,850,247']"
เงินลงทุนในตราสารหนี้ระยะสั้น,เงินลงทุนในตราสารหนี้ระยะสั้น,111600,119999,"['37,752,259']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,119999,"['79,246,369']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,112300,119999,"['1,908,184']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,119999,"['83,406,739']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['1,606,527']"
สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,114700,119999,"['137,241']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['251,907,566']"
เงินลงทุนในตราสารหนี้,เงินลงทุนในตราสารหนี้,121600,129999,"['12,027,262']"
เงินลงทุนในตราสารทุน,เงินลงทุนในตราสารทุน,121600,129999,"['15,787,052']"
เงินลงทุนในการร่วมค้าและบริษัทร่วม,เงินลงทุนในการร่วมค้าและบริษัทร่วม,122600,129999,"['138,495,067']"
ลูกหนี้ไม่หมุนเวียนอื่น,ลูกหนี้ไม่หมุนเวียนอื่น,123140,122000,"['2,925,767']"
เงินให้กู้ยืมระยะยาว,เงินให้กู้ยืมระยะยาว,122400,129999,"['167,386']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['2,842,857']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,129999,"['430,671,906']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['48,832,172']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,124100,"['23,480,377']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['4,919,402']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['9,961,152']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['690,110,400']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['942,017,966']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['40,436,853']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,219999,"['61,723,582']"
ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,211800,"['6,655,874']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['2,247,520']"
ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,211830,211800,"['34,947,696']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,219999,"['370,824']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,219999,"['2,616,658']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['24,842,282']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['173,841,289']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,221890,221800,"['89,854,720']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,229999,"['10,879,872']"
หุ้นกู้,หุ้นกู้,221830,221800,"['180,013,825']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,223200,229999,"['11,527,456']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,229999,"['13,300,495']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['3,862,228']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['309,438,596']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['483,279,885']"
(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),310120,310100,"['1,600,000']"
