account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['79,679,509']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,109999,"['110,860,983']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,109999,"['956,626']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,109999,"['498,223,893']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,109999,"['99,226,896']"
สินทรัพย์ทางการเงินตราสารหนี้,สินทรัพย์ทางการเงินตราสารหนี้,101911,101910,"['242,358,927']"
สินทรัพย์ทางการเงินตราสารทุน,สินทรัพย์ทางการเงินตราสารทุน,101912,101910,"['309,681,074']"
เงินให้กู้ยืม,เงินให้กู้ยืม,102500,102501,"['34,000,000']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,109999,"['91,337,295']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,109999,"['41,602,461']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['12,827,090']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['31,571,929']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['21,915,544']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['1,574,242,227']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,209999,"['811,637,210']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,209999,"['324,732,108']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,202100,209999,"['433,370']"
ค่าจ้างและค่าบำเหน็จค้างจ่าย,ค่าจ้างและค่าบำเหน็จค้างจ่าย,201600,209999,"['17,273,599']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,209999,"['6,401,226']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,203200,209999,"['24,294,449']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['71,046,525']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['1,255,818,487']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['951,456,883']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['951,456,883']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,310610,"['18,811,235']"
สำรองทั่วไป,สำรองทั่วไป,310619,310610,"['6,000,000']"
-ยังไม่ได้จัดสรร,-ยังไม่ได้จัดสรร,310620,310600,"['(755,022,176)']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น-สุทธิ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น-สุทธิ,319990,319900,"['97,177,798']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['318,423,740']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['1,574,242,227']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,400299,"['217,843,839', '427,321,392']"
หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,400299,"['(127,969,826)', '(244,206,902)']"
เบี้ยประกันภัยรับสุทธิ,เบี้ยประกันภัยรับสุทธิ,400299,400399,"['89,874,013', '183,114,490']"
บวก(หัก)สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้(เพิ่มขึ้น)ลดลง,บวก(หัก)สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้(เพิ่มขึ้น)ลดลง,420300,400399,"['7,310,046', '14,132,621']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,400399,419999,"['97,184,059', '197,247,111']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,419999,"['42,259,316', '86,888,791']"
รายได้จากการลงทุน,รายได้จากการลงทุน,410128,419999,"['3,513,248', '4,618,487']"
กำไร(ขาดทุน)จากเครื่องมือทางการเงิน,กำไร(ขาดทุน)จากเครื่องมือทางการเงิน,431610,431600,"['(1,669,749)', '(1,154,554)']"
ของเครื่องมือทางการเงิน,ของเครื่องมือทางการเงิน,431620,431600,"['(5,491,544)', '(12,072,475)']"
รายได้อื่น,รายได้อื่น,410200,419999,"['2,115,580', '4,070,146']"
รวมรายได้,รวมรายได้,419999,409994,"['137,910,910', '279,597,506']"
ค่าสินไหมทดแทน,ค่าสินไหมทดแทน,420900,429999,"['114,817,426', '237,085,025']"
หักค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,หักค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,421000,429999,"['(56,846,468)', '(123,250,744)']"
ค่าจ้างและค่าบำเหน็จ,ค่าจ้างและค่าบำเหน็จ,421100,429999,"['31,121,997', '64,682,110']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,421200,429999,"['47,423,471', '80,499,452']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422100,429999,"['27,690,636', '63,067,724']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409994,"['164,207,062', '322,083,567']"
กำไร(ขาดทุน)ก่อนภาษีเงินได้,กำไร(ขาดทุน)ก่อนภาษีเงินได้,409994,409995,"['(26,296,152)', '(42,486,061)']"
รายได้(ค่าใช้จ่าย)ภาษีเงินได้,รายได้(ค่าใช้จ่าย)ภาษีเงินได้,439800,409995,"['1,110,864', '2,561,938']"
กำไร(ขาดทุน)สำหรับงวด,กำไร(ขาดทุน)สำหรับงวด,409996,,"['(25,185,288)', '(39,924,123)']"
ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,"['394,753', '385,422']"
ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,409998,"['(78,951)', '(77,084)']"
กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,470100,,"['(24,869,486)', '(39,615,785)']"
กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,480100,,"['(0.0132)', '(0.0210)']"
เบี้ยประกันภัยรับจากการรับประกันภัยโดยตรง,เบี้ยประกันภัยรับจากการรับประกันภัยโดยตรง,550010,559999,"['399,530,430']"
เงินรับ(จ่าย)เกี่ยวกับการประกันภัยต่อ,เงินรับ(จ่าย)เกี่ยวกับการประกันภัยต่อ,550022,559999,"['18,134,792']"
ค่าสินไหมทดแทนจากการรับประกันภัยโดยตรง,ค่าสินไหมทดแทนจากการรับประกันภัยโดยตรง,550024,559999,"['(211,438,750)']"
ค่าจ้างและค่าบำเหน็จจากการรับประกันภัยโดยตรง,ค่าจ้างและค่าบำเหน็จจากการรับประกันภัยโดยตรง,550021,559999,"['(63,244,670)']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,550025,559999,"['(77,642,170)']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,559500,559999,"['2,121,015']"
เงินปันผลรับ,เงินปันผลรับ,559700,559999,"['2,038,597']"
รายได้อื่น,รายได้อื่น,550019,559999,"['478,128']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,550028,559999,"['(44,105,925)']"
จ่ายผลประโยชน์พนักงานเมื่อเกษียณอายุ,จ่ายผลประโยชน์พนักงานเมื่อเกษียณอายุ,550029,559999,"['(1,141,621)']"
จ่ายภาษีเงินได้,จ่ายภาษีเงินได้,559900,559999,"['(1,156,177)']"
เงินสดรับสินทรัพย์ทางการเงิน,เงินสดรับสินทรัพย์ทางการเงิน,550031,550030,"['151,934,533']"
เงินสดจ่ายสินทรัพย์ทางการเงิน,เงินสดจ่ายสินทรัพย์ทางการเงิน,550041,550040,"['(222,231,246)']"
เงินสดรับ(จ่าย)สุทธิจากการให้กู้ยืม,เงินให้กู้ยืม,550042,550040,"['(12,000,000)']"
เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดำเนินงาน,559999,509999,"['(58,723,064)']"
เงินสดจ่ายซื้ออุปกรณ์,เงินสดจ่ายซื้ออุปกรณ์,521710,521700,"['(1,072,517)']"
เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,521720,521700,"['(6,223,350)']"
เงินสดจ่ายหนี้สินตามสัญญาเช่า,เงินสดจ่ายหนี้สินตามสัญญาเช่า,530500,539999,"['(5,289,940)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,509999,"['(5,289,940)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,509999,599999,"['(71,308,871)']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},599998,599999,"['150,988,380']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},599999,,"['79,679,509']"
