account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['649,874,154', '342,427,912']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,102040,"['9,912,489', '-']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,102500,"['3,811,739,030', '3,811,739,030']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,102520,"['68,850,000', '883,850,000']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,103100,"['655,586,723', '655,586,723']"
สินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ที่ถือไว้เพื่อขาย,104700,"['92,408,014', '688,014']"
สินทรัพย์ดิจิทัล,สินทรัพย์ดิจิทัล,104800,"['24,378,104', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,109900,"['157,286,818', '58,161,206']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,101670,"['30,320,051', '200,000']"
เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102500,"['1,061,440,695', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,103100,"['2,835,914,053', '2,835,913,961']"
เงินลงทุนในบริษัทย่อยและบริษัทร่วม,เงินลงทุนในบริษัทย่อยและบริษัทร่วม,102600,"['1,646,886,043', '2,256,406,540']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,103800,"['78,461,162', '38,496,999']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['302,037,892', '3,615,215']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['36,630,232', '13,912,069']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,109900,"['18,332,528', '34,397,871']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['11,480,057,988', '10,935,395,540']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,201140,"['599,271,173', '4,568,911']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,202400,"['13,884,064', '13,585,016']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,209900,"['28,486,474', '12,157,516']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,201850,"['75,000,000', '-']"
หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,202400,"['48,193,330', '47,275,191']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,202700,"['10,014,180', '5,653,869']"
กำไรจากการโอนธุรกิจให้แก่บริษัทร่วมรอรับรู้,กำไรจากการโอนธุรกิจให้แก่บริษัทร่วมรอรับรู้,209900,"['148,205,819', '-']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,209900,"['17,179,522', '6,652,755']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['940,234,562', '89,893,258']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['5,129,173,403', '5,129,173,403']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท({{date_twelve}}:หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท),หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท({{date_twelve}}:หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท),310220,"['4,688,777,772', '4,688,777,772']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['6,140,484,007', '6,140,484,007']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['113,858,924', '113,858,924']"
ยังไม่ได้จัดสรร(ขาดทุน),ยังไม่ได้จัดสรร(ขาดทุน),310620,"['(137,718,060)', '115,228,270']"
ส่วนต่างที่เกิดขึ้นจากการเปลี่ยนแปลงส่วนได้เสียในบริษัทย่อยบางส่วน,ส่วนต่างที่เกิดขึ้นจากการเปลี่ยนแปลงส่วนได้เสียในบริษัทย่อยบางส่วน,319921,"['(4,560,072)', '-']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(261,019,145)', '(212,846,691)']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['10,539,823,426', '10,845,502,282']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,"['11,480,057,988', '10,935,395,540']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['14,822,687', '-']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['110,548,280', '101,492,620']"
กำไร(ขาดทุน)จากเงินลงทุน,กำไร (ขาดทุน) จากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,439720,"['14,583,124', '10,231,365']"
เงินปันผลรับ,เงินปันผลรับ,410202,"['6,787,535', '6,787,535']"
รายได้อื่น,รายได้อื่น,410200,"['3,333,987', '8,593,970']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,"['66,490,697', '25,307,190']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,"['4,636,476', '2,952,136']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['9,188,860', '-']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['40,441,934', '13,591,517']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(880,905)', '(300,863)']"
ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,430800,"['-', '(77,259,624)']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,431100,"['14,315,237', '-']"
ภาษีเงินได้-รายได้(ค่าใช้จ่าย),ภาษีเงินได้-รายได้(ค่าใช้จ่าย),439800,"['(1,253,715)', '(1,315,638)']"
กำไร(ขาดทุน)สำหรับงวด,กำไร(ขาดทุน)สำหรับงวด,409991,"['41,498,263', '6,378,522']"
กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['73,879,395', '73,879,395']"
ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไร (ขาดทุน) เบ็ดเสร็จอื่นในบริษัทย่อย บริษัทร่วม และการร่วมค้า (ภายใต้วิธีส่วนได้เสีย) สำหรับรายการที่ไม่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,450500,"['32,284', '-']"
ภาษีเงินได้เกี่ยวกับรายการที่จะไม่ถูกจัดประเภทรายการใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้เกี่ยวกับรายการที่จะไม่ถูกจัดประเภทรายการใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,"['(15,491,811)', '(15,491,811)']"
ขาดทุนจากการเปลี่ยนแปลงมูลค่าของตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,"['(327,606)', '(327,606)']"
ส่วนแบ่งขาดทุนเบ็ดเสร็จอื่นจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไร (ขาดทุน) เบ็ดเสร็จอื่นในบริษัทย่อย บริษัทร่วม และการร่วมค้า (ภายใต้วิธีส่วนได้เสีย) สำหรับรายการที่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,440900,"['(208,679)', '-']"
กำไรเบ็ดเสร็จอื่นรวม-สุทธิจากภาษี,กำไรเบ็ดเสร็จอื่นรวม-สุทธิจากภาษี,409998,"['57,883,583', '58,059,978']"
กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,470100,"['99,381,846', '64,438,500']"
กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,480100,"['0.004', '0.001']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['31,557,458', '-']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['151,363,490', '131,710,139']"
กำไร(ขาดทุน)จากเงินลงทุน,กำไร(ขาดทุน)จากเงินลงทุน,439790,"['6,573,529', '(2,567,782)']"
เงินปันผลรับ,เงินปันผลรับ,410202,"['18,623,535', '18,623,535']"
รายได้อื่น,รายได้อื่น,410200,"['9,096,551', '19,498,773']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,"['131,252,960', '50,568,047']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,"['8,583,381', '6,930,459']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),430700,"['13,390,514', '-']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['72,243,328', '24,987,714']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(1,783,367)', '(614,716)']"
ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,430800,"['-', '(77,259,624)']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,431100,"['43,154,395', '-']"
ภาษีเงินได้-รายได้,ภาษีเงินได้-รายได้,439800,"['768,926', '1,088,789']"
กำไร(ขาดทุน)สำหรับงวด,กำไร(ขาดทุน)สำหรับงวด,460100,"['33,884,334', '7,992,894']"
กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['73,627,761', '73,627,761']"
ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไร (ขาดทุน) เบ็ดเสร็จอื่นในบริษัทย่อย บริษัทร่วม และการร่วมค้า (ภายใต้วิธีส่วนได้เสีย) สำหรับรายการที่ไม่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,450500,"['39,889', '-']"
ภาษีเงินได้เกี่ยวกับรายการที่จะไม่ถูกจัดประเภทรายการใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้เกี่ยวกับรายการที่จะไม่ถูกจัดประเภทรายการใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,"['(17,316,637)', '(17,316,637)']"
ขาดทุนจากการเปลี่ยนแปลงมูลค่าของตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ขาดทุนจากการเปลี่ยนแปลงมูลค่าของตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,"['(2,801,785)', '(2,801,785)']"
ส่วนแบ่งขาดทุนเบ็ดเสร็จอื่นจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไร (ขาดทุน) เบ็ดเสร็จอื่นในบริษัทย่อย บริษัทร่วม และการร่วมค้า (ภายใต้วิธีส่วนได้เสีย) สำหรับรายการที่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,440900,"['(245,829)', '-']"
กำไรเบ็ดเสร็จอื่นรวม-สุทธิจากภาษี,กำไร (ขาดทุน) เบ็ดเสร็จอื่น - สุทธิจากภาษี,409998,"['53,303,399', '53,509,339']"
กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับงวด,409999,"['87,187,733', '61,502,233']"
กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,480100,"['0.004', '0.001']"
กำไร(ขาดทุน)จากการดำเนินงานก่อนภาษีเงินได้,กำไร(ขาดทุน)จากการดำเนินงานก่อนภาษีเงินได้,510200,"['33,115,408', '6,904,105']"
ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,510300,"['34,670,740', '6,042,628']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น(โอนกลับ),510400,"['13,390,514', '-']"
ขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของสินทรัพย์ทางการเงินที่ยังไม่เกิดขึ้นจริง,ขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของสินทรัพย์ทางการเงินที่ยังไม่เกิดขึ้นจริง,511400,"['26,604,912', '26,604,912']"
ของสินทรัพย์ดิจิทัลที่ยังไม่เกิดขึ้นจริง,(กำไร) ขาดทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน,511300,"['(2,055,663)', '-']"
กำไรจากอัตราแลกเปลี่ยน,(กำไร) ขาดทุนจากอัตราแลกเปลี่ยน,510800,"['(609,671)', '(609,671)']"
ขาดทุน(กำไร)จากการขายและตัดจำหน่ายอุปกรณ์,ขาดทุน(กำไร)จากการขายและตัดจำหน่ายอุปกรณ์,511500,"['-', '(28,199)']"
กำไรจากการตัดจำหน่ายสินทรัพย์สิทธิการใช้,กำไรจากการตัดจำหน่ายสินทรัพย์สิทธิการใช้,511500,"['(284,498)', '-']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,510600,"['(43,154,395)', '-']"
ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทย่อย,511800,"['-', '77,259,624']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,514800,"['1,783,367', '614,716']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,514720,"['(151,363,490)', '(131,710,139)']"
เงินปันผลรับ,เงินปันผลรับ,514710,"['(18,623,535)', '(18,623,535)']"
ค่าใช้จ่ายผลประโยชน์ของพนักงาน,ค่าใช้จ่ายผลประโยชน์ของพนักงาน,514910,"['2,466,430', '753,017']"
ขาดทุนจากการดำเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,ขาดทุนจากการดำเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,519997,"['(104,059,881)', '(32,792,542)']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,515800,"['(7,346,750)', '-']"
เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,516100,"['3,539,076,881', '3,539,076,881']"
สินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ที่ถือไว้เพื่อขาย,516500,"['(90,820,000)', '-']"
สินทรัพย์ดิจิทัล,สินทรัพย์ดิจิทัล,516600,"['(12,954,180)', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,516600,"['(56,671,593)', '(2,167,119)']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,516600,"['(81,498)', '-']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,516600,"['(186,581,726)', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,516600,"['(1,725,783)', '1,592,260']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,517600,"['4,566,909', '4,568,911']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,518300,"['(15,663,441)', '(12,106,263)']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,518300,"['(1,882,819)', '547,318']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,519500,"['10,923,052', '9,090,170']"
ภาษีเงินได้จ่ายออก,ภาษีเงินได้จ่ายออก,519900,"['(1,715,763)', '(1,312,824)']"
ภาษีเงินได้รับคืน,ภาษีเงินได้รับคืน,519900,"['1,069,690', '882,783']"
เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,519999,"['3,076,133,098', '3,507,379,575']"
เงินสดรับจากเงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนเบ็ดเสร็จอื่น,เงินสดรับจากเงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนเบ็ดเสร็จอื่น,520600,"['777,341,996', '777,341,996']"
เงินสดจ่ายเพื่อซื้อเงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนเบ็ดเสร็จอื่น,เงินสดจ่ายเพื่อซื้อเงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนเบ็ดเสร็จอื่น,520700,"['(330,723,387)', '(330,723,387)']"
เงินสดจ่ายเพื่อซื้อสินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,เงินสดจ่ายเพื่อซื้อสินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,529900,"['(4,154,269)', '(4,154,269)']"
เงินสดจ่ายเพื่อเงินลงทุนในบริษัทย่อย,เงินสดจ่ายเพื่อเงินลงทุนในบริษัทย่อย,521200,"['-', '(100,000,000)']"
เงินสดรับจากการขายอุปกรณ์,เงินสดรับจากการขายอุปกรณ์,521610,"['-', '7,597,154']"
เงินสดจ่ายซื้ออุปกรณ์,เงินสดจ่ายซื้ออุปกรณ์,521710,"['(1,267,580)', '(374,572)']"
เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายซื้อสินทรัพย์ไม่มีตัวตน,521720,"['(57,892,584)', '(9,042,885)']"
เงินให้กู้ยืมระยะสั้นอื่น,เงินให้กู้ยืมระยะสั้นอื่น,521440,"['(3,694,314,940)', '(3,772,154,940)']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,เงินสดรับจากเงินให้กู้ยืม - บุคคลหรือกิจการที่เกี่ยวข้องกัน,521530,"['-', '235,000,000']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,521430,"['-', '(515,000,000)']"
เงินสดรับจากดอกเบี้ยและเงินปันผลของเงินลงทุนในหลักทรัพย์,เงินสดรับจากดอกเบี้ยและเงินปันผลของเงินลงทุนในหลักทรัพย์,529500,"['116,409,416', '105,157,576']"
