account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),100400,109999,"['4,140,561']"
เงินลงทุนในทรัพย์สินเส้นใยแก้วนำแสงตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท),เงินลงทุนในทรัพย์สินเส้นใยแก้วนำแสงตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท),100500,109999,"['73,500,000']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['23,810']"
ลูกหนี้จากดอกเบี้ยค้างรับ,ลูกหนี้จากดอกเบี้ยค้างรับ,102072,102070,['61']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,109900,"['12,870']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,299999,"['77,677,302']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,209999,"['164,467']"
เงินกู้ยืมระยะยาวจากธนาคาร,เงินกู้ยืมระยะยาวจากธนาคาร,201860,201800,"['11,504,505']"
รายได้ค่าเช่ารับล่วงหน้า,รายได้ค่าเช่ารับล่วงหน้า,202310,202300,"['816,510']"
รวมหนี้สิน,รวมหนี้สิน,209999,299999,"['12,485,482']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,309998,"['72,603,800']"
ขาดทุนสะสม,ขาดทุนสะสม,310600,309998,"['(7,411,980)']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,,"['65,191,820']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,,['8.1489']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(พันหน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(พันหน่วย),330201,,"['8,000,000']"
รายได้ค่าเช่า,รายได้ค่าเช่า,410123,410120,"['1,857,329']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410120,"['24,478']"
รวมรายได้,รวมรายได้,419999,409993,"['1,881,807']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,429999,"['16,560']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,429999,"['2,981']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,429999,['994']
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,"['3,774']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422120,422100,"['144,050']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,429999,"['213,266']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,422100,['142']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['5,336']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['387,103']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,409996,"['1,494,704']"
รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,439702,439700,"['(1,799,867)']"
การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,409996,,"['(305,163)']"
รายได้ค่าเช่า,รายได้ค่าเช่า,410123,410120,"['3,714,658']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410120,"['49,547']"
รวมรายได้,รวมรายได้,419999,409993,"['3,764,205']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,429999,"['33,350']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,429999,"['6,003']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,429999,"['1,989']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,"['9,514']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422120,422100,"['287,998']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,429999,"['432,338']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,422100,['219']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['8,803']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['780,214']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,409996,"['2,983,991']"
รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,439702,439700,"['(2,199,824)']"
การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,409996,,"['784,167']"
การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้น(ลดลง)ในสินทรัพย์สุทธิจากการดำเนินงาน,560090,569998,"['784,167']"
รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,561400,569998,"['2,199,824']"
ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,564720,564700,"['(48,081)']"
การตัดจำหน่ายค่าธรรมเนียมเงินกู้ยืม,การตัดจำหน่ายค่าธรรมเนียมเงินกู้ยืม,565000,569998,"['6,557']"
การซื้อเงินลงทุนในหลักทรัพย์,การซื้อเงินลงทุนในหลักทรัพย์,560041,560440,"['(8,328,365)']"
การขายเงินลงทุนในหลักทรัพย์,การขายเงินลงทุนในหลักทรัพย์,560031,560330,"['8,411,000']"
ลูกหนี้จากการให้เช่าและค่าปรับค้างรับลดลง,ลูกหนี้จากการให้เช่าและค่าปรับค้างรับลดลง,565800,569998,"['514,972']"
ลูกหนี้จากดอกเบี้ยค้างรับลดลง(เพิ่มขึ้น),ลูกหนี้จากดอกเบี้ยค้างรับลดลง(เพิ่มขึ้น),565800,569998,['22']
สินทรัพย์อื่นลดลง(เพิ่มขึ้น),สินทรัพย์อื่นลดลง(เพิ่มขึ้น),566600,569998,['821']
ค่าใช้จ่ายค้างจ่ายลดลง,ค่าใช้จ่ายค้างจ่ายลดลง,568900,569998,"['(53,767)']"
ภาษีขายยังไม่ถึงกำหนดชำระลดลง,ภาษีขายยังไม่ถึงกำหนดชำระลดลง,568800,569998,"['(33,508)']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,564800,569998,"['425,781']"
เงินสดสุทธิจากกิจกรรมดำเนินงาน,เงินสดสุทธิจากกิจกรรมดำเนินงาน,569999,509999,"['3,879,423']"
จ่ายดอกเบี้ย,จ่ายดอกเบี้ย,539600,539999,"['(409,548)']"
จ่ายคืนเงินกู้ยืมระยะยาวจากธนาคาร,จ่ายคืนเงินกู้ยืมระยะยาวจากธนาคาร,530420,530400,"['(650,000)']"
เงินสดจ่ายจากการลดมูลค่าหน่วยลงทุน,เงินสดจ่ายจากการลดมูลค่าหน่วยลงทุน,531000,539999,"['(2,800,000)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,509999,"['(3,859,548)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้นสุทธิ,เงินสดและรายการเทียบเท่าเงินสด เพิ่มขึ้น (ลดลง) สุทธิ,509999,599999,"['19,875']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},599998,599999,"['3,935']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด,599999,,"['23,810']"
