account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['3,793,520', '2,450,313']"
ลูกหนี้การค้า,ลูกหนี้การค้า,112040,"['80,295,773', '77,290,640']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,"['636,060', '492,102']"
ส่วนของเงินให้กู้ยืมระยะยาวแก่บริษัทย่อยที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินให้กู้ยืมระยะยาวแก่บริษัทย่อยที่ถึงกำหนดชำระภายในหนึ่งปี,112420,"['0.0', '27,820']"
เงินให้สินเชื่อจากการซื้อลูกหนี้ที่คาดว่าจะได้รับชำระภายในหนึ่งปี,เงินให้สินเชื่อจากการซื้อลูกหนี้ที่คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,"['2,147', '0.0']"
จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,113190,"['0.0', '276,045']"
ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,113000,"['890,645', '890,645']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['79,245', '43,722']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['85,697,390', '81,471,287']"
ลูกหนี้การค้า,ลูกหนี้การค้า,122040,"['3,587,069', '1,635,439']"
ลูกหนี้อื่น,ลูกหนี้อื่น,123140,"['74,085', '74,085']"
เงินฝากประจำธนาคารที่มีภาระผูกพัน,เงินฝากประจำธนาคารที่มีภาระผูกพัน,120300,"['110,842', '0.0']"
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,122400,"['0.0', '83,459']"
เงินให้สินเชื่อจากการซื้อลูกหนี้,เงินให้สินเชื่อจากการซื้อลูกหนี้,122050,"['52,171', '0.0']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['0.0', '1,235,909']"
ผ่านกำไรหรือขาดทุน,ผ่านกำไรหรือขาดทุน,121640,"['5,062', '5,062']"
ผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,121650,"['144,000', '144,000']"
เงินให้กู้ยืมประเภทด้อยสิทธิ,เงินให้กู้ยืมประเภทด้อยสิทธิ,122400,"['0.0', '84,074']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,123800,"['527,491', '419,048']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['753,480', '644,009']"
สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,124190,"['862,203', '723,475']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,123000,"['430,263', '430,263']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['2,543,252', '2,468,457']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['158,889', '141,736']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['9,248,807', '8,089,016']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['94,946,197', '89,560,303']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['6,525,791', '4,750,000']"
เจ้าหนี้การค้า,เจ้าหนี้การค้า,211100,"['63,423', '50,833']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,"['1,555,161', '1,477,246']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,211890,"['12,706,135', '12,706,135']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,212100,"['765,259', '765,259']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,212400,"['418,693', '365,896']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,"['580,860', '531,566']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['373,199', '393,377']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['22,988,521', '21,040,312']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,221890,"['36,254,206', '34,066,374']"
เงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,เงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,221890,"['0.0', '1,184,157']"
หุ้นกู้ระยะยาว,หุ้นกู้ระยะยาว,221830,"['9,266,194', '7,793,112']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,222100,"['1,195,114', '1,195,114']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['366,334', '310,502']"
เงินกู้ยืมประเภทด้อยสิทธิ,เงินกู้ยืมประเภทด้อยสิทธิ,221890,"['84,074', '0.0']"
ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,222700,"['478,451', '435,929']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,"['83,804', '72,198']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,"['47,728,177', '45,057,386']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['70,716,698', '66,097,698']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['250,000', '250,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,310220,"['250,000', '250,000']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['478,000', '478,000']"
ส่วนเกินทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,ส่วนเกินทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,319920,"['13,696', '12,503']"
ส่วนต่ำกว่าทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงส่วนได้เสียในความเป็นเจ้าของในบริษัทย่อย,319921,"['(16)', '0.0']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['25,000', '25,000']"
ทุนสำรองเพื่อการขยายกิจการ,ทุนสำรองเพื่อการขยายกิจการ,310619,"['4,850,000', '4,850,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['18,103,912', '17,867,587']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงินต่างประเทศ,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงินต่างประเทศ,319950,"['(63,952)', '0.0']"
