account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['449,552', '76,514']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,110900,"['2,597', '-']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,111000,"['1,848,381', '-']"
ลูกหนี้จากการซื้อสิทธิเรียกร้อง,ลูกหนี้จากการซื้อสิทธิเรียกร้อง,112050,"['1,874,001', '-']"
ลูกหนี้ตามสัญญาเช่าเงินทุนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุนที่ถึงกำหนดชำระภายในหนึ่งปี,112200,"['134,835', '-']"
ลูกหนี้ตามสัญญาเช่าซื้อที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าซื้อที่ถึงกำหนดชำระภายในหนึ่งปี,112200,"['166,257', '-']"
ลูกหนี้เงินให้กู้ยืมที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้เงินให้กู้ยืมที่ถึงกำหนดชำระภายในหนึ่งปี,112050,"['511,161', '-']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,112320,"['-', '571,167']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,"['165,837', '1,372']"
ภาษีมูลค่าเพิ่มรอขอคืน,ภาษีมูลค่าเพิ่มรอขอคืน,115010,"['1,343', '-']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,"['492,655', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['85,773', '1,856']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['5,732,392', '650,909']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,120300,"['1,290', '-']"
ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,"['200,714', '-']"
ลูกหนี้ตามสัญญาเช่าซื้อ-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าซื้อ-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,"['448,676', '-']"
ลูกหนี้เงินให้กู้ยืม-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,ลูกหนี้เงินให้กู้ยืม-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,122200,"['119,268', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,"['92,003', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '2,727,782']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,"['460,309', '1,241,800']"
สินทรัพย์ที่มีไว้เพื่อให้เช่า,สินทรัพย์ที่มีไว้เพื่อให้เช่า,123800,"['124,324', '-']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['1,682,464', '-']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,123800,"['46,084', '421']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['63,299', '7,210']"
ค่าความนิยม,ค่าความนิยม,124200,"['137,118', '-']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,"['109,684', '1,183']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['44,529', '-']"
สินทรัพย์รอการขาย,สินทรัพย์รอการขาย,129990,"['68,105', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['136,940', '1,283']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['3,734,807', '3,979,679']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['9,467,199', '4,630,588']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['1,710,000', '-']"
เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,211720,"['1,758,402', '-']"
เงินกู้ยืมระยะสั้นอื่น,เงินกู้ยืมระยะสั้นอื่น,211710,"['10,000', '-']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,210800,"['287,591', '-']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,210900,"['122,156', '-']"
เงินประกันจากการซื้อสิทธิเรียกร้อง,เงินประกันจากการซื้อสิทธิเรียกร้อง,212200,"['49,916', '-']"
เจ้าหนี้เงินรอคืน,เจ้าหนี้เงินรอคืน,211160,"['28,059', '-']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,"['85,410', '2,541']"
