account_name,taxonomy_account_name,account_code,values
เงินสด,เงินสด,100100,"['88,659', '88,659']"
รายการระหว่างธนาคารและตลาดเงินสุทธิ-เงินฝากสถาบันการเงิน,รายการระหว่างธนาคารและตลาดเงินสุทธิ-เงินฝากสถาบันการเงิน,100200,"['995,269', '995,269']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,"['681,907', '681,907']"
เงินลงทุนในการร่วมค้า,เงินลงทุนในการร่วมค้า,102730,"['12,500', '12,500']"
เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,"['79,518,217', '79,518,217']"
ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102000,"['842,176', '842,176']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,"['36,115,618', '36,115,618']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['1,138,090', '1,138,090']"
สินทรัพย์สิทธิการใช้สุทธิ,สินทรัพย์สิทธิการใช้สุทธิ,103900,"['19,244', '19,244']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,"['188,501', '188,501']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['5,994,674', '5,994,674']"
เงินรอรับจากการขายทอดตลาดสุทธิ,เงินรอรับจากการขายทอดตลาดสุทธิ,104900,"['13,399,095', '13,399,095']"
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,109900,"['1,094,466', '1,094,466']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['145,281', '145,281']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['140,233,697', '140,233,697']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,"['93,508,960', '93,508,960']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['777,103', '777,103']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,209900,"['665,384', '665,384']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['19,801', '19,801']"
ภาษีค้างจ่าย,ภาษีค้างจ่าย,209900,"['547,138', '547,138']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,209900,"['103,498', '103,498']"
เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,209900,"['809,466', '809,466']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['342,563', '342,563']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['96,773,913', '96,773,913']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['16,225,000', '16,225,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,"['16,160,212', '16,160,212']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['6,044,227', '6,044,227']"
ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319913,"['424,649', '424,649']"
จัดสรรแล้ว-สำรองตามกฎหมาย,จัดสรรแล้ว-สำรองตามกฎหมาย,310611,"['1,622,500', '1,622,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['19,208,196', '19,208,196']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['43,459,784', '43,459,784']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['140,233,697', '140,233,697']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['2,577,381', '2,577,381']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['802,580', '802,580']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['1,774,801', '1,774,801']"
กำไรจากการขายทรัพย์สินรอการขาย,กำไรจากการขายทรัพย์สินรอการขาย,419781,"['692,657', '692,657']"
กำไรจากการขายผ่อนชำระ,กำไรจากการขายผ่อนชำระ,410200,"['100,473', '100,473']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['22,681', '22,681']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['343,394', '343,394']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['5,755', '5,755']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['46,187', '46,187']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['131,585', '131,585']"
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,"['66,463', '66,463']"
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,429890,"['36,703', '36,703']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429890,"['99,697', '99,697']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['1,295,790', '1,295,790']"
กำไรจากการดำเนินงานก่อนค่าใช้จ่ายภาษีเงินได้,กำไรจากการดำเนินงานก่อนค่าใช้จ่ายภาษีเงินได้,409994,"['565,038', '565,038']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(108,914)', '(108,914)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,460100,"['456,124', '456,124']"
กำไรจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากการวัดมูลค่าเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['216,111', '216,111']"
ภาษีเงินได้ที่เกี่ยวข้อง,ภาษีเงินได้ที่เกี่ยวข้อง,459900,"['(43,223)', '(43,223)']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,"['629,012', '629,012']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),480100,"['0.14', '0.14']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['5,096,245', '5,096,245']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['1,573,578', '1,573,578']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,400599,"['3,522,667', '3,522,667']"
กำไรจากการขายทรัพย์สินรอการขาย,กำไรจากการขายทรัพย์สินรอการขาย,419781,"['1,136,151', '1,136,151']"
กำไรจากการขายผ่อนชำระ,กำไรจากการขายผ่อนชำระ,410200,"['194,666', '194,666']"
รายได้จากการดำเนินงานอื่นๆ,รายได้จากการดำเนินงานอื่นๆ,410200,"['34,293', '34,293']"
ค่าใช้จ่ายเกี่ยวกับพนักงาน,ค่าใช้จ่ายเกี่ยวกับพนักงาน,422400,"['678,684', '678,684']"
ค่าตอบแทนกรรมการ,ค่าตอบแทนกรรมการ,422600,"['8,549', '8,549']"
ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,ค่าใช้จ่ายเกี่ยวกับอาคารสถานที่และอุปกรณ์,429820,"['89,877', '89,877']"
ค่าภาษีอากร,ค่าภาษีอากร,429830,"['275,319', '275,319']"
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,"['88,533', '88,533']"
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,429890,"['79,709', '79,709']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429890,"['188,782', '188,782']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['2,394,782', '2,394,782']"
กำไรจากการดำเนินงานก่อนค่าใช้จ่ายภาษีเงินได้,กำไร (ขาดทุน) จากการดำเนินงานก่อนภาษีเงินได้,409994,"['1,083,542', '1,083,542']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(204,013)', '(204,013)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,"['879,529', '879,529']"
วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['224,015', '224,015']"
ภาษีเงินได้ที่เกี่ยวข้อง,ภาษีเงินได้ที่เกี่ยวข้อง,459900,"['(44,803)', '(44,803)']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,470100,"['1,058,741', '1,058,741']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),กำไรต่อหุ้นขั้นพื้นฐาน(บาทต่อหุ้น),480100,"['0.27', '0.27']"
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,510200,"['1,083,542', '1,083,542']"
ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,510300,"['79,966', '79,966']"
ค่าใช้จ่ายจ่ายล่วงหน้าลดลง,ค่าใช้จ่ายจ่ายล่วงหน้าลดลง,516600,"['35,129', '35,129']"
รายได้ค้างรับลดลง,รายได้ค้างรับลดลง,516600,"['976', '976']"
รายได้รับล่วงหน้าลดลง,รายได้รับล่วงหน้าลดลง,518300,"['(318)', '(318)']"
ค่าใช้จ่ายค้างจ่ายลดลง,ค่าใช้จ่ายค้างจ่ายลดลง,518300,"['(252,689)', '(252,689)']"
โอนกลับค่าความเสียหายที่เกิดจากคดีฟ้องร้อง,โอนกลับค่าความเสียหายที่เกิดจากคดีฟ้องร้อง,518300,"['(253)', '(253)']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,514910,"['31,565', '31,565']"
กำไรจากการจำหน่ายสินทรัพย์ถาวร,กำไรจากการจำหน่ายสินทรัพย์ถาวร,511510,"['(111)', '(111)']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,"['2,394,782', '2,394,782']"
ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย(โอนกลับ),ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย(โอนกลับ),511200,"['88,533', '88,533']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,514500,"['(3,522,667)', '(3,522,667)']"
รายได้เงินปันผลสุทธิ,รายได้เงินปันผลสุทธิ,514710,"['(2,407)', '(2,407)']"
เงินสดรับดอกเบี้ย,เงินสดรับดอกเบี้ย,519500,"['2,600,476', '2,600,476']"
เงินสดรับเงินปันผล,เงินสดรับเงินปันผล,519700,"['2,407', '2,407']"
เงินสดจ่ายดอกเบี้ย,เงินสดจ่ายดอกเบี้ย,519600,"['(1,571,883)', '(1,571,883)']"
เงินสดจ่ายภาษีเงินได้นิติบุคคล,เงินสดจ่ายภาษีเงินได้นิติบุคคล,519900,"['(317,107)', '(317,107)']"
เงินให้สินเชื่อจากการซื้อลูกหนี้,เงินให้สินเชื่อจากการซื้อลูกหนี้,515800,"['(2,692,525)', '(2,692,525)']"
ลูกหนี้ขายผ่อนชำระ,ลูกหนี้ขายผ่อนชำระ,515800,"['(99,754)', '(99,754)']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,516400,"['1,776,987', '1,776,987']"
เงินรอรับจากการขายทอดตลาด,เงินรอรับจากการขายทอดตลาด,516600,"['203,540', '203,540']"
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆ,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆ,516600,"['(237,133)', '(237,133)']"
สินทรัพย์อื่น,สินทรัพย์อื่น,516600,"['(69,867)', '(69,867)']"
ผลประโยชน์ระยะยาวของพนักงาน,ผลประโยชน์ระยะยาวของพนักงาน,518700,"['(61,977)', '(61,977)']"
หนี้สินอื่น,หนี้สินอื่น,518300,"['(145,568)', '(145,568)']"
เงินสดสุทธิใช้ไปในกิจกรรมดำเนินงาน,เงินสดสุทธิใช้ไปในกิจกรรมดำเนินงาน,519999,"['(676,356)', '(676,356)']"
เงินสดจ่ายซื้อเงินลงทุนในการร่วมค้า,เงินสดจ่ายซื้อเงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า,521200,"['(12,500)', '(12,500)']"
เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,เงินสดจ่ายซื้อที่ดินอาคารและอุปกรณ์,521710,"['(32,429)', '(32,429)']"
