account_name,taxonomy_account_name,account_code,values
เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),100400,"['36,940,000']"
เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{number}}:{{number}}ล้านบาท)),100400,"['1,216,167']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['58,809']"
ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,102099,"['197,805']"
ดอกเบี้ยค้างรับ,ดอกเบี้ยค้างรับ,109990,['52']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,"['1,940']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['38,414,773']"
เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,201160,"['9,273']"
ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีธุรกิจเฉพาะค้างจ่าย,204010,"['2,552']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['2,039']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['13,864']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,"['50,517,664']"
ขาดทุนสะสม,ขาดทุนสะสม,310600,"['(12,116,755)']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,"['38,400,909']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,['6.6345']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),330201,"['5,788,000']"
รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,410122,"['1,216,631']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,410108,"['5,951']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,"['7,951']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,"['2,121']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,"['1,079']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,"['1,082']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,['16']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['5,418']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['17,667']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,"['1,204,915']"
รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,439702,"['(1,430,080)']"
การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,409999,"['(225,165)']"
รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,410122,"['2,256,713']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,410108,"['11,574']"
รวมรายได้,รวมรายได้,419999,"['2,268,287']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,"['15,993']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,"['4,265']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,"['2,146']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,"['4,930']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,['29']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['6,632']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['33,995']"
