account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['656,738,353', '656,738,353']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,"['238,206,538', '238,206,538']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,"['922,052,590', '922,052,590']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['29,999,000', '29,999,000']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,"['394,993,208', '394,993,208']"
เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,"['31,580,823', '31,580,823']"
เงินให้กู้ยืมแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมแก่กิจการที่เกี่ยวข้องกัน,102520,"['9,982,291,271', '9,982,291,271']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,"['-', '1,145,410,000']"
ส่วนปรับปรุงอาคารและอุปกรณ์,ส่วนปรับปรุงอาคารและอุปกรณ์,103800,"['55,994,129', '55,994,129']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['135,886,914', '135,886,914']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['12,815,416', '12,815,416']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['43,655,008', '43,655,008']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['118,838,080', '118,838,080']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['12,623,051,330', '13,768,461,330']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,200800,"['22,493,052', '22,493,052']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,"['107,642,171', '107,642,171']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,"['969,371', '969,371']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['88,625,724', '88,625,724']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['139,818,545', '139,818,545']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,"['5,395,967', '5,395,967']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['87,205,796', '87,205,796']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['452,150,626', '452,150,626']"
มูลค่าที่ตราไว้หุ้นละ{{number}}บาท),หุ้นสามัญจดทะเบียน,310120,"['29,039,614,320', '29,039,614,320']"
มูลค่าที่ตราไว้หุ้นละ{{number}}บาท),หุ้นสามัญชำระแล้ว,310220,"['26,053,144,180', '26,053,144,180']"
ส่วนต่ำกว่ามูลค่าหุ้น,ส่วนต่ำกว่ามูลค่าหุ้น,310420,"['(12,019,597,279)', '(12,019,597,279)']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['(1,692,342,939)', '(546,932,939)']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(170,303,258)', '(170,303,258)']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['12,170,900,704', '13,316,310,704']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['12,623,051,330', '13,768,461,330']"
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,"['32,849,429', '32,849,429']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['23,555,332', '23,555,332']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['165,283,958', '165,283,958']"
กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,430190,"['242,964', '242,964']"
รายได้อื่น,รายได้อื่น,410200,"['9,909,831', '9,909,831']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,"['(102,175,630)', '(102,175,630)']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,"['(20,910,923)', '(20,910,923)']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['(1,522,896)', '(1,522,896)']"
กลับรายการ(ผลขาดทุน)ด้านเครดิตที่คาดว่าจะเกิดขึ้น,(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['(31,612,701)', '(31,612,701)']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['(28,992,245)', '(28,992,245)']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['(15,862,118)', '(15,862,118)']"
กำไร(ขาดทุน)สำหรับรอบระยะเวลา,การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่,460100,"['30,765,001', '30,765,001']"
ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(3,180,208)', '(3,180,208)']"
การวัดมูลค่าใหม่ของภาระผูกพันผลประโยชน์พนักงาน,การวัดมูลค่าใหม่ของภาระผูกพันผลประโยชน์พนักงาน,450600,"['2,833,895', '2,833,895']"
ภาษีเงินได้ของรายการที่จะไม่จัดประเภทรายการใหม่ไปยังกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่จะไม่จัดประเภทรายการใหม่ไปยังกำไรหรือขาดทุนในภายหลัง,459900,"['69,263', '69,263']"
กำไร(ขาดทุน)เบ็ดเสร็จรวมสำหรับรอบระยะเวลา,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด,409999,"['30,487,951', '30,487,951']"
กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน,480100,"['0.006', '0.006']"
รายได้ค่านายหน้า,รายได้ค่านายหน้า,410115,"['52,465,384', '52,465,384']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['41,901,830', '41,901,830']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['321,940,302', '321,940,302']"
กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,กำไร(ขาดทุน)และผลตอบแทนจากเครื่องมือทางการเงิน,430190,"['11,205,896', '11,205,896']"
รายได้อื่น,รายได้อื่น,410200,"['14,057,846', '14,057,846']"
