account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['507,098', '340,111']"
เงินฝากธนาคารที่มีข้อจำกัดในการใช้,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,119999,"['6,610', '-']"
ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้การค้าและลูกหนี้อื่น,112040,112000,"['434,102', '40,823']"
รายได้ค้างรับ,รายได้ค้างรับ,113200,119999,"['28,377', '19,723']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,112040,112000,"['67,280', '-']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,119990,119900,"['239,924', '-']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,112040,112000,"['84,462', '-']"
เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,112000,"['1,071,128', '738,676']"
เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,112300,"['-', '12,255,000']"
ภายในหนึ่งปี,ภายในหนึ่งปี,112420,112400,"['534,003', '534,003']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,"['1,047,191', '644,989']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['173,952', '50,755']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['4,194,127', '14,624,080']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,120300,129999,"['2,354', '957']"
เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระเกินกว่าหนึ่งปี,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระเกินกว่าหนึ่งปี,122050,122000,"['21,140,836', '11,388,307']"
กำหนดชำระภายในหนึ่งปี,กำหนดชำระภายในหนึ่งปี,122420,122400,"['4,237,045', '4,237,045']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,123100,"['920,306', '133,908']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,129990,129900,"['2,503,561', '1,204']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122600,129999,"['-', '6,821,935']"
เงินลงทุนในการร่วมค้า,เงินลงทุนในการร่วมค้า,122630,122600,"['5,863,854', '-']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['26,895', '26,895']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,129999,"['331,578', '292,531']"
คอมพิวเตอร์ซอฟต์แวร์,คอมพิวเตอร์ซอฟต์แวร์,124120,124100,"['97,745', '95,871']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['96,428', '76,044']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['284,759', '-']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['125,844', '-']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['10,971', '10,896']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['35,642,176', '23,085,593']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['39,836,303', '37,709,673']"
เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้การค้าและเจ้าหนี้อื่น,211100,219999,"['200,822', '117,625']"
เจ้าหนี้จากการซื้อลูกหนี้,เจ้าหนี้จากการซื้อลูกหนี้,211100,219999,"['139,851', '139,851']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,219900,219999,"['398,326', '-']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,211100,219999,"['263,977', '-']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['39,147', '26,405']"
เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,211800,"['621,394', '350,160']"
หุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,หุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,211830,211800,"['4,630,221', '4,630,221']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,219999,"['199,338', '198,560']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['38,976', '18,895']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['6,532,052', '5,481,717']"
หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่า-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,222400,229999,"['69,877', '61,624']"
เงินกู้ยืมระยะยาว-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินกู้ยืมระยะยาว-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,221890,221800,"['829,732', '554,791']"
หุ้นกู้-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หุ้นกู้-สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,221830,221800,"['4,952,172', '4,952,172']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,222700,229999,"['19,479', '5,583']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,223200,229999,"['25,002', '22,472']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['24,003', '17,436']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['5,920,265', '5,614,078']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['12,452,317', '11,095,795']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['765,552', '765,552']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['729,870', '729,870']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,"['20,559,745', '20,559,745']"
ส่วนเกินจากการเปลี่ยนแปลงสัดส่วนเงินลงทุนในบริษัทย่อย,ส่วนเกินจากการเปลี่ยนแปลงสัดส่วนเงินลงทุนในบริษัทย่อย,319921,319910,"['2,751,092', '2,751,092']"
ส่วนเกินทุนหุ้นทุนซื้อคืน-หุ้นสามัญ,ส่วนเกินทุนหุ้นทุนซื้อคืน-หุ้นสามัญ,319911,319910,"['735', '735']"
จัดสรรแล้ว-สำรองตามกฎหมาย,จัดสรรแล้ว-สำรองตามกฎหมาย,310611,310610,"['78,715', '78,715']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['2,500,674', '2,500,674']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,"['(6,953)', '(6,953)']"
ส่วนของผู้ถือหุ้นของบริษัทฯ,ส่วนของผู้ถือหุ้นของบริษัทฯ,319999,309998,"['26,613,878', '26,613,878']"
ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,320130,309998,"['770,108', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['27,383,986', '26,613,878']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['39,836,303', '37,709,673']"
รายได้จากสัญญาที่ทำกับลูกค้า,รายได้จากสัญญาที่ทำกับลูกค้า,410103,410100,"['78,467', '66,419']"
