account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['507,677,456', '128,745,806']"
หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,100700,"['2,490,000,000', '2,490,000,000']"
ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,"['134,376,416', '134,376,416']"
ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,"['6,476,997,590', '6,476,997,590']"
รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,"['113,944,261', '-']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['120,281,244', '120,281,244']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,"['4,622,595,129', '4,076,812,085']"
เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,"['8,872,519', '-']"
เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101672,"['588,772,883', '588,772,883']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102610,"['-', '3,258,046,935']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,"['264,870,817', '256,242,501']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['772,035,250', '737,976,545']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['47,627,976', '26,548,215']"
ค่าความนิยม,ค่าความนิยม,104200,"['26,713,599', '-']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,104700,"['6,416,155', '6,416,155']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['179,103,695', '165,807,953']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['406,724,460', '378,810,999']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['16,767,009,450', '18,845,835,327']"
หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,200600,"['1,725,000,000', '1,725,000,000']"
เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,200800,"['812,857,649', '812,857,649']"
เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,"['3,222,872,360', '3,222,872,360']"
ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,201000,"['26,301,056', '-']"
หนี้สินทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม,200420,"['223,747,331', '223,747,331']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,"['149,343,274', '149,343,274']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['273,917,848', '206,508,440']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,"['146,133,039', '129,561,325']"
ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,ตราสารหนี้ที่ออกและเงินกู้ยืมอื่น,201710,"['1,593,959,776', '1,593,959,776']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['828,603,385', '793,380,886']"
เงินกู้ด้อยสิทธิจากบริษัทย่อย,เงินกู้ด้อยสิทธิจากบริษัทย่อย,201820,"['-', '2,282,541,003']"
สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,202700,"['226,710,103', '175,122,590']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['51,784,826', '47,736,326']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['71,263,762', '71,961,853']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['9,352,494,409', '11,434,592,813']"
