account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['183,344,390', '183,344,390']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,"['612,563,304', '612,563,304']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,"['10,447,907', '10,447,907']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,"['676,234,058', '676,234,058']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,"['213,149,784', '213,149,784']"
เงินลงทุนในหลักทรัพย์,เงินลงทุนในหลักทรัพย์,101910,"['3,605,777,086', '3,605,777,086']"
เงินให้กู้ยืมและดอกเบี้ยค้างรับ,เงินให้กู้ยืมและดอกเบี้ยค้างรับ,102501,"['412,750', '412,750']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,"['14,807,150', '22,574,882']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,"['353,224,919', '353,224,919']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['25,593,990', '25,593,990']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['14,593,044', '14,593,044']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['298,022,948', '296,469,402']"
เงินวางไว้สำหรับโครงการประกันภัยข้าวนาปี,เงินวางไว้สำหรับโครงการประกันภัยข้าวนาปี,109900,"['11,411,867', '11,411,867']"
อื่นๆ,อื่นๆ,109900,"['81,677,117', '81,677,117']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['6,101,260,314', '6,107,474,500']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,"['3,151,161,250', '3,151,161,250']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,"['510,122,453', '510,122,453']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['36,125,461', '36,125,461']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,"['80,303,978', '80,303,978']"
ค่าจ้างและค่าบำเหน็จค้างจ่าย,ค่าจ้างและค่าบำเหน็จค้างจ่าย,201600,"['108,901,654', '108,901,654']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['87,183,412', '87,183,412']"
อื่นๆ,อื่นๆ,209900,"['79,659,229', '79,659,229']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['4,053,457,437', '4,053,457,437']"
มูลค่าหุ้นละ{{number}}บาท),มูลค่าหุ้นละ{{number}}บาท),310120,"['380,000,000', '380,000,000']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['647,300,363', '647,300,363']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,"['37,000,000', '37,000,000']"
สำรองทั่วไป,สำรองทั่วไป,310619,"['20,000,000', '20,000,000']"
ยังไม่จัดสรร,ยังไม่จัดสรร,310620,"['1,035,919,999', '1,022,231,480']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(72,417,485)', '(52,514,780)']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['2,047,802,877', '2,054,017,063']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['6,101,260,314', '6,107,474,500']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,"['993,712,990', '993,712,990']"
หัก:เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หัก:เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,"['(234,847,518)', '(234,847,518)']"
เบี้ยประกันภัยรับสุทธิ,เบี้ยประกันภัยรับสุทธิ,400299,"['758,865,472', '758,865,472']"
หัก:สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่มจากงวดก่อน,หัก:สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่มจากงวดก่อน,420300,"['(20,504,405)', '(20,504,405)']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,400399,"['738,361,067', '738,361,067']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,"['57,059,090', '57,059,090']"
รายได้จากการลงทุน,รายได้จากการลงทุน,410128,"['45,900,490', '45,900,490']"
กำไร(ขาดทุน)จากเงินลงทุน,กำไร(ขาดทุน)จากเงินลงทุน,431630,"['(9,399,717)', '(9,399,717)']"
กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรม,กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรม,431640,"['9,055,863', '9,055,863']"
ส่วนแบ่งกำไร(ขาดทุน)จากเงินลงทุนในบริษัทร่วม,,,"['(1,002,773)', '-']"
รายได้อื่น,รายได้อื่น,410200,"['750,473', '750,473']"
รวมรายได้,รวมรายได้,419999,"['840,724,493', '841,727,266']"
ค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการสินไหมทดแทน,ค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการสินไหมทดแทน,420900,"['635,816,508', '635,816,508']"
หัก:ค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,หัก:ค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,421000,"['(162,692,839)', '(162,692,839)']"
ค่าจ้างและค่าบำเหน็จ,ค่าจ้างและค่าบำเหน็จ,421100,"['156,877,666', '156,877,666']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,421200,"['80,157,197', '80,157,197']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,422100,"['100,097,135', '100,097,135']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['333,808', '333,808']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,"['264,353', '264,353']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['810,853,828', '810,853,828']"
กำไรก่อนค่าใช้จ่ายภาษีเงินได้,กำไรก่อนค่าใช้จ่ายภาษีเงินได้,409994,"['29,870,665', '30,873,438']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(7,099,794)', '(7,300,350)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,"['22,770,871', '23,573,088']"
กำไรต่อหุ้น,กำไรต่อหุ้น,480100,"['0.60', '0.62']"
ที่เป็นเงินตราต่างประเทศ,,,"['(592,787)', '-']"
กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนเผื่อขายที่วัดมูลค่าผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร(ขาดทุน)จากการวัดมูลค่าเงินลงทุนเผื่อขายที่วัดมูลค่าผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,441000,"['(27,065,747)', '(27,065,747)']"
บวก(หัก):ผลกระทบของภาษีเงินได้,บวก(หัก):ผลกระทบของภาษีเงินได้,449900,"['5,531,706', '5,413,150']"
รายการที่จะถูกบันทึกในส่วนของกำไรขาดทุนในภายหลัง-สุทธิจากภาษีเงินได้,รายการที่จะถูกบันทึกในส่วนของกำไรขาดทุนในภายหลัง-สุทธิจากภาษีเงินได้,409998,"['(22,126,828)', '(21,652,597)']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,470100,"['644,043', '1,920,491']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,"['1,908,034,596', '1,908,034,596']"
หัก:เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หัก:เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,"['(456,881,530)', '(456,881,530)']"
เบี้ยประกันภัยรับสุทธิ,เบี้ยประกันภัยรับสุทธิ,400299,"['1,451,153,066', '1,451,153,066']"
ลดลงจากงวดก่อน,หัก สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่ม (ลด) จากงวดก่อน,420300,"['45,549,210', '45,549,210']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,400399,"['1,496,702,276', '1,496,702,276']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,"['115,092,429', '115,092,429']"
รายได้จากการลงทุน,รายได้จากการลงทุน,410128,"['63,748,473', '63,748,473']"
