account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['57,215,342']"
เงินลงทุนในตราสารหนี้ระยะสั้น,เงินลงทุนในตราสารหนี้ระยะสั้น,111600,119999,"['18,328,502']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,119999,"['85,464,166']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,112300,119999,"['126,319']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,119999,"['89,662,728']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['1,357,953']"
สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,114700,119999,"['41,230']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['252,196,240']"
เงินลงทุนในตราสารหนี้,เงินลงทุนในตราสารหนี้,121600,129999,"['3,705,071']"
เงินลงทุนในตราสารทุน,เงินลงทุนในตราสารทุน,121600,129999,"['17,109,300']"
เงินลงทุนในการร่วมค้าและบริษัทร่วม,เงินลงทุนในการร่วมค้าและบริษัทร่วม,122600,129999,"['144,420,718']"
ลูกหนี้ไม่หมุนเวียนอื่น,ลูกหนี้ไม่หมุนเวียนอื่น,123140,122000,"['1,982,059']"
เงินให้กู้ยืมระยะยาว,เงินให้กู้ยืมระยะยาว,122400,129999,"['1,322,266']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['1,924,522']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,129999,"['441,332,914']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['48,383,783']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,124100,"['22,188,897']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['5,328,354']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['9,583,990']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['697,281,874']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['949,478,114']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['61,128,569']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,219999,"['69,167,002']"
ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,211890,211800,"['12,196,985']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['2,284,817']"
ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหุ้นกู้ที่ถึงกำหนดชำระภายในหนึ่งปี,211830,211800,"['60,419,806']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,219999,"['330,364']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,219999,"['3,228,386']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['25,900,604']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['234,656,533']"
เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,221890,221800,"['64,166,370']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,229999,"['12,953,969']"
หุ้นกู้,หุ้นกู้,221830,221800,"['154,618,818']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,223200,229999,"['10,933,386']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,229999,"['13,093,010']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['3,638,804']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['259,404,357']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['494,060,890']"
(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),310120,310100,"['1,600,000']"
(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),(หุ้นสามัญจำนวน{{number}}ล้านหุ้นมูลค่า{{number}}บาทต่อหุ้น),310220,310200,"['1,200,000']"
