account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['1,768,578,619', '303,636,106']"
เบี้ยประกันภัยค้างรับสุทธิ,เบี้ยประกันภัยค้างรับสุทธิ,101200,"['6,762,219,132', '-']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,"['57,231,599', '2,962,583']"
สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์จากการประกันภัยต่อสุทธิ,101400,"['17,562,810,279', '-']"
ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,ลูกหนี้จากสัญญาประกันภัยต่อสุทธิ,101500,"['5,673,813,127', '-']"
ลูกหนี้การค้าสุทธิ,ลูกหนี้การค้าสุทธิ,109900,"['12,433,532', '-']"
เงินลงทุนในหลักทรัพย์สุทธิ,เงินลงทุนในหลักทรัพย์สุทธิ,101910,"['15,400,425,121', '-']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102620,"['341,533,535', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,"['-', '9,889,387,350']"
อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,"['150,872,363', '-']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['1,463,875,607', '21,742,934']"
ค่าความนิยม,ค่าความนิยม,104200,"['248,455,379', '-']"
สินทรัพย์ไม่มีตัวตนสุทธิ,สินทรัพย์ไม่มีตัวตนสุทธิ,104100,"['100,419,675', '757,185']"
สินทรัพย์ภาษีเงินได้ของรอบระยะเวลาปัจจุบัน,สินทรัพย์ภาษีเงินได้ของรอบระยะเวลาปัจจุบัน,104500,"['-', '211,846']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชีสุทธิ,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,"['1,659,766,599', '-']"
เบี้ยประกันภัยต่อจ่ายล่วงหน้าสุทธิ,เบี้ยประกันภัยต่อจ่ายล่วงหน้าสุทธิ,104300,"['1,005,205,377', '-']"
ค่านายหน้าประกันภัยจ่ายล่วงหน้า,ค่านายหน้าประกันภัยจ่ายล่วงหน้า,104300,"['1,002,233,866', '-']"
เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,102500,"['-', '90,000,000']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['877,594,932', '1,362,943']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['54,087,468,742', '10,310,060,947']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,"['24,261,333,473', '-']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,"['9,918,894,402', '-']"
ค่านายหน้าประกันภัยค้างจ่าย,ค่านายหน้าประกันภัยค้างจ่าย,201600,"['1,136,745,440', '-']"
หุ้นกู้สุทธิ,หุ้นกู้สุทธิ,201830,"['998,529,928', '998,529,928']"
ค่าเบี้ยประกันภัยรับล่วงหน้า,ค่าเบี้ยประกันภัยรับล่วงหน้า,201500,"['6,872,716,514', '-']"
บัญชีตั้งพักค่าเบี้ยประกันภัย,บัญชีตั้งพักค่าเบี้ยประกันภัย,201500,"['106,510,980', '-']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,203000,"['197,719,035', '-']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,"['528,092,223', '6,791,172']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['1,400,419,196', '93,696,074']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['45,420,961,191', '1,099,017,174']"
หุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,หุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,310120,"['600,010,000', '600,010,000']"
หุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ได้รับชำระแล้วหุ้นละ{{number}}บาท,หุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ได้รับชำระแล้วหุ้นละ{{number}}บาท,310220,"['594,292,336', '594,292,336']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['895,385,444', '8,541,105,044']"
ส่วนเกินทุนจากการเปลี่ยนแปลงส่วนได้เสียในบริษัทย่อย,ส่วนเกินทุนจากการเปลี่ยนแปลงส่วนได้เสียในบริษัทย่อย,319921,"['1,354,834', '-']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,"['121,473,834', '59,429,234']"
สำรองทั่วไป,สำรองทั่วไป,310619,"['1,289,473,447', '-']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['9,369,367,658', '15,164,833']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(3,746,684,507)', '1,052,326']"
รวมส่วนของผู้เป็นเจ้าของของบริษัท,รวมส่วนของผู้เป็นเจ้าของของบริษัท,319999,"['8,524,663,046', '9,211,043,773']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['141,844,505', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['8,666,507,551', '9,211,043,773']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['54,087,468,742', '10,310,060,947']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,"['7,274,859,025', '-']"
หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,"['(5,486,720,562)', '-']"
เบี้ยประกันภัยรับสุทธิ,เบี้ยประกันภัยรับสุทธิ,400299,"['1,788,138,463', '-']"
จากรอบระยะเวลาก่อน,หัก สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่ม (ลด) จากงวดก่อน,420300,"['359,980,211', '-']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิ,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิ,400399,"['2,148,118,674', '-']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,"['1,370,832,376', '-']"
รายได้จากการลงทุนสุทธิ,รายได้จากการลงทุนสุทธิ,410128,"['197,104,710', '2,208,882']"
กำไรจากเงินลงทุน,กำไรจากเงินลงทุน,431630,"['6,580,676', '-']"
กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรมของเงินลงทุน,กำไร(ขาดทุน)จากการปรับมูลค่ายุติธรรมของเงินลงทุน,431640,"['(309,240)', '-']"
ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,431100,"['10,302,050', '-']"
รายได้ค่าบริการอื่น,รายได้ค่าบริการอื่น,410200,"['5,484,221', '1,079,451']"
รายได้อื่น,รายได้อื่น,410200,"['20,097,557', '-']"
รวมรายได้,รวมรายได้,419999,"['3,758,211,024', '3,288,333']"
ค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการค่าสินไหมทดแทน,ค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการค่าสินไหมทดแทน,420900,"['4,054,377,192', '-']"
หักค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,หักค่าสินไหมทดแทนและค่าใช้จ่ายในการจัดการค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,421000,"['(2,673,346,762)', '-']"
ค่าจ้างและค่าบำเหน็จ,ค่าจ้างและค่าบำเหน็จ,421100,"['829,646,684', '-']"
ค่าใช้จ่ายในการรับประกันภัยอื่น,ค่าใช้จ่ายในการรับประกันภัยอื่น,421200,"['475,061,409', '-']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['8,741,520', '8,741,520']"
