account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),100400,109999,"['28,320,000']"
เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน:{{number}}ล้านบาท({{date_three}}:{{number}}ล้านบาท)),100400,109999,"['1,038,570']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['51,043']"
ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,102099,102000,"['351,858']"
ดอกเบี้ยค้างรับ,ดอกเบี้ยค้างรับ,109990,109900,['2']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,109900,"['3,878']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,299999,"['29,765,351']"
เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,201160,201100,"['11,180']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['1,920']"
รวมหนี้สิน,รวมหนี้สิน,209999,299999,"['13,100']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,309998,"['47,114,320']"
ขาดทุนสะสม,ขาดทุนสะสม,310600,309998,"['(17,362,069)']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,,"['29,752,251']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,,['5.1403']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),330201,,"['5,788,000']"
รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,410122,410120,"['966,577']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,410108,410120,"['7,854']"
รวมรายได้,รวมรายได้,419999,409993,"['974,431']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,429999,"['6,101']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,429999,"['1,627']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,429999,"['1,064']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,"['3,799']"
ค่าใช้จ่ายภาษีจากการลงทุน,ค่าใช้จ่ายภาษีจากการลงทุน,422120,422100,['12']
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['1,296']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['13,899']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,409996,"['960,532']"
รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,439702,439700,"['(550,014)']"
การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,409999,,"['410,518']"
การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,การเปลี่ยนแปลงสินทรัพย์สุทธิจากการดำเนินงาน,560090,569998,"['410,518']"
รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,รายการขาดทุนสุทธิจากการเปลี่ยนแปลงในมูลค่ายุติธรรมของเงินลงทุน,561400,569998,"['550,014']"
การซื้อเงินลงทุนในหลักทรัพย์,การซื้อเงินลงทุนในหลักทรัพย์,560041,560440,"['(1,733,065)']"
การขายเงินลงทุนในหลักทรัพย์,การขายเงินลงทุนในหลักทรัพย์,560031,560330,"['1,913,000']"
ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิเพิ่มขึ้น,ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิเพิ่มขึ้น,565800,569998,"['(82,269)']"
ดอกเบี้ยค้างรับลดลง,ดอกเบี้ยค้างรับลดลง,565800,569998,['61']
สินทรัพย์อื่นลดลง,สินทรัพย์อื่นลดลง,566600,569998,"['1,901']"
เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),567600,569998,"['(2,168)']"
หนี้สินอื่นเพิ่มขึ้น,หนี้สินอื่นเพิ่มขึ้น,568300,569998,['65']
ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,564720,564700,"['(7,770)']"
เงินสดสุทธิจากกิจกรรมดำเนินงาน,เงินสดสุทธิจากกิจกรรมดำเนินงาน,569999,509999,"['1,050,287']"
การจ่ายคืนมูลค่าหน่วยลงทุนจากการลดทุน,การจ่ายคืนมูลค่าหน่วยลงทุนจากการลดทุน,531000,539999,"['(1,041,840)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,509999,"['(1,041,840)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้นสุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้นสุทธิ,509999,599999,"['8,447']"
เงินสดและรายการเทียบเท่าเงินสดณวันต้นงวด,เงินสดและรายการเทียบเท่าเงินสดณวันต้นงวด,599998,599999,"['42,596']"
เงินสดและรายการเทียบเท่าเงินสดณวันปลายงวด,เงินสดและรายการเทียบเท่าเงินสดณวันปลายงวด,599999,,"['51,043']"
