account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['15,976,995', '4,963,737']"
เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร,เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร,110300,119999,"['704,354', '-']"
เงินฝากธนาคารที่มีข้อจำกัดในการใช้,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,119999,"['74,362', '-']"
ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้การค้าและลูกหนี้อื่น,112000,119999,"['1,375,809', '106,113']"
ที่ถึงกำหนดชำระภายในหนึ่งปี,บุคคลหรือกิจการที่เกี่ยวข้องกัน,112420,112400,"['660,553', '-']"
ลูกหนี้จากการขายที่ดิน,ลูกหนี้จากการขายที่ดิน,112000,119999,"['1,883,136', '1,883,136']"
ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,112110,119999,"['11,870,181', '-']"
ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,112110,119999,"['4,768,351', '-']"
ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ,ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ,112000,119999,"['4,564', '-']"
รายได้ค้างรับ,รายได้ค้างรับ,113200,119999,"['220,669', '27,324']"
เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,112320,112300,"['1,500', '51,500']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกันที่ถึงกำหนดรับชำระภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกันที่ถึงกำหนดรับชำระภายในหนึ่งปี,112420,112400,"['-', '48,346']"
ต้นทุนการพัฒนาอสังหาริมทรัพย์,ต้นทุนการพัฒนาอสังหาริมทรัพย์,112930,112900,"['596,940', '596,940']"
ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายจ่ายล่วงหน้า,119910,119900,"['313,810', '33,059']"
