account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['221,194,042', '216,166,618']"
จากธุรกิจจัดการลงทุน,จากธุรกิจจัดการลงทุน,101100,"['144,377,989', '144,377,989']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,"['870,626,980', '504,419,355']"
เงินลงทุนที่วางเป็นประกัน,เงินลงทุนที่วางเป็นประกัน,101670,"['1,079,200', '1,079,200']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,"['-', '500,074,930']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,103800,"['23,555,562', '23,555,560']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['187,338,224', '187,338,224']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['18,934,915', '18,934,913']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['91,787,543', '63,387,704']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['47,692,832', '51,198,636']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,606,587,287', '1,710,533,129']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['191,855,315', '191,855,315']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,"['8,941,669', '7,717,893']"
ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,202700,"['121,092,916', '121,092,916']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['1,999,167', '1,999,167']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['108,981,152', '108,916,117']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['47,371,819', '47,394,988']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['480,242,038', '478,976,396']"
ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['125,615,708', '125,615,708']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,310220,"['125,615,708', '125,615,708']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['775,201,216', '775,201,216']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,"['18,000,000', '18,000,000']"
สำรองเพื่อรักษาระดับราคาหลักทรัพย์,สำรองเพื่อรักษาระดับราคาหลักทรัพย์,310619,"['5,000,000', '5,000,000']"
สำรองเพื่อขยายกิจการ,สำรองเพื่อขยายกิจการ,310619,"['10,000,000', '10,000,000']"
สำรองทั่วไป,สำรองทั่วไป,310619,"['50,000,000', '50,000,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['410,723,981', '402,172,387']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(268,195,712)', '(154,432,578)']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,"['1,126,345,193', '1,231,556,733']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['56', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['1,126,345,249', '1,231,556,733']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['1,606,587,287', '1,710,533,129']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['344,685,337', '344,692,347']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['4,218,644', '1,399,613']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,"['12,596,817', '9,439,666']"
รายได้อื่น,รายได้อื่น,410200,"['66,962', '66,961']"
รวมรายได้,รวมรายได้,419999,"['361,567,760', '355,598,587']"
