account_name,taxonomy_account_name,account_code,values
เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100400,"['277,700,248']"
เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,"['3,278,377,343']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['122,021,407']"
ลูกหนี้ค่าเช่า-สุทธิ,ลูกหนี้ค่าเช่า-สุทธิ,102081,"['11,542,079']"
รายได้ค้างรับ,รายได้ค้างรับ,103200,"['15,656,007']"
ลูกหนี้อื่น,ลูกหนี้อื่น,102090,"['1,731,442']"
ค่าใช้จ่ายรอการตัดบัญชี,ค่าใช้จ่ายรอการตัดบัญชี,102100,"['7,775,682']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,"['4,893,621']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['3,719,697,829']"
เจ้าหนี้อื่น,เจ้าหนี้อื่น,201160,"['30,349,685']"
เงินมัดจำรับจากผู้เช่า,เงินมัดจำรับจากผู้เช่า,201700,"['95,568,596']"
ภาษีเงินได้หักณที่จ่ายค้างชำระ,ภาษีเงินได้หักณที่จ่ายค้างชำระ,204010,"['3,514,181']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['39,533,348']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['4,679,691']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['173,645,501']"
ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,"['3,234,000,000']"
กำไรสะสม,กำไรสะสม,310600,"['312,052,328']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,"['3,546,052,328']"
สินทรัพย์สุทธิต่อหน่วย,สินทรัพย์สุทธิต่อหน่วย,330101,['10.7456']
จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(หน่วย),จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(หน่วย),330201,"['330,000,000']"
รายได้ค่าเช่าและบริการ,รายได้ค่าเช่าและบริการ,410123,"['79,561,738', '157,320,597']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['1,699,322', '2,185,974']"
รายได้อื่น,รายได้อื่น,410200,"['556,394', '1,095,521']"
