account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['722,737,266', '722,737,266']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,"['2,246,979,452', '2,246,979,452']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,"['56,402,257', '56,402,257']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,"['8,284,359,207', '8,284,359,207']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,"['191,749,997', '191,749,997']"
เงินลงทุนในหลักทรัพย์,เงินลงทุนในหลักทรัพย์,101910,"['15,580,634,872', '15,580,634,872']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,"['35,098,566', '47,082,718']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,"['766,258,217', '766,258,217']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['123,242,871', '123,242,871']"
ค่าความนิยม,ค่าความนิยม,104200,"['631,900,000', '631,900,000']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['159,384,182', '159,384,182']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['1,511,865,767', '1,511,865,767']"
เบี้ยประกันภัยต่อจ่ายล่วงหน้า,เบี้ยประกันภัยต่อจ่ายล่วงหน้า,109900,"['665,783,942', '665,783,942']"
ค่านายหน้าจ่ายล่วงหน้า,ค่านายหน้าจ่ายล่วงหน้า,109900,"['359,098,528', '359,098,528']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['235,892,195', '235,892,195']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['31,571,387,319', '31,583,371,471']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,"['17,512,270,329', '17,512,270,329']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,"['3,790,061,981', '3,790,061,981']"
