account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['248,809', '204,672']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,"['862,796', '935,215']"
เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,112320,"['-', '210,500']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,"['1,666,007', '1,617,723']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,111600,"['83,584', '83,584']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['10,039', '8,766']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['2,871,235', '3,060,460']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '186,132']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,"['8,366', '10,000']"
เงินให้กู้ยืมระยะยาวแก่บริษัทร่วม,เงินให้กู้ยืมระยะยาวแก่บริษัทร่วม,122420,"['7,124', '7,124']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['39,745', '39,745']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,"['896,635', '874,063']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['79,920', '69,907']"
ค่าความนิยม,ค่าความนิยม,124200,"['14,069', '-']"
สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,124190,"['62,126', '55,048']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['74,090', '45,997']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['11,131', '5,599']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['1,193,206', '1,293,615']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['4,064,441', '4,354,075']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['669,123', '659,223']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,"['732,861', '703,484']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['29,783', '23,163']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,"['9,028', '-']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,"['10,771', '10,771']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['19,173', '14,601']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['1,470,739', '1,411,242']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['49,740', '45,857']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,"['36,891', '34,627']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,"['196', '-']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,"['86,827', '80,484']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['1,557,566', '1,491,726']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['345,000', '345,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,310220,"['345,000', '345,000']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['1,315,440', '1,315,440']"
ส่วนเกิน(ต่ำกว่า)ทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงส่วนได้เสียในความเป็นเจ้าของในบริษัทย่อย,319921,"['(79,961)', '-']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['34,500', '34,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['896,214', '1,167,409']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,"['(4,318)', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['2,506,875', '2,862,349']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,"['4,064,441', '4,354,075']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['1,415,976', '1,296,786']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,"['17,250', '17,249']"
รายได้อื่น,รายได้อื่น,410200,"['2,804', '5,464']"
รวมรายได้,รวมรายได้,419999,"['1,436,030', '1,319,499']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['902,053', '845,856']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,"['157,733', '119,775']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['99,642', '80,966']"
ส่วนแบ่งขาดทุนจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งขาดทุนจากเงินลงทุนในบริษัทร่วม,431100,"['(288)', '-']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(5,824)', '(5,531)']"
(ค่าใช้จ่าย)รายได้ภาษีเงินได้,ภาษีเงินได้,439800,"['(2,137)', '731']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,"['268,353', '268,102']"
