account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['44,326,525']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,"['111,949,346']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,"['1,891,386']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,"['612,145,230']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,"['131,513,565']"
สินทรัพย์ทางการเงินตราสารหนี้,สินทรัพย์ทางการเงินตราสารหนี้,101911,"['213,370,969']"
สินทรัพย์ทางการเงินตราสารทุน,สินทรัพย์ทางการเงินตราสารทุน,101912,"['376,867,526']"
เงินให้กู้ยืม,เงินให้กู้ยืม,102500,"['87,300,000']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,"['87,846,202']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['34,929,881']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['10,167,828']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['38,142,315']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['24,802,883']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,775,253,656']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,"['1,104,531,491']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,"['432,201,905']"
หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์,202100,"['374,891']"
ค่าจ้างและค่าบำเหน็จค้างจ่าย,ค่าจ้างและค่าบำเหน็จค้างจ่าย,201600,"['18,417,229']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,"['5,820,936']"
หนี้สินภาษีเงินได้รอการตัดบัญชี,หนี้สินภาษีเงินได้รอการตัดบัญชี,203200,"['17,897,191']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['63,118,717']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['1,642,362,360']"
