account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['1,438,216', '36,248']"
ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้การค้าและลูกหนี้อื่น,112000,"['2,450,133', '998,493']"
รายได้ค้างรับ,รายได้ค้างรับ,113200,"['3,302,478', '94,861']"
ลูกหนี้ตามสัญญาเช่าเงินทุน-ส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุน-ส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,112200,"['113,176', '-']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,112310,"['6,364', '293,262']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,"['390,802', '-']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,"['18,911', '1,843']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['1,633,159', '57,665']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['9,353,239', '1,482,372']"
เงินฝากธนาคารที่มีภาระค้ำประกัน,เงินฝากธนาคารที่มีภาระค้ำประกัน,120300,"['377,501', '-']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,"['94,364', '11,958']"
ลูกหนี้ระยะยาวอื่น-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่น-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,122010,"['108,664', '108,664']"
ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,ลูกหนี้ตามสัญญาเช่าเงินทุน-สุทธิจากส่วนที่ถึงกำหนดรับชำระภายในหนึ่งปี,122200,"['424,455', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '4,688,244']"
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,122420,"['-', '319,238']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['84,636', '88,635']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,"['6,264,087', '1,842,764']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['330,590', '67,863']"
ค่าความนิยม,ค่าความนิยม,124200,"['236,712', '-']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,124190,"['1,140,411', '22,198']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['335,642', '-']"
เงินมัดจำ,เงินมัดจำ,129990,"['54,578', '-']"
อื่นๆ,อื่นๆ,129990,"['480,477', '50,846']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['9,932,117', '7,200,410']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['19,285,356', '8,682,782']"
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['3,544,153', '1,593,841']"
เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้การค้าและเจ้าหนี้อื่น,211100,"['1,850,323', '560,005']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211710,"['10,379', '556,367']"
ส่วนของเงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของเงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,211860,"['3,425,490', '424,947']"
