form_no,set_code,dm_code,running_number,reference_no,indent,item_in_taxonomy,item_in_taxonomy_en,parent_code,parent_code_operation,formating,data_type,symbol,financial_statement_type,fs_category,description_th,description_en,opposite_code_short,mandatory_mapping,zone_code,warning_mapping_msg_th,warning_mapping_msg_en,meaning_of_taxonomy
F6,100000,T1,1,1,0,สินทรัพย์,Assets,No,,B Fix,T,,BS_A,สินทรัพย์,,,,,,,,สินทรัพย์ ประกอบด้วยเลขอ้างอิงที่ 2 ถึง 107
F6,110000,T2,2,2,0,สินทรัพย์หมุนเวียน,Current Assets,No,,B Fix,T,,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,สินทรัพย์หมุนเวียน ประกอบด้วยเลขอ้างอิงที่ 3 ถึง 51
F6,110100,1,3,3,0,เงินสดและรายการเทียบเท่าเงินสด,Cash And Cash Equivalents,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- รวมถึง เงินฝากประจำอายุไม่เกิน 3 เดือน
- แสดงผลใน Company Highlight & Fact Sheet
- ใช้ในการคำนวณ Enterprise Value: EV, Quick Ratio","- Include short-term fixed deposits which terms are less than or equal to 3 months
- Displayed in the Company Highlight & Fact Sheet
- For calculation of Enterprise Value: EV, Quick Ratio",,,,,,"หมายถึง รายการดังต่อไปนี้
1. เงินสด หมายถึง เงินสดในมือและเงินฝากธนาคารที่ต้องจ่ายคืนเมื่อทวงถาม เช่น
1.1 ธนบัตรและเหรียญกษาปณ์ที่บริษัทมีอยู่ รวมทั้งเงินสดย่อย ธนาณัติตั๋วแลกเงินไปรษณีย์
1.2 เงินฝากธนาคารกระแสรายวันและออมทรัพย์ ทั้งนี้เงินสดไม่รวมถึงเงินฝากธนาคารประเภทจ่ายคืนเมื่อสิ้นระยะเวลา (เงินฝากประจำ)
1.3 เช็คที่ถึงกำหนดชำระแต่ยังมิได้นำฝาก เช็คเดินทาง ดราฟต์ของธนาคาร

2. รายการเทียบเท่าเงินสด หมายถึง เงินลงทุนระยะสั้นที่มีสภาพคล่องสูง (ภายในระยะเวลา 3 เดือน) ซึ่งพร้อมที่จะเปลี่ยนเป็นเงินสดในจำนวนที่ทราบได้และมีความเสี่ยงที่ไม่มีนัยสำคัญต่อการเปลี่ยนแปลงในมูลค่า เช่น เงินลงทุนในตั๋วแลกเงิน / ตั๋วสัญญาใช้เงิน ซึ่งมีอายุไม่เกิน 3 เดือนนับจากวันที่ได้มา เงินฝากประจำที่มีอายุไม่เกิน 3 เดือน รวมถึงเงินฝากที่มีข้อจำกัดในการใช้ที่ข้อจำกัดในการใช้นั้นไม่เป็นนัยสำคัญ"
F6,110300,3,4,4,0,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,Restricted Deposits - Current,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึง เงินฝากที่ใช้เป็นหลักประกันเงินกู้ยืมซึ่งไม่สามารถนำไปใช้ได้อย่างไม่มีเงื่อนไข,Include deposits used as a collateral for loans which cannot be withdrawn unconditionally,,,,,,บางครั้งใช้ชื่อว่า เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร
F6,111600,20,5,5,0,เงินลงทุนระยะสั้น - สุทธิ,Short-Term Investments - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- ไม่รวมถึงเงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า
- แสดงผลใน Company Highlight & Fact Sheet 
- ใช้ในการคำนวณ Quick Ratio","- Exclude investment in subsidiaries, associates and joint ventures
- Displayed in the Company Highlight & Fact Sheet
- For calculation of Quick Ratio",,,,,,บางครั้งใช้ชื่อว่า เงินลงทุนในตราสารหนี้ระยะสั้น หรือ สินทรัพย์ทางการเงินหมุนเวียนอื่น
F6,111610,22,6,6,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Debt Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึงเงินลงทุนในตราสารหนี้เพื่อค้า หรือเงินลงทุนในตราสารหนี้ที่ไม่ผ่านเงื่อนไข SPPI test,Include investments in debt instruments held for trading and investments in debt instruments that do not meet the conditions of SPPI test,,,,,,บางครั้งใช้ชื่อว่า เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน
F6,111620,24,7,7,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น - สุทธิ,Investment In Debt Instruments Measured At Fair Value Through Other Comprehensive Income - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,บางครั้งใช้ชื่อว่า เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น
F6,111630,26,8,8,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,Investment In Debt Instruments Measured At Amortised Cost - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารหนี้ที่บริษัทถือไว้เพื่อรับชำระเงินต้นและดอกเบี้ย ที่ผ่าน SPPI test เท่านั้น,"Only the investments in debt instruments held by the company to collect contractual cash flows arising from principal and interest, and must meet the conditions of SPPI test",,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ย (Held to collect) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน 
F6,111640,28,9,9,1,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Equity Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน
F6,111650,30,10,10,1,เงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,Investment In Equity Instruments Measured At Fair Value Through Other Comprehensive Income,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น
F6,112000,44,11,11,0,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,Trade And Other Receivables - Current - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"ใช้ในการคำนวณ Quick Ratio, Account Receivable Turnover","For calculation of Quick Ratio, Account Receivable Turnover",,,,,,บางครั้งใช้ชื่อว่า ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ หรือ ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น หรือ ลูกหนี้การค้า หรือ ลูกหนี้จากการขายที่ดิน หรือ ลูกหนี้การค้าและตั๋วเงินรับสุทธิ หรือ ลูกหนี้การค้าและลูกหนี้อื่น หรือ ลูกหนี้การค้าสุทธิ หรือ ลูกหนี้การค้าและลูกหนี้อื่น-สุทธิ
F6,112010,46,12,12,1,บุคคลหรือกิจการอื่น,Other Parties,112000,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่นที่เป็นรายการกับบุคคลหรือกิจการที่ไม่มีความเกี่ยวข้องกัน (อ้างอิงตามคำนิยามของบุคคลหรือกิจการที่เกี่ยวข้องกันตาม มาตรฐานการบัญชี ฉบับที่ 24 เรื่อง บุคคลหรือกิจการที่เกี่ยวข้องกัน)
F6,112020,48,13,13,1,บุคคลหรือกิจการที่เกี่ยวข้องกัน,Related Parties,112000,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,บางครั้งใช้ชื่อว่า เงินทดรองจ่ายแก่กิจการที่เกี่ยวข้องกัน หรือ ลูกหนี้กิจการที่เกี่ยวข้องกัน หรือ เงินทดรองจ่ายและลูกหนี้กิจการที่เกี่ยวข้องกัน
F6,113130,117,14,14,1,ลูกหนี้หมุนเวียนอื่น,Other Current Receivables,112000,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- รวมถึง เงินทดรองจ่าย ลูกหนี้จากการขายสินทรัพย์ถาวร
- ใช้ในการคำนวณ Quick Ratio, Account Receivable Turnover","- Include advances, receivables from disposal of fixed assets
- For calculation of Quick Ratio, Account Receivable Turnover",,,,,,หมายถึง ลูกหนี้หมุนเวียนอื่นที่นอกเหนือจากเลขอ้างอิงที่ 12 ถึง 13 เช่น เงินทดรองจ่าย ลูกหนี้จากการขายสินทรัพย์ถาวร ลูกหนี้ตามสัญญาโอนสิทธิ เป็นต้น
F6,112110,66,15,15,0,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ - หมุนเวียน,Unbilled receivables under agreements with government authorities - Current,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึง ลูกหนี้จากการขายสินค้าหรือให้บริการภายใต้สัญญากับหน่วยงานของรัฐ,Include receivables from sales of goods or services under the contracts with government,,,,,,บางครั้งใช้ชื่อว่า ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ หรือ ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ
F6,112071,57,16,16,0,เงินปันผลค้างรับ,Dividend Receivables,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,บางครั้งใช้ชื่อว่า เงินปันผลค้างรับจากกิจการที่เกี่ยวข้องกันที่คาดว่าจะได้รับชำระภายในหนึ่งปี
F6,112200,68,17,17,0,ลูกหนี้ตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,Current Portion Of Lease Receivables - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง ลูกหนี้ที่เกิดจากสัญญาเช่าซึ่งจะถึงกำหนดรับชำระและบริษัทคาดว่าจะได้รับชำระภายใน 12 เดือนนับจากวันสิ้นรอบระยะเวลารายงาน สุทธิจากค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น
