form_no,set_code,dm_code,running_number,reference_no,indent,item_in_taxonomy,item_in_taxonomy_en,parent_code,parent_code_operation,formating,data_type,symbol,financial_statement_type,fs_category,description_th,description_en,opposite_code_short,mandatory_mapping,zone_code,warning_mapping_msg_th,warning_mapping_msg_en,meaning_of_taxonomy,historical name
F2,100000,T1,1,1,0,สินทรัพย์,Assets,No,,B Fix,T,,BS_A,สินทรัพย์,,,,,,,,สินทรัพย์ ประกอบด้วยเลขอ้างอิงที่ 2 ถึง 100,
F2,110000,T2,2,2,0,สินทรัพย์หมุนเวียน,Current Assets,No,,B Fix,T,,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,สินทรัพย์หมุนเวียน ประกอบด้วยเลขอ้างอิงที่ 3 ถึง 48,
F2,110100,1,3,3,0,เงินสดและรายการเทียบเท่าเงินสด,Cash And Cash Equivalents,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- รวมถึง เงินฝากประจำอายุไม่เกิน 3 เดือน
- แสดงผลใน Company Highlight & Fact Sheet ","- Include short-term fixed deposits which terms are less than or equal to 3 months
- Displayed in the Company Highlight & Fact Sheet",,,,,,"หมายถึง รายการดังต่อไปนี้
1. เงินสด หมายถึง เงินสดในมือและเงินฝากธนาคารที่ต้องจ่ายคืนเมื่อทวงถาม เช่น
1.1 ธนบัตรและเหรียญกษาปณ์ที่บริษัทมีอยู่ รวมทั้งเงินสดย่อย ธนาณัติตั๋ว หรือแลกเงินไปรษณีย์
1.2 เงินฝากธนาคารกระแสรายวันและออมทรัพย์ ทั้งนี้เงินสดไม่รวมถึงเงินฝากธนาคารประเภทจ่ายคืนเมื่อสิ้นระยะเวลา (เงินฝากประจำ)
1.3 เช็คที่ถึงกำหนดชำระแต่ยังมิได้นำฝาก เช็คเดินทาง ดราฟต์ของธนาคาร

2. รายการเทียบเท่าเงินสด หมายถึง เงินลงทุนระยะสั้นที่มีสภาพคล่องสูง (ภายในระยะเวลา 3 เดือน) ซึ่งพร้อมที่จะเปลี่ยนเป็นเงินสดในจำนวนที่ทราบได้และมีความเสี่ยงที่ไม่มีนัยสำคัญต่อการเปลี่ยนแปลงในมูลค่า เช่น เงินลงทุนในตั๋วแลกเงิน / ตั๋วสัญญาใช้เงิน ซึ่งมีอายุไม่เกิน 3 เดือนนับจากวันที่ได้มา เงินฝากประจำที่มีอายุไม่เกิน 3 เดือน รวมถึงเงินฝากที่มีข้อจำกัดในการใช้ที่ข้อจำกัดในการใช้นั้นไม่เป็นนัยสำคัญ",
F2,110300,3,4,4,0,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,Restricted Deposits - Current,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึง เงินฝากที่ใช้เป็นหลักประกันเงินกู้ยืมซึ่งไม่สามารถนำไปใช้ได้อย่างไม่มีเงื่อนไข,Include deposits used as a collateral for loans which cannot be withdrawn unconditionally,,,,,,"หมายถึง เงินฝากสถาบันการเงินทุกประเภทที่มีข้อจำกัดในการนำไปใช้ เช่น เงินฝากประจำหรือเงินฝากออมทรัพย์ที่ใช้เป็นหลักประกันเงินกู้ซึ่งไม่สามารถนำไปใช้ได้อย่างไม่มีเงื่อนไข ซึ่งข้อจำกัดในการใช้ดังกล่าวคาดว่าจะหมดไปภายใน 12 เดือนนับจากวันสิ้นรอบระยะเวลารายงาน 
นอกเหนือจากเลขอ้างอิงที่ 3",
F2,110700,11,5,5,0,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,Securities Purchased Under Resale Agreements,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง การให้กู้ยืมเงินโดยมีข้อตกลงที่จะรับโอนสินทรัพย์ทางการเงินจากอีกฝ่ายหนึ่งโดยการแลกเปลี่ยนกับเงินสดหรือสิ่งตอบแทนอื่นของบริษัท ในขณะเดียวกับที่ก่อให้เกิดภาระผูกพันที่จะขายสินทรัพย์ทางการเงินนั้นคืนในอนาคตด้วยจำนวนที่เท่ากับเงินสดหรือสิ่งตอบแทนอื่นที่ได้มอบให้ไว้บวกดอกเบี้ยหรือผลตอบแทนอื่นที่คล้ายคลึงกัน,
F2,110900,13,6,6,0,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,Receivables From Clearing House And Brokers,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,"หมายถึง ยอดรวมของยอดดุลสุทธิ ดังต่อไปนี้
1. ยอดดุลสุทธิลูกหนี้สำนักหักบัญชี ที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์รายวันเฉพาะส่วนที่สำนักหักบัญชีมียอดสุทธิเป็นลูกหนี้และยังค้างชำระกับบริษัท รวมถึงเงินที่บริษัทนำไปวางเป็นประกันกับสำนักหักบัญชี ในการทำธุรกรรมหลักทรัพย์
2. ยอดดุลสุทธิลูกหนี้สำนักหักบัญชี ที่เกิดจากการชำระราคาซื้อขายสัญญาซื้อขายล่วงหน้าผ่านสำนักหักบัญชี รวมถึงเงินที่บริษัทนำไปวางเป็นประกันกับสำนักหักบัญชี ในการทำธุรกรรมอนุพันธ์
3. ยอดดุลสุทธิลูกหนี้บริษัทหลักทรัพย์ต่างประเทศที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์หรือซื้อขายสัญญาซื้อขายล่วงหน้าในต่างประเทศผ่านบริษัทหลักทรัพย์ต่างประเทศ รวมถึงเงินที่บริษัทนำไปวางไว้กับบริษัทหลักทรัพย์ต่างประเทศเพื่อเป็นหลักประกันการซื้อขายหรือรอการชำระราคาในต่างประเทศ
4. ยอดดุลสุทธิลูกหนี้บริษัทหลักทรัพย์ในประเทศที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์หรือซื้อขายสัญญาซื้อขายล่วงหน้าในประเทศผ่านบริษัทหลักทรัพย์ในประเทศ รวมถึงเงินที่บริษัทนำไปวางไว้กับบริษัทหลักทรัพย์ในประเทศเพื่อเป็นหลักประกันการซื้อขายหรือรอการชำระราคาในประเทศ",
F2,111000,14,7,7,0,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,Securities And Derivatives Business Receivables,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,"หมายถึง ยอดรวมของยอดดุลสุทธิ ดังต่อไปนี้
1. ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า หมายถึง ยอดดุลสุทธิลูกหนี้ธุรกิจหลักทรัพย์ และลูกหนี้ธุรกิจสัญญาซื้อขายล่วงหน้า บวกกับดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระตามสัญญาที่คำนวณตามวิธีอัตราดอกเบี้ยที่แท้จริง (Effective interest rate) หลังหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น (Allowance for expected credit loss) ทั้งนี้ ลูกหนี้ธุรกิจหลักทรัพย์ให้รวมถึงลูกหนี้ลูกค้าที่ซื้อขายหลักทรัพย์ด้วยเงินสด ลูกหนี้เงินให้กู้ยืมเพื่อซื้อหลักทรัพย์โดยใช้หลักทรัพย์ที่ซื้อนั้นมาวางเป็นประกัน อันได้แก่ เงินที่นำไปวางเป็นประกันกับเจ้าหนี้หุ้นยืมหรือกับสำนักหักบัญชี ลูกหนี้จากธุรกรรมยืมและให้ยืมหลักทรัพย์ ทั้งนี้ให้รวมถึงลูกหนี้ที่เกี่ยวข้องกับการประกอบธุรกิจหลักทรัพย์และธุรกิจซื้อขายสัญญาซื้อขายล่วงหน้าอื่น
2. ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น หมายถึง จำนวนเงินที่กันไว้สำหรับส่วนที่คาดว่าจะไม่ได้รับจากลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้าที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย รวมทั้งภาระผูกพันที่จะให้สินเชื่อและสัญญาค้ำประกันทางการเงิน ซึ่งประกอบด้วยส่วนที่คาดว่าจะไม่ได้รับใน 12 เดือนข้างหน้า (12-month expected credit loss) และส่วนที่คาดว่าจะไม่ได้รับตลอดอายุของเครื่องมือทางการเงิน (Lifetime expected credit loss) ตามที่กำหนดในมาตรฐานรายงานทางการเงินที่เกี่ยวข้อง",
F2,111100,15,8,8,0,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,Accrued Fees And Service Income,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง รายได้ค่าธรรมเนียมที่เกี่ยวข้องกับธุรกิจจัดการลงทุน ที่ได้รับรู้เป็นรายได้แล้ว แต่ยังไม่ได้รับชำระเงิน เช่น ค่าธรรมเนียมการจัดการค้างรับ ค่าธรรมเนียมนายทะเบียนค้างรับ เป็นต้น,
F2,111600,20,9,9,0,เงินลงทุนระยะสั้น - สุทธิ,Short-Term Investments - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,"- ไม่รวมถึงเงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า
- แสดงผลใน Company Highlight & Fact Sheet ","- Exclude investment in subsidiaries, associates and joint ventures
- Displayed in the Company Highlight & Fact Sheet",,,,,,"หมายถึง เงินลงทุนในตราสารหนี้และตราสารทุนต่าง ๆ ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน ทั้งนี้ ไม่รวมถึงเงินลงทุนในบริษัทย่อย เงินลงทุนในบริษัทร่วม และเงินลงทุนในการร่วมค้า โดยแสดงมูลค่าสุทธิหลังจากบวกหรือหักค่าเผื่อการปรับมูลค่ายุติธรรม และ/หรือ ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน 

เงินลงทุนตามรายการดังกล่าวข้างต้น รวมถึงเงินลงทุนในตราสารดังต่อไปนี้
1. ตราสารหนี้ (Debt securities) ประกอบด้วยรายการดังต่อไปนี้ 
1.1. หลักทรัพย์รัฐบาลและรัฐวิสาหกิจ (Government and state enterprises securities) หมายถึง ตั๋วเงินคลัง พันธบัตร หรือตราสารอื่นที่ออกโดยรัฐบาลไทยและรัฐบาลต่างประเทศ องค์การบริหารราชการส่วนท้องถิ่นและจังหวัด หุ้นกู้ พันธบัตรหรือตราสารอื่นที่องค์การของรัฐ รัฐวิสาหกิจ หรือนิติบุคคลที่มีกฎหมายเฉพาะจัดตั้งขึ้นเป็นผู้ออก 
1.2. ตราสารหนี้ภาคเอกชน (Private enterprises debt securities) หมายถึง หุ้นกู้ ตั๋วแลกเงิน ตั๋วสัญญาใช้เงิน และตราสารหนี้อื่นใด ที่ออกโดยสถาบันการเงินหรือธุรกิจอื่นทั้งในและต่างประเทศที่มีลักษณะเป็นการระดมทุนหรือคล้ายหุ้นกู้ตามที่สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์กำหนด
1.3. ตราสารหนี้อื่น (Other debt securities) หมายถึง เงินฝากประจำและบัตรเงินฝากที่มีอายุเกิน 3 เดือน แต่ไม่เกิน 12 เดือนนับจากวันที่ได้มา และ ตราสารหนี้อื่นที่มิได้กล่าวไว้ในรายการข้างต้น

2. ตราสารทุน (Equity securities) ประกอบด้วยรายการดังต่อไปนี้
2.1. ตราสารทุนในความต้องการของตลาด (Marketable equity securities) หมายถึง หลักทรัพย์ที่มีการซื้อขายในตลาดซื้อขายคล่องทั้งในประเทศและต่างประเทศ 
2.2. ตราสารทุนที่ไม่อยู่ในความต้องการของตลาด (Non-marketable equity securities) หมายถึง หลักทรัพย์ที่ไม่มีการซื้อขายในตลาดซื้อขายคล่องทั้งในประเทศและต่างประเทศ 
2.3. หลักทรัพย์อื่น (Other equity securities) หมายถึง ตราสารทุนอื่นที่มิได้กล่าวไว้ในรายการข้างต้น

3. เครื่องมือทางการเงินผสม (Compound financial instruments) ที่มีลักษณะของทั้งตราสารหนี้และตราสารทุน เช่น หุ้นกู้แปลงสภาพ ที่ผู้ถือหุ้นกู้มีสิทธิในการแปลงสภาพจากหนี้ (หุ้นกู้) เป็นทุน (ตราสารทุนของกิจการผู้ออก) ได้

เงินลงทุนระยะสั้น – สุทธิ ประกอบด้วยเลขอ้างอิงที่ 10 ถึง 18",
F2,111610,22,10,10,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Debt Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,รวมถึงเงินลงทุนในตราสารหนี้เพื่อค้า หรือเงินลงทุนในตราสารหนี้ที่ไม่ผ่านเงื่อนไข SPPI test,Include investments in debt instruments held for trading and investments in debt instruments that do not meet the conditions of SPPI test,,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน ที่ถือไว้เพื่อค้า (Held for trading) หรือเงินลงทุนในตราสารหนี้ที่ไม่ผ่านเงื่อนไขการจ่ายชำระเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือกระแสเงินสดที่บริษัทได้รับไม่ได้มีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น แต่มีองค์ประกอบอื่นด้วย เช่น หุ้นกู้แปลงสภาพ ตราสารหนี้ที่ผลตอบแทนอ้างอิงจากดัชนีหุ้น เป็นต้น หรือเงินลงทุนในตราสารหนี้ที่บริษัทเลือกที่จะวัดมูลค่าด้วยวิธีมูลค่ายุติธรรมผ่านกำไรขาดทุน เช่น เพื่อขจัดหรือลดความไม่สอดคล้องกันในการวัดมูลค่าของสินทรัพย์ทางการเงินและหนี้สินทางการเงินของรายการที่เกี่ยวข้องกัน (Accounting mismatch),
